year,des_DET allées_NOUN,des_DET vallées_NOUN
1800,7.168694793335817e-07,1.4022973675587025e-06
1801,6.643499474989767e-07,1.0334332927186551e-06
1802,6.624006800848292e-07,1.2621418363778503e-06
1803,6.670160370703115e-07,1.7397026332854892e-06
1804,7.415552740752673e-07,1.5597379436904646e-06
1805,6.623904837965711e-07,1.512410978010692e-06
1806,7.838139932658805e-07,1.0835075761050916e-06
1807,5.665440685476142e-07,1.2412724190724589e-06
1808,6.0957389358407e-07,1.6043804160759123e-06
1809,9.216844230053312e-07,1.3509002281253402e-06
1810,4.2356295670842314e-07,1.1021996524362976e-06
1811,7.069956211580575e-07,1.6722201960917005e-06
1812,4.0808286705384944e-07,1.2082453011430516e-06
1813,5.83775566553868e-07,9.748764129291487e-07
1814,3.429878177030332e-07,8.118427103909198e-07
1815,4.315557706746631e-07,7.444337182249683e-07
1816,4.820616172906966e-07,1.6269578875238722e-06
1817,6.071806319951634e-07,7.410717368649955e-07
1818,4.303545146910892e-07,9.429651406378525e-07
1819,3.9851543398583544e-07,1.1179134340455477e-06
1820,4.449930317562689e-07,1.066796662563263e-06
1821,4.1023790764427304e-07,8.22448143145138e-07
1822,4.7421163174021785e-07,1.015594904174577e-06
1823,6.008673381074914e-07,1.0940134377301902e-06
1824,3.6968684202776103e-07,1.0416915987576658e-06
1825,4.710912087091401e-07,1.075144574258502e-06
1826,4.4656481534843806e-07,1.1670579702638406e-06
1827,3.5578674584257897e-07,9.595181149069099e-07
1828,3.3203731142350534e-07,1.2309228658580196e-06
1829,3.480709418468564e-07,1.481444862339032e-06
1830,4.3104131286497704e-07,1.6396268760487942e-06
1831,4.1472608458548166e-07,1.7243873955408162e-06
1832,7.184413934879785e-07,1.0580435580997971e-06
1833,4.96937673233333e-07,1.6634090981293426e-06
1834,4.975305003540598e-07,1.2629620851356549e-06
1835,5.324413763219127e-07,1.431692588482747e-06
1836,3.971963291604652e-07,1.2030142642061037e-06
1837,3.96599774354911e-07,1.2134561886423256e-06
1838,4.1912756287842967e-07,1.1727996316324152e-06
1839,3.985140928364217e-07,1.2801390729677564e-06
1840,3.5033287826280457e-07,1.2083299818499427e-06
1841,4.03852492780743e-07,1.1730342324156595e-06
1842,3.5151307908876106e-07,1.1276593134823543e-06
1843,3.857212940161503e-07,9.451057576548294e-07
1844,3.4907248824822545e-07,9.775127349787027e-07
1845,3.8280363057197064e-07,1.001650923981856e-06
1846,3.910806913864917e-07,8.986659443266376e-07
1847,2.896161177545764e-07,1.1703295150766735e-06
1848,3.628395024435349e-07,1.016111522478269e-06
1849,4.2567429225925935e-07,1.0214506520611621e-06
1850,3.5913788032360117e-07,1.0081658743388289e-06
1851,2.637820513129441e-07,1.1460652515893344e-06
1852,3.639394936527651e-07,1.0162961112669677e-06
1853,3.7682889164614153e-07,1.2421617689994946e-06
1854,2.977115727276214e-07,1.0084784536346092e-06
1855,3.614024244313896e-07,9.73822935179669e-07
1856,3.846651539518575e-07,9.883254783460416e-07
1857,3.9296149090262134e-07,1.0060790760491045e-06
1858,3.9883459912459784e-07,9.170748640485726e-07
1859,3.834406570035753e-07,7.994712278858174e-07
1860,3.831102928231189e-07,9.05366995374024e-07
1861,4.173627825565518e-07,8.507598669993399e-07
1862,4.780029563278276e-07,1.0201612452576114e-06
1863,4.115567708851131e-07,8.480866375837337e-07
1864,4.2385395815358606e-07,1.0471685403246056e-06
1865,3.7278207898339133e-07,1.007264641472716e-06
1866,3.8486996700726195e-07,8.067186172411311e-07
1867,4.6004652531905776e-07,1.0559718095493054e-06
1868,4.1939531314483247e-07,9.415399819800996e-07
1869,3.4575316476548323e-07,8.209195896391464e-07
1870,3.8876849473012953e-07,9.524255268900106e-07
1871,4.2590919768770164e-07,7.870292124678713e-07
1872,4.4024630341255033e-07,8.708168808269079e-07
1873,3.687378704597677e-07,1.0104375487429706e-06
1874,3.16056831373146e-07,8.693056523512155e-07
1875,4.6172723067172683e-07,9.017126725296976e-07
1876,4.4800969600800045e-07,1.059866360897388e-06
1877,3.568638886619624e-07,1.0192576738177195e-06
1878,3.58721875315382e-07,1.0302685371499365e-06
1879,4.3803860805269323e-07,1.0031512367447704e-06
1880,4.036825149711376e-07,9.671694263246877e-07
1881,4.6227726357983556e-07,1.0451788661214323e-06
1882,3.4408341420544275e-07,1.0928142355481896e-06
1883,3.861115978054386e-07,8.745964832357345e-07
1884,4.3703234453573714e-07,1.0305249222852808e-06
1885,3.7126861940350864e-07,8.579141139719582e-07
1886,3.6010327697511e-07,9.725370127000588e-07
1887,4.687767969357992e-07,8.200329135732431e-07
1888,3.633172340755664e-07,8.071602310977255e-07
1889,4.354270171091912e-07,8.708539942503535e-07
1890,3.3820632960868124e-07,9.248239587478224e-07
1891,3.5121952635108755e-07,6.896906299402872e-07
1892,3.591857495877093e-07,9.816490615932594e-07
1893,4.298574669547861e-07,1.0352298467353194e-06
1894,4.26614207071907e-07,9.509022511622334e-07
1895,4.116732341685747e-07,9.100145348384103e-07
1896,3.8684508751885005e-07,1.246042259595015e-06
1897,4.1078331491917197e-07,9.462582992725288e-07
1898,4.215474511681805e-07,1.0903649929616677e-06
1899,4.0959355906977635e-07,9.087339147839657e-07
1900,4.049021384844309e-07,1.0143317830113574e-06
1901,3.7165115163162454e-07,1.0965105321503188e-06
1902,3.186774324426267e-07,9.805836720389038e-07
1903,4.217571962783495e-07,1.087064367411017e-06
1904,4.0040958637632684e-07,9.738821127314168e-07
1905,3.8757301012992684e-07,1.070857524432256e-06
1906,4.6554870891668543e-07,1.0705048527626104e-06
1907,4.0062749562252975e-07,8.70169095001927e-07
1908,4.415338867858054e-07,1.090328389352635e-06
1909,4.813360554578594e-07,9.269157406066597e-07
1910,4.3554828899061704e-07,1.1505956276636198e-06
1911,4.5968032758025856e-07,1.1380279731909582e-06
1912,4.12586153686334e-07,9.152952831215089e-07
1913,5.249959826869599e-07,9.190081087240287e-07
1914,3.817144031970088e-07,1.0507190921771326e-06
1915,3.286832619409097e-07,1.2181307846859113e-06
1916,4.263135302551291e-07,8.691082680201134e-07
1917,3.4434571460906227e-07,1.0604532816316237e-06
1918,4.3992820764060525e-07,9.843824670952017e-07
1919,4.3276886430021477e-07,1.0156256813331765e-06
1920,4.2555942414423953e-07,8.359743577379675e-07
1921,3.9832651488325155e-07,8.723805171584331e-07
1922,4.515296545548608e-07,9.215041512078415e-07
1923,3.4820308769667463e-07,8.216743809796867e-07
1924,4.550743497588883e-07,9.333535819777694e-07
1925,4.59723835888326e-07,1.0250302322489802e-06
1926,4.6367934913860154e-07,9.362756125952387e-07
1927,4.7272713654678e-07,1.0223839757017572e-06
1928,4.627546790203496e-07,8.603809202867296e-07
1929,4.3893201961964223e-07,8.444428161169526e-07
1930,4.4325207504414266e-07,1.0114970523389388e-06
1931,3.9234428328427384e-07,9.500662301320517e-07
1932,3.638566230534934e-07,8.745710484703295e-07
1933,3.0970789133277776e-07,9.428884091278178e-07
1934,3.9059952072761916e-07,9.106000966596639e-07
1935,3.4947390226136577e-07,8.868498566627636e-07
1936,3.3342964655957985e-07,9.566400009930476e-07
1937,3.575877460804122e-07,8.750826996362093e-07
1938,3.643225241489745e-07,9.516467609493873e-07
1939,3.119986207167358e-07,1.0338778064777898e-06
1940,2.9922238020674286e-07,1.1030656033028663e-06
1941,3.5122880071014606e-07,1.0477833889410704e-06
1942,2.6701063404743763e-07,1.143897875977018e-06
1943,4.7032409966618616e-07,1.2396814428328184e-06
1944,3.7915598127824524e-07,9.76808602004553e-07
1945,4.2045127202072763e-07,8.692231094897807e-07
1946,4.023199053904136e-07,7.879345105266111e-07
1947,3.528577785516518e-07,8.201559431597616e-07
1948,3.707313815937141e-07,8.81710078282083e-07
1949,3.691195011867876e-07,1.066127081728041e-06
1950,3.75428260923627e-07,1.0507737018272678e-06
1951,3.8807502278359607e-07,1.0565449022337248e-06
1952,3.8172190031104947e-07,1.2632675527868287e-06
1953,3.684648852697592e-07,9.136205409987497e-07
1954,3.713563749840887e-07,1.109182843350709e-06
1955,3.6979295003902735e-07,8.005923395337788e-07
1956,3.6977641393320937e-07,1.0482812156098475e-06
1957,3.7283858489445265e-07,9.10892388406026e-07
1958,3.978948974747709e-07,1.0439570803377762e-06
1959,3.2863170496000293e-07,8.518072034391366e-07
1960,3.5019415633996687e-07,9.592274998748707e-07
1961,4.050776887254415e-07,8.768577037798764e-07
1962,3.7671221342350236e-07,8.028916873570324e-07
1963,3.148967913091383e-07,7.765729970188318e-07
1964,3.6442970419159337e-07,8.596647047554029e-07
1965,2.7250775325171617e-07,7.420090533116763e-07
1966,3.561625065984231e-07,7.256187961601768e-07
1967,3.6139359416154093e-07,7.967422250843015e-07
