year,aux_ADP oies_NOUN,aux_ADP voix_NOUN
1800,1.2576657582030748e-07,2.738567154381144e-06
1801,6.429192911383552e-08,4.498053840507055e-06
1802,7.608656460433849e-08,3.450749517242002e-06
1803,1.09218993626925e-07,3.559369176286964e-06
1804,5.9324420931261557e-08,2.076354839175565e-06
1805,1.2224374756897305e-07,1.3645812657614442e-06
1806,5.4751713385314815e-08,1.250644444894533e-06
1807,3.131650672116848e-08,9.765056461219501e-07
1808,1.3369836260324064e-07,5.461238270498825e-07
1809,8.132509776714869e-08,4.4276999489056834e-07
1810,3.042164786748458e-08,8.892481524469531e-07
1811,4.011322829455821e-08,4.6380921281397036e-07
1812,3.7340914360584065e-08,6.081234573684924e-07
1813,5.751483289628823e-09,6.039057218742983e-07
1814,5.349351184236184e-08,5.597938624646304e-06
1815,2.1038344355517324e-07,3.700590781363644e-06
1816,1.274682119856152e-07,2.6582916987649696e-06
1817,9.496928132790572e-08,2.8226115205143287e-06
1818,7.152706604784953e-08,2.517752704989107e-06
1819,4.554461963124368e-08,4.9778197706018545e-06
1820,2.3732961373923445e-08,5.553513062750426e-06
1821,5.029359129160582e-08,4.366666928490304e-06
1822,5.6143449000956025e-08,2.439232375195388e-06
1823,1.1068609673259289e-07,2.4588125242530623e-06
1824,3.115811697540494e-08,2.8918100412056447e-06
1825,6.163809995740621e-08,1.8852452967621502e-06
1826,2.554315425840059e-08,2.0531412161517437e-06
1827,5.7147094167930845e-08,3.3624611006644045e-06
1828,6.970948840390179e-08,5.0466003926885605e-06
1829,9.85915242779356e-08,2.3867723228931936e-06
1830,4.0703659109908585e-08,3.195759148866273e-06
1831,5.456921980950824e-08,5.25579537224985e-06
1832,3.51779220197912e-08,7.077526930743261e-06
1833,6.486831871654886e-08,5.704936924644244e-06
1834,4.947301501800894e-08,9.725647629466039e-06
1835,4.689114518896531e-08,5.18752187872451e-06
1836,4.0324502126320994e-08,4.1144431008888205e-06
1837,6.818733133684418e-08,2.281492342603997e-06
1838,3.9135405138779333e-08,3.2318268949893536e-06
1839,5.5931800524433584e-08,3.185315989640003e-06
1840,4.7772664935052944e-08,6.172865369080682e-06
1841,6.099521199232072e-08,5.2276107851412235e-06
1842,3.7566284305512454e-08,5.7684372052335675e-06
1843,8.978505050549757e-08,3.874933611314191e-06
1844,6.641159000508878e-08,6.11809943507069e-06
1845,4.2409731282333496e-08,4.2426471651424436e-06
1846,2.4588905134237393e-08,5.558263580951461e-06
1847,7.496580600729885e-08,8.446866786471219e-06
1848,5.309846429213394e-08,3.0040052479307633e-05
1849,4.860060620615059e-08,3.6452969652600586e-05
1850,4.955967192188382e-08,2.2278768938122084e-05
1851,5.4175285590929434e-08,7.384607556559786e-06
1852,4.948014531436229e-08,2.8757079988395162e-06
1853,3.642878354526147e-08,3.751567689391777e-06
1854,5.403491076805267e-08,2.842028379745898e-06
1855,6.580602018857462e-08,2.019289581767225e-06
1856,5.694908100650764e-08,2.2080712014371784e-06
1857,4.735063718896981e-08,2.1029541557027187e-06
1858,3.229826228690058e-08,2.8539917593661812e-06
