year,beaux_ADJ airs_NOUN,beaux_ADJ verres_NOUN
1800,1.6349655140857067e-07,5.345079756580162e-08
1801,2.09544069207368e-07,2.3811825400343878e-08
1802,6.042168365638645e-08,2.2378401354217203e-08
1803,1.1116933507082649e-07,6.631153581793114e-08
1804,4.3998947840684366e-07,4.2021465418429216e-08
1805,1.3930100806192058e-07,1.421438877713399e-08
1806,2.881669161070022e-07,1.152667650217154e-08
1807,9.11025637151397e-08,2.8469550272802735e-08
1808,1.0650547466184435e-07,1.5862518409903714e-08
1809,1.219876537561504e-07,2.710836710662079e-08
1810,2.0125089861267043e-07,2.3401267590372754e-09
1811,2.5321475050077424e-07,5.515568801683912e-08
1812,2.4004873466765275e-07,2.6672083208723052e-08
1813,2.501895153272926e-07,2.8757416004054903e-08
1814,1.541871768040437e-07,3.776012391654149e-08
1815,2.6972236000233352e-08,1.8880564667256294e-08
1816,6.025770460382773e-08,6.952811659743929e-09
1817,1.2454987086130132e-07,2.1796227045456362e-08
1818,1.323250700124845e-07,2.384235386898581e-08
1819,1.0454560817052538e-07,1.3456364911235141e-08
1820,2.480094565271429e-07,8.306536791735653e-09
1821,9.960103142248045e-08,5.9168927535324656e-09
1822,1.0927921323400369e-07,7.017931125119503e-09
1823,8.894418357385803e-08,6.917880934764753e-09
1824,9.515857612996115e-08,1.0947446504872005e-08
1825,2.7825200277220574e-07,3.6982861217893515e-08
1826,9.072223861039674e-08,2.8185549894033102e-08
1827,5.622536392024813e-08,2.5808365222701468e-08
1828,7.613009955775851e-08,8.255071293206129e-09
1829,4.115124596637543e-08,1.5431716349212365e-08
1830,1.763825281386744e-07,1.0436835395921662e-08
1831,6.704218691311326e-08,2.3386808933878456e-08
1832,5.547287429408243e-08,9.470978667991403e-09
1833,1.2973663388038403e-07,1.7375443306377747e-08
1834,4.6672655740209734e-08,1.5868701908061666e-08
1835,7.865611451052246e-08,1.0588323107185715e-08
1836,8.871390377862554e-08,1.4785650037651976e-08
1837,8.279890550966229e-08,5.5663127440652715e-09
1838,9.657608046609312e-08,3.1560809077291196e-08
1839,7.760537101830778e-08,8.38977065598101e-09
1840,7.834716908572403e-08,1.46502836528839e-08
1841,5.6500828460315233e-08,6.420548537278137e-09
1842,8.318248667649186e-08,3.3541325272778977e-09
1843,1.0868716060485895e-07,4.7255288571079745e-09
1844,1.2568804663715127e-07,1.5367971784030487e-08
1845,6.02664584903323e-08,1.0044410636567136e-08
1846,5.327596142024049e-08,1.0538101946622191e-08
1847,7.604444984821157e-08,1.88762818709165e-08
1848,4.666228647920434e-08,9.65426583121598e-09
1849,9.21735647807509e-08,4.1897072478036534e-09
1850,5.0238568860550004e-08,2.9192683825840504e-08
1851,7.868315066161813e-08,2.1283147688677673e-08
1852,7.877760310748272e-08,7.812654523320361e-09
1853,7.40519547903773e-08,2.329053394589664e-08
1854,8.572846610377383e-08,2.909572138776184e-08
1855,8.703376863650192e-08,2.653468555990912e-08
1856,9.215397128725655e-08,2.174419400091665e-08
1857,1.1813251982184525e-07,1.1715622250108026e-08
1858,9.444794812907276e-08,5.872411001917044e-09
1859,1.1100938257513349e-07,2.1387128512628806e-08
1860,1.1122556742293455e-07,2.288591893773173e-08
1861,1.2780262181877333e-07,1.0846716413936974e-08
1862,1.1385325437984761e-07,1.8523744316212287e-08
1863,1.0238972691922754e-07,1.6482248454963155e-08
1864,1.1938872690464564e-07,1.6781548595190543e-08
1865,1.0260920646487648e-07,1.97687466396701e-08
1866,1.201806399397931e-07,2.578774882522339e-08
1867,9.899735431417866e-08,1.1161466417775046e-08
1868,1.0373735648272486e-07,3.6061081232219294e-08
1869,1.0743742251406729e-07,1.904572499711321e-08
1870,9.862564098739313e-08,1.6055336615750093e-08
1871,5.735435593123839e-08,3.18635318130589e-09
1872,6.531126706121881e-08,1.9351485747165498e-08
1873,1.2031868834583292e-07,2.6338419445437466e-08
1874,7.408515356743806e-08,2.0313670745508716e-08
1875,7.666846624232448e-08,6.865832347102696e-09
1876,1.2998932041874411e-07,1.209202959984168e-08
1877,1.3421050049089445e-07,1.5462040536817767e-08
1878,1.769453010780353e-07,1.0870359723469392e-08
1879,8.491961800416448e-08,1.0385853066452455e-08
1880,1.0332732691686886e-07,1.9895322722618403e-08
1881,8.855084843162331e-08,1.3945014920579979e-08
1882,1.098138575628127e-07,6.655385131892899e-09
1883,6.698499233070976e-08,1.2006744043446815e-08
1884,1.1618986750505655e-07,1.2543224237049344e-08
1885,7.21911206369441e-08,1.2246707647989297e-08
1886,7.937760670984062e-08,2.0005737511041843e-08
1887,1.0119832993815692e-07,8.48760173255414e-09
1888,4.628648753168818e-08,1.4583413587843097e-08
