year,jolies_ADJ allées_NOUN,jolies_ADJ vallées_NOUN
1800,6.288328968651058e-09,5.0306631749208464e-08
1801,0.0,1.1905912700171939e-08
1802,0.0,1.3427040812530322e-08
1803,0.0,9.751696339321825e-09
1804,0.0,4.943701892301533e-09
1805,0.0,0.0
1806,5.76333825108577e-09,8.645007376628655e-09
1807,0.0,2.2775640928784924e-08
1808,0.0,0.0
1809,2.259030518203531e-09,4.518061036407062e-09
1810,0.0,0.0
1811,0.0,2.5070767684098882e-09
1812,0.0,1.3336041604361526e-08
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,0.0,9.341240669868967e-09
1818,0.0,2.384235475716423e-09
1819,0.0,1.035105001712111e-09
1820,0.0,0.0
1821,0.0,9.861488514673056e-09
1822,0.0,2.0051231786055723e-09
1823,0.0,7.906149512848515e-09
1824,0.0,7.57900142644985e-09
1825,0.0,2.3774695989686734e-08
1826,0.0,7.0463874735082754e-09
1827,0.0,2.6730091917670507e-08
1828,0.0,2.659967357487858e-08
1829,2.571952872898464e-09,2.6576845613135447e-08
1830,0.0,2.817945699007396e-08
1831,0.0,2.0268567268999504e-08
1832,0.0,2.3000948701223933e-08
1833,0.0,2.0850531967653296e-08
1834,0.0,0.0
1835,0.0,1.663879345414898e-08
1836,5.376600054063374e-09,1.5457725766054864e-08
1837,6.957890930081589e-10,5.5663127440652715e-09
1838,0.0,2.2723781967215473e-08
1839,0.0,9.788065469251706e-09
1840,1.2739377330817092e-09,1.9109065441114126e-09
1841,0.0,1.1556987367100646e-08
1842,0.0,2.6162233268678392e-08
1843,0.0,7.088293507706567e-09
1844,0.0,6.037417232818143e-09
1845,0.0,5.580227835366713e-09
1846,2.3418005312692003e-09,7.025401593807601e-09
1847,0.0,9.168480197274675e-09
1848,0.0,2.413566457803995e-09
1849,0.0,1.256912263158938e-08
1850,0.0,2.7155984128057753e-09
1851,0.0,8.384270167027807e-09
1852,1.3021090872200602e-09,7.812654523320361e-09
1853,0.0,1.3138249599364826e-08
1854,0.0,9.871762074453727e-09
1855,0.0,9.552486801567284e-09
1856,0.0,7.765783571755946e-09
1857,0.0,6.8341128311999455e-09
