year,six_DET allées_NOUN,six_DET vallées_NOUN
1800,3.144164484325529e-09,0.0
1801,1.4287095950749062e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,8.627225156487839e-09,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,5.394447111228828e-09
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,2.384235475716423e-09,2.384235475716423e-09
1819,5.175524897538253e-09,9.315945348475907e-09
1820,0.0,0.0
1821,9.86148829262845e-10,0.0
1822,0.0,0.0
1823,6.917880934764753e-09,0.0
1824,8.421112696055388e-10,0.0
1825,2.641632912414593e-09,0.0
1826,7.927186018719112e-09,0.0
1827,2.7651818612639545e-09,9.217273055917019e-10
1828,9.172301251858528e-10,2.2013523448549677e-08
1829,0.0,8.57317605795771e-10
1830,5.218417697960831e-09,6.262101504006523e-09
1831,4.677361609140007e-09,6.236482441579483e-09
1832,1.0823975493678972e-08,1.3529969367098715e-09
1833,1.1583628500844156e-09,1.3900354645102198e-08
1834,1.213489042584115e-08,9.334531370086552e-09
1835,7.563087933704082e-10,6.806779140333674e-09
1836,6.720750067579218e-10,0.0
1837,6.957890930081589e-10,4.87052354003481e-09
1838,6.312161904276081e-10,2.5248647617104325e-09
1839,1.2584655095793096e-08,6.292327547896548e-09
1840,5.095750932326837e-09,1.0191501864653674e-08
1841,0.0,1.0914932957462042e-08
1842,4.024959032733477e-09,0.0
1843,5.31621990873532e-09,5.906911071384968e-10
1844,4.390849017710252e-09,0.0
1845,3.348136878855712e-09,5.580227946389016e-10
1846,3.5127007969038004e-09,5.854501328173001e-10
1847,1.0786447290911383e-09,0.0
1848,4.02261068899179e-09,7.24069959545659e-09
1849,0.0,0.0
1850,2.0366988096043315e-09,2.0366988096043315e-09
1851,6.449438760824933e-10,2.579775504329973e-09
1852,1.8229528109259263e-08,3.906327261660181e-09
1853,1.7915795513800958e-09,5.971931837933653e-10
1854,4.676098175337984e-09,6.754363734984281e-09
1855,3.714855978387277e-09,5.306937111981824e-10
1856,1.0354378465748937e-09,0.0
1857,4.881509085841174e-10,4.393358121745905e-09
1858,4.893676019968041e-10,3.4255731584664773e-09
1859,0.0,5.092173349652285e-09
1860,9.154367819341758e-10,3.661747127736703e-09
1861,2.357981809808507e-09,3.3011746669586728e-09
1862,4.517986262886353e-10,2.710791813242963e-09
1863,9.989241711583219e-09,9.989241656072068e-10
1864,9.589455896019672e-10,4.794727948009836e-10
1865,0.0,9.41368871743009e-10
1866,9.731225825149181e-10,3.405928983291062e-09
1867,4.85281148598915e-10,2.426405742994575e-09
1868,3.457911734727759e-09,4.93987406535723e-10
1869,9.767038289254515e-10,4.883519144627257e-10
1870,0.0,5.160643912205387e-09
1871,0.0,0.0
1872,1.2094678591978436e-09,6.047339518033823e-09
1873,5.986004469882289e-10,5.387403856360606e-09
1874,5.974609140757536e-10,3.5847653734322193e-09
1875,3.4329163400848017e-09,3.4329162845736505e-09
1876,4.232210137899983e-09,4.232210137899983e-09
1877,2.4739263970730008e-09,3.710889595609501e-09
1878,1.8117265465633636e-09,3.019544281279707e-09
1879,0.0,4.276527798552365e-09
1880,1.2835692508872398e-09,1.2835692508872398e-09
1881,4.183504653809678e-09,3.486253785656146e-09
1882,3.3276925659464496e-09,1.3310770263785798e-09
1883,3.1596694705093853e-09,1.8958017378167824e-09
1884,9.242375753615306e-09,6.601696966868076e-09
1885,3.2228177904158883e-09,1.933690763067375e-09
1886,6.453463874400711e-10,6.453463874400711e-10
1887,6.528924623161458e-10,4.570247291724172e-09
1888,6.340614699951175e-10,1.268122939990235e-09
1889,3.759081934617825e-09,7.51816386923565e-09
1890,6.554386366985909e-09,2.6217545912032847e-09
1891,1.2748440081367107e-09,6.374220040683554e-10
1892,0.0,1.2537024751679837e-09
1893,0.0,1.2316833108982905e-09
1894,1.2603078580752936e-09,1.2603078580752936e-09
1895,0.0,1.2037228991346183e-09
1896,5.89702897624278e-10,1.7691086373616827e-09
1897,3.4960281336537946e-09,1.7480140668268973e-09
1898,5.6583548957434e-10,2.26334195829736e-09
1899,5.527578395003729e-10,5.527578395003729e-10
1900,3.1146317747143826e-09,0.0
1901,1.1177477832191585e-09,6.147612863216523e-09
1902,9.820567692386817e-10,0.0
1903,1.0800440541913758e-09,5.400220270956879e-10
1904,0.0,0.0
1905,2.0643036724443675e-09,3.6125313851442797e-09
1906,1.0288369045596824e-09,1.0288369045596824e-09
1907,2.057137349353866e-09,1.028568674676933e-09
1908,1.4734167219643268e-09,1.4734167219643268e-09
1909,4.400786846048277e-09,0.0
1910,3.740905363258662e-09,5.344150677544235e-10
1911,2.6601871816467337e-09,4.2562992019767876e-09
1912,5.209421227725386e-10,2.0837684910901544e-09
1913,1.060597942803554e-09,1.060597942803554e-09
1914,6.696743715117748e-10,2.0090231700464756e-09
1915,0.0,2.3561523843085297e-09
1916,1.0987462051303964e-09,2.197492410260793e-09
1917,1.0966424435210342e-09,1.0966424435210342e-09
1918,2.2972752589112133e-09,1.1486376294556067e-09
1919,9.207848372660976e-10,4.603924352863942e-09
1920,7.572231730534895e-10,7.572231730534895e-10
1921,0.0,0.0
1922,8.853522803775604e-09,0.0
1923,0.0,6.369568872344189e-09
1924,5.156649773851996e-09,1.289162443462999e-09
1925,3.299453377181294e-09,1.0998177923937646e-09
1926,4.458455382660986e-09,0.0
1927,8.919380123373344e-09,6.689535148041159e-09
1928,3.4278122562625413e-09,2.2852082448565625e-09
1929,0.0,4.4561625500705304e-09
1930,3.1510811737689437e-09,2.100720708497761e-09
1931,1.1405356659111021e-09,6.843213995466613e-09
1932,4.383814644626227e-09,3.287861094491973e-09
1933,1.1470662197865522e-09,0.0
1934,2.3963160344919743e-09,5.990790086229936e-09
1935,0.0,2.393656828303392e-09
1936,7.274828739411987e-09,3.6374143697059935e-09
1937,1.0072894518486919e-08,1.2591118148108649e-09
1938,1.2965214457594243e-09,0.0
1939,3.058810094103137e-09,4.588215141154706e-09
1940,5.0715658339584024e-09,2.5357829169792012e-09
1941,0.0,2.9515025978810172e-09
1942,0.0,0.0
1943,0.0,2.9032352077962287e-09
1944,0.0,0.0
1945,0.0,2.178504043826024e-09
1946,4.1763312808029696e-09,5.568441707737293e-09
1947,4.7683483828109274e-09,2.3841741914054637e-09
1948,1.0871887834440486e-09,1.0871887834440486e-09
1949,4.908504269707237e-09,9.817008317369869e-10
1950,3.190608444114673e-09,6.381216888229346e-09
1951,2.1322803522849654e-09,2.1322803522849654e-09
1952,2.1089607837865287e-09,7.381362632230548e-09
1953,1.0773827385790469e-09,5.386913692895234e-09
