year,deux_DET yeux_NOUN,deux_DET vieux_NOUN
1800,1.166484995707151e-06,4.087413785214267e-08
1801,1.673971325999446e-06,3.0955374485941434e-08
1802,1.1323471369451e-06,4.475680270843441e-09
1803,1.924984864842827e-06,2.7304748684287006e-08
1804,1.2433409821710484e-06,6.179627121127851e-08
1805,6.908192631271959e-07,2.842877711017877e-09
1806,6.282038427229963e-07,5.187004603612877e-08
1807,6.491057611412998e-07,0.0
1808,7.228775942280663e-07,5.6651849433819734e-08
1809,1.1362923331148522e-06,4.518061036407062e-09
1810,7.933029806395098e-07,0.0
1811,5.56571016829821e-07,2.5070767684098882e-09
1812,6.267939069992678e-07,2.9339290108509886e-08
1813,5.463909253933252e-07,5.751483289628823e-09
1814,3.901879637169259e-07,1.2586708564299443e-08
1815,3.80308513125982e-07,0.0
1816,1.1495315490606117e-06,6.952811659743929e-09
1817,1.558430271941802e-06,4.670620334934483e-09
1818,1.4114673660969856e-06,1.5497530370112145e-08
1819,1.6251148053925135e-06,1.4491469912947252e-08
1820,5.304317092225119e-07,1.3053129244156025e-08
1821,7.938498018944529e-07,1.4792232105875769e-08
1822,6.576804167934824e-07,9.023054303725075e-09
1823,7.046355960937944e-07,2.075364236020505e-08
1824,6.122148938914052e-07,8.421112696055388e-09
1825,9.93253998160526e-07,0.0
1826,7.847914247349763e-07,2.025836387531399e-08
1827,7.465991185284793e-07,5.530363722527909e-09
1828,6.604056608239262e-07,6.420610820789818e-09
1829,1.3279850143987915e-06,2.2290258527846163e-08
1830,8.182479191987113e-07,7.30578508800761e-09
1831,8.466025072095817e-07,2.9623292263636358e-08
1832,1.3502909368412475e-06,1.0823975493678972e-08
1833,8.780390228224633e-07,1.50587169400751e-08
1834,9.315861575487361e-07,1.213489042584115e-08
1835,6.708459210358342e-07,3.781543966852041e-09
1836,9.241031442286385e-07,6.048675060821296e-09
1837,9.059173891046157e-07,1.1132625488130543e-08
1838,9.253629258410001e-07,1.51491887923072e-08
1839,8.571548448799149e-07,5.5931801412612e-09
1840,7.235966101859503e-07,5.732719965401145e-09
1841,5.29695270756747e-07,1.3483152372373297e-08
1842,6.044146800832095e-07,9.391571520467323e-09
1843,7.300942233001706e-07,2.067418880535854e-08
1844,6.53687643570322e-07,2.250310071616468e-08
1845,6.26101570588844e-07,1.84147520565503e-08
1846,7.523034408762896e-07,1.1123552079439492e-08
1847,4.217500899628135e-07,2.1033571329098777e-08
1848,4.786906921960821e-07,1.6894965648717175e-08
1849,5.404722855928412e-07,2.765206952304311e-08
1850,6.958720817351605e-07,8.146795238417326e-09
1851,5.262741797906756e-07,7.739326512989919e-09
1852,6.491013921916533e-07,6.510545436100301e-09
1853,5.995819503112898e-07,1.2541057081705276e-08
1854,4.95146824874837e-07,1.1950028078189234e-08
1855,6.920246278241393e-07,2.388121700391821e-08
1856,5.679376684497583e-07,5.17718928838562e-09
1857,7.288092831458926e-07,2.3431243667548785e-08
1858,6.464546000728433e-07,1.2723557707428057e-08
1859,5.336597901361984e-07,1.985947650773312e-08
1860,7.062594917783827e-07,1.876645461251769e-08
1861,6.456154384437696e-07,1.6977469152745783e-08
1862,6.397468812480156e-07,3.162590411776023e-08
1863,7.312125065439545e-07,2.097740781081825e-08
1864,6.779745485019362e-07,1.1986820203091497e-08
1865,8.495854153522941e-07,2.8711750976739836e-08
1866,7.011348301944054e-07,9.731225603104576e-09
1867,7.720822807755212e-07,2.329349513274792e-08
1868,6.821966245240674e-07,1.4325634345446758e-08
1869,6.421827585256779e-07,2.4417595723136287e-08
1870,9.208882190137047e-07,3.1537269684633884e-08
1871,5.820405242218385e-07,1.4869647957382881e-08
1872,5.678451735491308e-07,2.9631962328302563e-08
1873,6.518759114726436e-07,3.7113225992424503e-08
1874,6.434654018505626e-07,2.3300976259577055e-08
1875,7.63251740920623e-07,2.1169650921137873e-08
1876,1.616099709167429e-06,2.3579458163780487e-08
1877,8.089739083061431e-07,2.1646855308254942e-08
1878,6.944952222198708e-07,2.7175898753561967e-08
1879,7.490032878365582e-07,3.482315436009742e-08
1880,6.193221651074055e-07,1.1552123257985158e-08
1881,7.014342635613957e-07,2.161477369311271e-08
1882,8.698588302991084e-07,2.1962770047068148e-08
1883,6.87544067901058e-07,2.1485751844352308e-08
1884,7.215655060122117e-07,2.5086448474098688e-08
1885,7.193329345511756e-07,3.545099686030895e-08
1886,7.189158779397076e-07,2.839524149145234e-08
1887,8.709585550548127e-07,3.1338838857308815e-08
1888,8.236458413080072e-07,4.438430423192585e-08
1889,8.1321474176832e-07,4.072339032656913e-08
1890,7.773502446184466e-07,4.522526664274551e-08
1891,8.165375788848905e-07,4.398211872480573e-08
1892,6.682234463539771e-07,3.6984223683589335e-08
1893,6.928218603263758e-07,5.173069839159439e-08
1894,7.858019230866375e-07,5.356308285797695e-08
1895,8.034850367266699e-07,4.4537746823891666e-08
1896,9.057836685144594e-07,3.8330687734955404e-08
1897,7.469846519114753e-07,3.78736391137835e-08
1898,6.507107883635399e-07,3.8476812402876703e-08
1899,8.252674277287042e-07,3.703477524652499e-08
1900,7.423205747869588e-07,2.803168630549635e-08
1901,8.506060424906536e-07,2.2354955497849716e-08
1902,6.628882971426719e-07,2.356936290581757e-08
1903,6.993285026624108e-07,4.644189521840758e-08
1904,6.175444262623841e-07,4.622177574020725e-08
1905,7.013471634564894e-07,3.0964554309509396e-08
1906,6.40965398090998e-07,1.9547900187433243e-08
1907,6.64455342302972e-07,3.394276654189454e-08
1908,6.512502128686037e-07,4.2729083826742453e-08
1909,7.519844729131364e-07,2.7504918065357487e-08
1910,7.604726661725181e-07,2.778958341220772e-08
1911,7.496407050666676e-07,3.298631923165374e-08
1912,7.51719483105262e-07,2.55261644599436e-08
1913,7.843121672124198e-07,3.3408836419557275e-08
1914,8.002608815615986e-07,3.8841113436660635e-08
1915,6.420515035188146e-07,7.304072568992126e-08
1916,7.570361333364417e-07,5.054232410373061e-08
1917,6.755317691897744e-07,3.618920141335025e-08
1918,7.213444206399799e-07,3.790504266021344e-08
1919,7.66093009474389e-07,3.31482534754457e-08
1920,9.283556181571839e-07,4.846228396360175e-08
1921,8.436040417336699e-07,2.574734203619755e-08
1922,8.65431861285515e-07,3.910305867993458e-08
1923,9.522505308723339e-07,2.0170301873179142e-08
1924,8.237747746164814e-07,3.609654886105318e-08
1925,9.93135458315919e-07,2.6395627239494956e-08
1926,8.9503491551568e-07,2.786534636367577e-08
1927,9.454542748699168e-07,3.3447674407938166e-08
1928,9.083702607881605e-07,4.798937425221084e-08
1929,8.756359157757743e-07,3.787738256377793e-08
1930,7.930220853324954e-07,2.3107927682453067e-08
1931,7.265212005336252e-07,2.0529641986399838e-08
1932,7.17849637510426e-07,3.1782656950696264e-08
1933,6.630042825861437e-07,4.2441451686414666e-08
1934,5.715213973189748e-07,4.7926322466196325e-08
1935,7.396399688275324e-07,1.795242621227544e-08
1936,7.17783084525081e-07,1.8187072292619177e-08
1937,7.000661526035401e-07,3.1477795925383134e-08
1938,7.999537388059252e-07,4.148868626430158e-08
1939,6.775264296265959e-07,3.8235125288110794e-08
1940,5.147639203784138e-07,2.7893612752905028e-08
1941,6.699910954921506e-07,4.7224041566096275e-08
1942,7.555187409025166e-07,3.034211815133858e-08
1943,8.506479396430677e-07,4.064529335323641e-08
