year,les_DET airs_NOUN,les_DET verres_NOUN
1800,1.3324968762162825e-05,3.455436797139555e-06
1801,9.998585923653991e-06,2.3645142164241406e-06
1802,9.871112979453756e-06,2.45714841184963e-06
1803,1.2858586558195384e-05,1.6538876650429302e-06
1804,1.5327947807008968e-05,1.8044511591597256e-06
1805,1.2190259582212093e-05,1.358895502789892e-06
1806,1.3604359764940455e-05,2.8816692179134407e-06
1807,9.542993836930691e-06,2.0213381333178404e-06
1808,1.1763189775138017e-05,1.674628677506007e-06
1809,9.46985633731856e-06,1.0323769501496827e-06
1810,1.557588387868236e-05,1.7223333088622894e-06
1811,1.0391833313860843e-05,1.3939347098812505e-06
1812,1.0028703343323286e-05,3.947468258047593e-06
1813,1.183942828220097e-05,1.0151367888511231e-06
1814,1.101022309057953e-05,1.5670452313543137e-06
1815,8.515134723552364e-06,1.6830675022561081e-06
1816,7.467319932175087e-06,2.227217407835269e-06
1817,9.496927731333926e-06,1.222145598944735e-06
1818,1.0029286769963619e-05,1.1158221866480744e-06
1819,9.241417828320664e-06,7.111171598239707e-07
1820,1.0386730480149708e-05,8.081073623600332e-07
1821,9.884169799079245e-06,1.1301266056307213e-06
1822,9.61155804191094e-06,9.273694558942225e-07
1823,8.369647432004967e-06,1.2185353384097652e-06
1824,9.600068523241134e-06,1.459378822232793e-06
1825,1.0828053007116978e-05,1.1314994452504834e-06
1826,9.133879913747478e-06,7.724602326675267e-07
1827,6.846590473230663e-06,1.1106813744277133e-06
1828,7.461666939434508e-06,1.3740106794557505e-06
1829,8.055356147451675e-06,1.2148190506877654e-06
1830,9.430724787762301e-06,2.426564378765761e-06
1831,8.018557679179139e-06,1.1927272964840085e-06
1832,9.112434710800699e-06,1.6493032575226607e-06
1833,1.0465808713888691e-05,1.924040716971831e-06
1834,8.686714238592685e-06,1.377776811750664e-06
1835,8.70738324465492e-06,1.4536254582253605e-06
1836,8.332386045140083e-06,1.1552969567674154e-06
1837,7.959827073023007e-06,1.190495183323037e-06
1838,7.293702950050829e-06,9.73335353648963e-07
1839,7.055097526631471e-06,1.517849312904218e-06
1840,6.677344650540817e-06,1.1076888597472134e-06
1841,7.537724059147877e-06,1.5062606877336293e-06
1842,6.920917101638224e-06,1.8534936856440254e-06
1843,7.585655282582593e-06,1.6509816020970902e-06
1844,7.089025793050041e-06,1.5186848685289078e-06
1845,6.053989366705537e-06,1.306331327555199e-06
1846,5.999107713705598e-06,1.3196046353414204e-06
1847,5.701716169426163e-06,1.7209777070092969e-06
1848,6.272859550904286e-06,1.515719716849162e-06
1849,6.230932918072085e-06,1.2016081427645986e-06
1850,6.899656739278726e-06,2.114772229333539e-06
1851,6.306261127519974e-06,1.4098473286594526e-06
1852,6.749482395207451e-06,1.1562728943204093e-06
1853,6.968049916622476e-06,1.6219766365566102e-06
1854,6.6852613400669725e-06,1.7301562991178798e-06
1855,7.634559651137351e-06,1.455692810736764e-06
1856,6.480805353703545e-06,1.28653149999991e-06
1857,7.01619282494903e-06,1.379026357994917e-06
1858,6.3020758886978e-06,1.9124486243526917e-06
1859,6.959473168421937e-06,1.4441403095588612e-06
1860,7.022773090170631e-06,1.508639840608339e-06
1861,7.099411860167493e-06,1.4633635601057904e-06
1862,6.448973493888843e-06,1.5867167775240887e-06
1863,6.414591609882336e-06,1.5263561010669946e-06
1864,6.506445842546782e-06,1.3444416566699147e-06
1865,5.8444885695507764e-06,1.9472215058158326e-06
1866,5.933615113917767e-06,1.5151518084621785e-06
1867,6.235862642256507e-06,2.2895564768532495e-06
1868,5.725807923795401e-06,2.426466181759679e-06
1869,5.786481651171016e-06,1.567609615449328e-06
1870,6.216282130822037e-06,1.571129416788608e-06
1871,5.228805733281661e-06,1.6324749623208845e-06
1872,5.312587347816589e-06,1.855928431382381e-06
1873,4.743908711191125e-06,2.0933057953698153e-06
1874,5.086184728497756e-06,1.9053028808002637e-06
1875,5.059546225538725e-06,2.0237040985193744e-06
1876,5.622189149789847e-06,1.7799467997292595e-06
1877,5.453770590690965e-06,2.761520420335728e-06
1878,5.661645488430622e-06,2.0460432210711588e-06
1879,4.9705468612160075e-06,1.7472669924245565e-06
1880,5.092560776631672e-06,1.689818930117326e-06
1881,4.6862222120580554e-06,1.7500994147212623e-06
1882,4.654776411427974e-06,1.908764488689485e-06
1883,4.673151266842979e-06,2.240205560610775e-06
1884,4.776327870104069e-06,1.90326922222539e-06
1885,4.115538224880311e-06,1.7951094974932857e-06
1886,4.749103958090473e-06,1.833429067232828e-06
1887,4.286238905137907e-06,1.832016252478752e-06
1888,4.136617135941378e-06,1.6390488895012822e-06
1889,4.393740184127637e-06,2.155833556116704e-06
1890,3.71699246670687e-06,1.8155650565176984e-06
1891,3.5829491729089114e-06,1.8568102859717328e-06
1892,3.7648685022872996e-06,1.7113039092464533e-06
1893,3.584814301405004e-06,1.5673169997398873e-06
1894,3.7456348422892916e-06,1.7782944183863947e-06
1895,3.4932039127966164e-06,1.5335429282004043e-06
1896,3.2740304334311077e-06,1.9318667483503305e-06
1897,3.1312759176671534e-06,2.297473230328251e-06
1898,3.361628749587453e-06,1.6992039633123568e-06
1899,3.362978596044286e-06,1.5344557198204711e-06
1900,3.5008463044050586e-06,2.0566952514400327e-06
1901,3.4393098715668202e-06,1.5866429379229885e-06
1902,3.139144510555525e-06,1.7902895024235477e-06
1903,3.284413992332702e-06,1.6983692319172405e-06
1904,2.8754244212336744e-06,1.7435284291877906e-06
1905,2.86680175776155e-06,1.47855752175019e-06
1906,2.9651078818915266e-06,1.773200366983474e-06
1907,3.1772486011050205e-06,1.693024088922357e-06
1908,3.5833495246606617e-06,1.6949203995864082e-06
1909,3.83418556992865e-06,1.7647155488020871e-06
1910,4.158283601896073e-06,2.099182353276774e-06
1911,3.5673109337608366e-06,1.7280574695632822e-06
1912,3.4496786867066476e-06,1.4008133604193063e-06
1913,3.7995920649791515e-06,1.6258967008297986e-06
1914,3.5224870913452833e-06,1.746510719158323e-06
1915,3.3504486083302254e-06,2.087550967644347e-06
1916,3.2621775183372392e-06,1.8250174775857886e-06
1917,3.5257055444049e-06,1.5978080654122095e-06
1918,3.842192910497033e-06,1.693091846277639e-06
1919,3.598427042561525e-06,1.7660652815720823e-06
1920,3.47338261974528e-06,1.584110890462398e-06
1921,3.3978916675891924e-06,1.634198909528095e-06
1922,3.2521939488106e-06,2.012700761611086e-06
1923,3.3121758917786792e-06,1.6040697801145143e-06
1924,3.4781603801548044e-06,1.601139729245915e-06
1925,3.682189920084511e-06,1.6398283690932658e-06
1926,3.2412969517281454e-06,1.5860955215885042e-06
1927,3.245539367924266e-06,1.6857628395428037e-06
1928,3.1455890976417322e-06,1.921860075526638e-06
1929,3.111515525233699e-06,1.7523858844015194e-06
1930,3.3779589330151794e-06,2.150087652807997e-06
1931,2.9756575230521776e-06,1.9856725828049093e-06
1932,2.972226369024611e-06,1.8565455377483886e-06
1933,2.59695791271497e-06,1.688481518158369e-06
1934,2.801293334186994e-06,1.8152094298784505e-06
1935,2.5468508866310913e-06,2.191392781014656e-06
1936,3.1948622023492135e-06,1.777483163323268e-06
1937,2.445195036671066e-06,1.9465868490442517e-06
1938,2.598229063011104e-06,1.807350912486072e-06
1939,2.720811654199906e-06,2.622929685003328e-06
1940,2.842612751408069e-06,1.5924717047255399e-06
1941,3.3233918941277807e-06,1.738434974640768e-06
1942,3.5469934971388284e-06,2.25441925749692e-06
1943,3.6464634760591252e-06,1.9916193139124516e-06
1944,3.6148344975117652e-06,1.9054193955980736e-06
1945,3.5596755836309057e-06,2.141469465755108e-06
1946,3.1893250564962727e-06,1.7860776608813467e-06
1947,2.9229974742861486e-06,1.6450801325618158e-06
1948,3.0191232767151632e-06,1.5546799261301203e-06
1949,2.5946352124606165e-06,1.414630887097701e-06
1950,2.7098902108946277e-06,1.819710348627268e-06
1951,2.9883909462569136e-06,1.6802369344759427e-06
1952,2.2639694776671604e-06,1.4878718559430126e-06
1953,2.347617026998705e-06,1.9058900875279505e-06
1954,2.7832183491227624e-06,1.9535299600192957e-06
1955,2.5031416512888427e-06,1.754170156686996e-06
1956,2.667797218691703e-06,1.7512051897483616e-06
1957,2.60545267138923e-06,1.9030670728170662e-06
1958,2.5495054600810363e-06,1.8769719929423445e-06
1959,2.1237049807609765e-06,1.6044047868035705e-06
1960,2.7551836652150996e-06,1.8637804686250092e-06
1961,2.3227696104299866e-06,1.6717271762445307e-06
