year,vos_DET vivres_NOUN
2004,6.607186797680242e-09
2005,4.5037495954858286e-10
2006,4.117890028965121e-09
2007,1.997239706952314e-09
2008,8.51487946817997e-09
2009,8.105927484791664e-09
2010,2.3618964561933353e-09
2011,4.206369030868018e-09
2012,1.1574459418683958e-08
2013,1.0598675048711925e-08
2014,1.0177592504878596e-08
2015,1.1747849276710909e-08
2016,1.6570720795527905e-08
2017,1.1571812535970949e-08
2018,1.0325866384164328e-08
2019,9.438654358095988e-09
