year,mes_DET iles_NOUN,mes_DET villes_NOUN
1800,3.144164484325529e-09,7.545995117652637e-08
1801,0.0,8.334139245391725e-08
1802,0.0,3.8043282302169246e-08
1803,0.0,3.1205427575287104e-08
1804,0.0,1.7302956178966156e-08
1805,0.0,4.8328921309348516e-08
1806,0.0,2.305335300434308e-08
1807,0.0,6.547996855843508e-08
1808,0.0,4.5321479902327155e-09
1809,0.0,1.8072244145628247e-08
1810,0.0,3.510190182964834e-08
1811,0.0,2.757784400841956e-08
1812,0.0,1.0668832928217853e-08
1813,0.0,6.326631307729258e-08
1814,0.0,2.8320094713762956e-08
1815,0.0,3.506390555685357e-08
1816,0.0,2.3176038865813098e-08
1817,0.0,3.7364961347208236e-08
1818,0.0,7.152706427149269e-09
1819,0.0,1.9666995143552413e-08
1820,0.0,1.210381110894332e-07
1821,0.0,4.536284592404627e-08
1822,1.0025615893027862e-09,6.215881853677274e-08
1823,0.0,3.4589405117912975e-08
1824,0.0,1.2968514173650192e-07
1825,0.0,8.629334180554338e-08
1826,0.0,8.719904798226707e-08
1827,2.7651818612639545e-09,4.147773030593882e-08
1828,0.0,1.1006761113652175e-08
1829,0.0,2.4004892296147773e-08
1830,0.0,3.131050774207722e-08
1831,0.0,1.870944776882766e-08
1832,6.764984572527055e-09,1.7588959844161423e-08
1833,0.0,1.7375442640243932e-08
1834,2.8003592777992026e-09,9.147840196455093e-08
1835,0.0,7.941242330389287e-08
1836,0.0,7.392825263075053e-08
1837,0.0,6.47083866489595e-08
1838,6.312161904276081e-10,4.6709998757776816e-08
1839,1.0487212875887053e-08,1.0067724121043398e-07
1840,1.9109065441114126e-09,5.2231448666173463e-08
1841,0.0,2.953452282739022e-08
1842,0.0,2.4820581145945653e-08
1843,1.7720733769266417e-09,6.615740272275517e-08
1844,0.0,3.787107255570632e-08
1845,3.90615950696116e-09,3.236532108985557e-08
1846,0.0,7.786486677652249e-08
1847,5.393223645455691e-10,3.990985320001528e-08
1848,0.0,2.083712392630943e-07
1849,0.0,2.5976186535103807e-08
1850,1.3577992064028876e-09,7.0605560509307e-08
1851,0.0,5.8689894055774516e-08
1852,0.0,4.6875927361966774e-08
1853,0.0,4.2997910787434535e-08
1854,0.0,3.013485372349578e-08
1855,0.0,4.563965916304369e-08
1856,0.0,1.0354378410237786e-08
1857,2.4407544874094356e-09,2.0502337827466022e-08
1858,0.0,4.6979288681470166e-08
1859,5.092173349652285e-10,3.055304054200292e-08
1860,1.3731551729012637e-09,6.04188272745887e-08
1861,0.0,2.2165029811560544e-08
1862,4.517986262886353e-10,5.286043980312627e-08
1863,0.0,3.3963420520422005e-08
1864,0.0,5.513937173518002e-08
1865,2.8241067262513297e-09,2.8711751032250987e-08
1866,0.0,2.7733993990253225e-08
1867,9.7056229719783e-10,2.329349513274792e-08
1868,0.0,1.9759496372451224e-08
1869,9.767038289254515e-10,3.1742874440077173e-08
1870,0.0,1.9495765002375265e-08
1871,0.0,4.8857414336467286e-08
1872,6.047339295989218e-10,4.5959779981785687e-08
1873,0.0,2.873282073379002e-08
1874,1.1949218281515073e-09,3.345781002250803e-08
1875,0.0,1.0870901512305409e-08
1876,0.0,2.1161051577678336e-08
1877,0.0,3.154256189574767e-08
1878,0.0,1.5097721739465442e-08
1879,0.0,2.2604503158163425e-08
1880,0.0,1.9895322722618403e-08
1881,0.0,1.882577094214355e-08
1882,6.655385131892899e-10,3.9266770501811266e-08
1883,1.2638677882037541e-09,4.3603439081607576e-08
1884,0.0,1.9144920315739e-08
1885,0.0,1.4824961702686323e-08
1886,0.0,2.6459202329132125e-08
1887,6.528924623161458e-10,1.3057849523878673e-08
1888,0.0,1.7119659245778962e-08
1889,3.7590820456401275e-09,2.1301464925294056e-08
1890,6.554386478008212e-10,1.9663159545046938e-08
1891,1.912266012205066e-09,4.52569608455633e-08
1892,6.268512375839919e-10,6.895363835468515e-09
1893,0.0,1.1700991342511458e-08
1894,1.8904617871129403e-09,1.8274463275957942e-08
1895,6.018614495673091e-10,1.625025980445116e-08
1896,1.7691086373616827e-09,3.3613066108273415e-08
1897,0.0,1.8062812801034056e-08
1898,0.0,2.037007806876545e-08
1899,5.527578395003729e-10,8.844125432005967e-09
1900,5.191053142894475e-10,1.1939421895590385e-08
1901,4.470991132876634e-09,8.383108540677142e-09
1902,0.0,1.5712908696396966e-08
1903,0.0,1.674068261792172e-08
1904,3.2247751136083025e-09,3.923476299405593e-08
1905,0.0,1.1353669837621538e-08
1906,1.5432553013283723e-09,1.3889298045022258e-08
1907,0.0,8.228549175370858e-09
1908,0.0,1.4734166775554058e-08
1909,0.0,1.8703344373260933e-08
1910,0.0,2.6720753498743477e-08
1911,5.320374141248863e-10,2.2345571615289828e-08
1912,0.0,4.688478938419394e-09
