year,petites_ADJ allées_NOUN,petites_ADJ vallées_NOUN
1800,1.320549074534938e-07,1.9179402954705438e-07
1801,2.6193008650921e-08,9.762848662830947e-08
1802,3.5805442166747525e-08,2.0811913259422e-07
1803,9.55666195068261e-08,1.6382848855300836e-07
1804,1.0134588990240445e-07,1.1617699158250616e-07
1805,7.107194477384837e-08,1.2792949632967066e-07
1806,2.305335300434308e-08,1.181484350354367e-07
1807,7.117387923472052e-08,1.8505208743135881e-07
1808,1.0423940466353088e-07,1.5862518409903714e-07
1809,7.680704072754452e-08,8.358412628695078e-08
1810,5.148278958699848e-08,1.3572734758326988e-07
1811,3.760615285841595e-08,1.9805906958936248e-07
1812,1.3336041604361526e-08,1.3069320914382843e-07
1813,4.026038169513413e-08,1.9267469042461016e-07
1814,1.2586708564299443e-08,1.0698702368472368e-07
1815,4.045835311217161e-08,1.4025562222741428e-07
1816,4.6352077731626196e-08,2.248075787747439e-07
1817,4.514932783195036e-08,1.3389110620209976e-07
1818,2.6226590676969863e-08,1.81201897930805e-07
1819,3.622867339458935e-08,9.833497216504838e-08
1820,2.0173018810965004e-08,9.137190204455692e-08
1821,1.8736827200882544e-08,1.0453177878844144e-07
1822,5.714601059025881e-08,2.095353721642823e-07
1823,1.581229902569703e-08,1.2847492314449482e-07
1824,2.863178316658832e-08,1.3389569630817277e-07
1825,3.9624492131906663e-08,6.339919167430708e-08
1826,2.6423952803611428e-08,8.103345550125596e-08
1827,3.502563927781921e-08,1.0599863742299931e-07
1828,2.5682442839070063e-08,1.3575005652910477e-07
1829,1.3717081692732336e-08,1.6631960875201912e-07
1830,5.322786122974321e-08,1.7846988953351683e-07
1831,2.6505050598757407e-08,1.4187997976478073e-07
1832,5.547287429408243e-08,8.794479811058409e-08
1833,1.853380560135065e-08,1.6912098033117218e-07
1834,3.547121707470069e-08,1.0641365122410207e-07
1835,3.479020449503878e-08,1.973965879642492e-07
1836,3.293167694096155e-08,1.1492482343555821e-07
1837,2.5048407792382932e-08,1.502904467542976e-07
1838,3.3454458758797045e-08,1.5969769151524815e-07
1839,2.9364196407755117e-08,1.2864313703175867e-07
1840,2.356784811752277e-08,1.6624886711724685e-07
1841,5.3290552415319326e-08,1.9646878968160308e-07
1842,3.4212153110502186e-08,1.925272101743758e-07
