year,meilleurs_ADJ airs_NOUN,meilleurs_ADJ verres_NOUN
1800,9.432493897065797e-09,2.86118961412285e-07
1801,4.7623651688866175e-09,2.1430643926123594e-08
1802,6.713520406265161e-09,3.5805442166747525e-08
1803,1.950339267864365e-08,5.265916058760922e-08
1804,0.0,1.4831105232815389e-08
1805,0.0,3.4114531644036106e-08
1806,8.645007376628655e-09,2.881669125542885e-08
1807,8.540865792383556e-09,3.9857372513552036e-08
1808,1.5862518409903714e-08,2.2660739951163578e-09
1809,6.7770917766551975e-09,0.0
1810,2.574139479349924e-08,0.0
1811,0.0,2.0056614147279106e-08
1812,5.3344164641089264e-09,2.6672082320544632e-09
1813,3.163315653864629e-08,5.751483289628823e-09
1814,2.8320094713762956e-08,1.2586708564299443e-08
1815,5.394447111228828e-09,1.0788894222457657e-08
1816,0.0,0.0
1817,2.0239355080775567e-08,4.203558034987509e-08
1818,1.1921177378582115e-09,3.5763532135746345e-09
1819,9.315945348475907e-09,1.035105001712111e-09
1820,0.0,2.3732962262101864e-09
1821,1.0847637454958203e-08,7.88919063410276e-09
1822,8.02049271442229e-09,0.0
1823,4.941343334508019e-09,1.087095569118901e-08
1824,5.052667617633233e-09,0.0
1825,1.584979791857677e-08,1.2327619813845558e-08
1826,7.0463874735082754e-09,8.807984341885344e-10
1827,0.0,9.217273055917019e-10
1828,9.172301140836225e-09,1.6510142586412258e-08
1829,2.571952872898464e-09,1.2002446148073886e-08
1830,1.0436835840010872e-09,1.1480519646056564e-08
1831,7.795603274018958e-09,0.0
1832,1.8941957335982806e-08,4.7354891563600177e-08
1833,2.20088942626262e-08,6.950177322551099e-09
1834,1.213489042584115e-08,0.0
1835,7.563087933704082e-10,6.806779140333674e-09
1836,6.72075017860152e-09,0.0
1837,2.0873671680021744e-09,0.0
1838,8.837027110075724e-09,9.468243078458727e-09
1839,6.9914749545318955e-09,1.1885507689157748e-08
1840,2.5478754661634184e-09,8.917564464638872e-09
1841,0.0,6.420548537278137e-10
1842,2.0124795163667386e-09,1.341653010911159e-09
1843,2.953455480181333e-09,2.9534556134080958e-08
1844,1.097712254427563e-09,5.488561161115513e-09
1845,3.9061593959388574e-09,5.580227946389016e-10
1846,7.025401593807601e-09,1.1709002656346001e-09
1847,2.1572894581822766e-09,3.235934187273415e-09
1848,0.0,3.218088684420195e-09
1849,6.703531951757213e-09,0.0
1850,6.788996032014438e-10,2.0366988096043315e-09
1851,9.674158363282004e-09,1.2898877521649865e-09
1852,4.557382027314816e-09,1.3021090872200602e-09
1853,1.1943863675867306e-09,2.9859659189668264e-09
1854,2.0782657816909023e-09,3.117398783558656e-09
1855,1.1675261646360013e-08,5.306937111981824e-10
1856,9.318940286107136e-09,1.0354378465748937e-09
1857,5.369659827891837e-09,7.810414537345878e-09
1858,0.0,4.404308473482388e-09
1859,6.619825576592575e-09,8.147477359443656e-09
1860,9.154367819341758e-10,7.323494255473406e-09
1861,4.715963730639317e-10,0.0
1862,0.0,0.0
1863,1.9978483312144135e-09,0.0
1864,9.589455896019672e-10,0.0
1865,9.41368871743009e-10,9.41368871743009e-10
1866,5.838735717134114e-09,2.432806400776144e-09
1867,9.7056229719783e-10,2.523461972714358e-08
1868,1.1361710683388537e-08,4.44588676984381e-09
1869,4.883519144627257e-10,1.4650557433881772e-09
1870,1.7202146374017957e-09,1.1468097582678638e-09
1871,1.6993883633631413e-08,0.0
1872,7.256807155187062e-09,7.861540751719076e-09
1873,1.1972009161809183e-08,1.496501056408306e-08
1874,9.559374625212058e-09,2.3898436563030145e-09
1875,3.432916173551348e-09,8.58229043387837e-09
1876,1.4510435519810017e-08,1.813804439976252e-09
1877,6.184816214727107e-09,0.0
1878,1.69094480639842e-08,3.0195443923020093e-09
1879,3.665595160740054e-09,3.665595160740054e-09
1880,7.701415505323439e-09,6.417846254436199e-10
1881,9.064259565150223e-09,3.4862537301449947e-09
1882,7.320923423037584e-09,1.3310770263785798e-09
1883,1.2638677882037541e-09,3.159669414998234e-09
1884,1.9805090900604227e-09,0.0
1885,6.445635691854079e-10,2.5782542767416317e-09
1886,1.936039106809062e-09,1.2906927748801422e-09
1887,1.3057849246322917e-09,5.223139698529167e-09
1888,2.53624587998047e-09,3.1703073499755874e-09
1889,4.385595886446936e-09,0.0
1890,2.6217545912032847e-09,3.2771931834929546e-09
1891,3.1871101313640793e-09,2.5496880162734215e-09
1892,6.268512375839919e-09,2.5074049503359674e-09
1893,1.847525021858587e-09,6.158416554491453e-10
1894,6.301539290376468e-09,6.9316934414587195e-09
1895,2.4074457982692365e-09,6.018614495673091e-10
1896,7.66613794667137e-09,6.486732040400511e-09
1897,1.7480140668268973e-09,5.2440420894583895e-09
1898,2.26334195829736e-09,5.6583548957434e-10
1899,5.527578395003729e-10,3.3165470370022376e-09
1900,4.671947717582725e-09,1.038210628578895e-09
1901,5.588738916095792e-10,0.0
1902,1.9641135384773634e-09,4.910283846193408e-10
1903,1.0800440541913758e-09,0.0
1904,2.6873125946735854e-09,9.13686282189019e-09
1905,0.0,5.160759042333041e-10
1906,1.5432553013283723e-09,4.629765903985117e-09
1907,2.5714217422034835e-09,0.0
1908,3.929111258571538e-09,1.4734167663732478e-08
1909,2.7504918342913243e-09,4.400786846048277e-09
1910,7.481810726517324e-09,1.336037680488289e-08
1911,2.128149656499545e-09,6.916486494645824e-09
1912,5.209421227725386e-10,1.0418842455450772e-09
1913,5.30298971401777e-10,2.121195885607108e-09
1914,2.0090231700464756e-09,4.018046340092951e-09
1915,2.3561523843085297e-09,1.8849219074468238e-08
1916,0.0,4.504859418830165e-08
1917,2.1932848870420685e-09,2.4126133979507358e-08
1918,3.44591288836682e-09,4.3648228142956214e-08
1919,1.8415696745321952e-09,1.1970202606903513e-08
1920,0.0,9.086678076641874e-09
1921,5.300923255902035e-09,1.8931869405491852e-08
1922,4.426761179843197e-09,1.1804696775641332e-08
1923,3.1847844361720945e-09,6.369568872344189e-09
1924,1.289162443462999e-09,9.02413699321869e-09
1925,6.598906754362588e-09,7.698724324711748e-09
1926,5.57306911730393e-09,1.1146138456652466e-09
1927,2.2298449753321847e-09,6.689535148041159e-09
1928,5.713020723163709e-09,4.570416489713125e-09
1929,1.1140406375176326e-09,3.342121912552898e-09
1930,6.302162347537887e-09,5.2518016602221e-09
1931,6.843213995466613e-09,4.5621426636444085e-09
1932,4.383814644626227e-09,4.383814644626227e-09
1933,0.0,5.735331320977366e-09
1934,3.5944740517379614e-09,4.7926320689839486e-09
1935,5.98414207075848e-09,1.0771455727365264e-08
1936,3.6374143697059935e-09,4.849885826274658e-09
1937,1.2591118148108649e-09,6.295559185076627e-09
1938,0.0,3.8895642262559704e-09
1939,3.058810094103137e-09,0.0
1940,2.028626333583361e-08,0.0
1941,8.854508237732261e-09,5.9030051957620344e-09
1942,0.0,0.0
1943,1.1612940831184915e-08,0.0
1944,6.4263723231761105e-09,0.0
1945,4.357008087652048e-09,2.178504043826024e-09
1946,8.352662561605939e-09,0.0
1947,4.7683483828109274e-09,4.7683483828109274e-09
1948,0.0,2.174377566888097e-09
1949,9.817008317369869e-10,2.945102384188658e-09
1950,1.0635361480382244e-09,3.190608444114673e-09
1951,0.0,5.330700769690111e-09
1952,1.0544803918932644e-09,2.1089607837865287e-09
1953,2.1547654771580937e-09,6.464296653518886e-09
1954,9.772536113672459e-10,1.9545072227344917e-09
1955,0.0,6.569925492527773e-09
1956,2.616342476002842e-09,0.0
1957,6.184526224473075e-09,0.0
1958,8.272243334772611e-09,1.6544486891589827e-09
1959,3.8753737996444215e-09,2.325224457422337e-09
1960,2.7683333403416555e-09,2.7683333403416555e-09
1961,1.3896318540318475e-09,3.47407969059077e-09
1962,5.0735651235811474e-09,2.5367825617905737e-09
1963,4.526237162849611e-09,6.466053248388448e-10
1964,6.083968329129164e-10,6.083968329129164e-10
1965,4.924839203113152e-09,0.0
1966,2.769537488234164e-09,2.215629901769489e-09
1967,2.9582012395223956e-09,4.930335584241163e-10
1968,5.3896989093971115e-09,1.3474247273492779e-09
1969,4.995933444718048e-09,2.2708788183223305e-09
1970,2.7592350626548523e-09,4.5987250119061684e-10
1971,5.652237344833111e-09,2.0553589941130213e-09
1972,6.156176013405457e-09,0.0
1973,2.7566018356850464e-09,2.205281512956958e-09
1974,1.1251143350321513e-09,2.2502286700643026e-09
1975,2.8557400888473694e-09,5.711480177694739e-10
1976,2.285410749536254e-09,3.9994687561772935e-09
1977,5.876781727920388e-09,2.3507127355770763e-09
1978,2.3762365408686037e-09,1.7821774056514528e-09
1979,1.7555920051037788e-09,5.851973350345929e-10
1980,1.1370301367108482e-09,0.0
1981,3.795329828193417e-09,1.2651099057237047e-09
1982,3.7245013739806154e-09,6.207502289967692e-10
1983,1.2630632095778083e-09,6.315316047889041e-10
1984,1.739702604197646e-09,1.1598016991243298e-09
1985,2.4062232206745193e-09,6.015558051686298e-10
