year,gros_ADJ ans_NOUN,gros_ADJ vents_NOUN
1800,0.0,1.0690159513160324e-07
1801,0.0,4.286128785224719e-08
1802,0.0,4.2518962573012686e-08
1803,0.0,6.046051481689574e-08
1804,2.4718509461507665e-09,8.898663139689234e-08
1805,0.0,2.842877755426798e-08
1806,0.0,8.760273999541823e-07
1807,0.0,2.2775640928784924e-08
1808,0.0,1.1330369531492579e-08
1809,0.0,2.710836710662079e-08
1810,0.0,3.510190182964834e-08
1811,0.0,7.270522672797597e-08
1812,0.0,5.3344164641089264e-09
1813,0.0,3.738464116054274e-08
1814,0.0,5.034683425719777e-08
1815,0.0,3.776112933451259e-08
1816,0.0,8.57513455798653e-08
1817,0.0,3.113746771532533e-08
1818,1.1921177378582115e-09,7.152706427149269e-09
1819,0.0,9.315945348475907e-09
1820,0.0,3.085285271708926e-08
1821,0.0,2.465372084259343e-08
1822,0.0,1.7043547018147365e-08
1823,0.0,4.941343334508019e-09
1824,0.0,1.6842225392110777e-09
1825,0.0,3.0819052199149155e-08
1826,0.0,3.8755132436563144e-08
1827,0.0,1.8434546333878643e-08
1828,0.0,2.5682442839070063e-08
1829,0.0,1.457439946506156e-08
1830,0.0,0.0
1831,0.0,1.870944643656003e-08
1832,0.0,2.976593194148336e-08
1833,0.0,6.02348677603004e-08
1834,9.334530925997342e-10,2.0535967593104942e-08
1835,0.0,1.9664028627630614e-08
1836,0.0,1.2769425516978572e-08
1837,0.0,4.0355768504696243e-08
1838,6.312161904276081e-10,7.574594285131298e-09
1839,0.0,2.1673573158409454e-08
1840,0.0,3.184844388215424e-08
1841,0.0,5.1364388298225094e-08
1842,0.0,2.2808102073668124e-08
1843,0.0,1.6539351221922516e-08
1844,0.0,2.4149668931272572e-08
1845,0.0,2.9017185099178278e-08
1846,0.0,2.6345256642912318e-08
1847,0.0,2.3190860787281053e-08
1848,0.0,1.6090443422100975e-09
1849,8.379414939696517e-10,1.8434713311421547e-08
1850,0.0,1.425689166723032e-08
1851,0.0,2.7087642351375507e-08
1852,0.0,1.1067927019325907e-08
1853,0.0,2.9262466227919504e-08
1854,0.0,7.79349651480743e-09
1855,0.0,1.751289246954002e-08
1856,0.0,9.836659486950339e-09
1857,0.0,1.9526035899275485e-08
1858,0.0,4.306435030798639e-08
1859,0.0,2.0877910955618972e-08
1860,0.0,2.7920821210614122e-08
1861,0.0,1.5562680033553988e-08
1862,0.0,3.162590411776023e-09
1863,0.0,2.8469338886338846e-08
1864,0.0,2.685047562067666e-08
1865,0.0,2.6358328852893465e-08
1866,0.0,1.8489329178805747e-08
1867,0.0,3.008743121313273e-08
1868,0.0,1.7289560005906424e-08
1869,0.0,4.395167252368992e-08
1870,0.0,1.4335121534259088e-08
1871,1.0621177271019633e-09,2.7615060460561835e-08
1872,0.0,2.7817760539505798e-08
1873,0.0,1.616221290134945e-08
1874,0.0,4.779687312606029e-09
1875,0.0,8.58229043387837e-09
1876,0.0,9.673623679873344e-09
1877,0.0,7.421779191219002e-09
1878,0.0,2.8987624745013818e-08
1879,0.0,1.5273313280772527e-08
1880,0.0,3.144744553651435e-08
1881,0.0,5.368830713337047e-08
1882,0.0,1.9300616216355593e-08
1883,6.319338941018771e-10,2.1485751844352308e-08
1884,6.601696966868076e-10,9.242375753615306e-09
1885,0.0,4.511945039809007e-09
1886,0.0,1.5488312854472497e-08
1887,0.0,1.6322312390570914e-08
1888,0.0,3.6775563927449184e-08
1889,0.0,3.069916942877171e-08
1890,0.0,2.5562107097698572e-08
1891,0.0,2.42220359325529e-08
1892,6.268512375839919e-10,1.002961980134387e-08
1893,0.0,4.310891643655168e-09
1894,0.0,4.285046628638156e-08
1895,0.0,1.6852119699706236e-08
1896,5.89702897624278e-10,7.66613794667137e-09
1897,0.0,1.631479840114025e-08
1898,0.0,9.619203211741478e-09
1899,0.0,1.3818945987509323e-08
1900,0.0,3.010810800674335e-08
1901,0.0,1.1736351446245408e-08
1902,0.0,1.3748794991386148e-08
1903,0.0,1.296052865029651e-08
1904,2.1498500757388683e-09,5.374625189347171e-09
1905,2.0643036169332163e-09,7.2250627702885595e-09
1906,0.0,1.594697174311932e-08
