year,soixante - dix vers
1800,0.0
1801,0.0
1802,2.4635042894516346e-09
1803,0.0
1804,0.0
1805,0.0
1806,1.8959589453970693e-08
1807,0.0
1808,1.7431036170023617e-08
1809,0.0
1810,0.0
1811,8.001980233984796e-08
1812,6.133925012363761e-08
1813,0.0
1814,0.0
1815,2.660775777485469e-08
1816,5.0662816164503965e-09
1817,2.2179605707606243e-08
1818,3.909968793180951e-09
1819,7.914263022712476e-09
1820,6.474363267727767e-09
1821,1.0800321526005519e-08
1822,1.0964762431342479e-09
1823,0.0
1824,1.4700061612415993e-08
1825,1.7299267796033746e-08
1826,1.922118242347892e-09
1827,0.0
1828,3.0069324807868725e-09
1829,4.682747078987859e-09
1830,7.98974486571069e-09
1831,1.1980137770706278e-08
1832,8.895763237148913e-09
1833,2.7882315123406443e-08
1834,1.0228743407836305e-09
1835,1.6599210894696625e-09
1836,2.937395882085525e-09
1837,3.795493697111851e-09
1838,2.752897243496477e-09
1839,2.063496218340788e-08
1840,1.1829516921579852e-08
1841,2.1059372024012646e-09
1842,7.335207996561621e-10
1843,1.2908356605834115e-09
1844,7.779165756005568e-09
1845,7.930525569577185e-09
1846,8.328585821004708e-09
1847,1.6493679311224696e-08
1848,8.809016294186733e-10
1849,7.339369112457916e-09
1850,9.659086863678112e-09
1851,7.05856872951216e-10
1852,6.4201790550555415e-09
1853,2.614816807522402e-09
1854,2.8415918507107563e-09
1855,4.072451709191682e-09
1856,1.1909394359577163e-08
1857,1.230430424215001e-08
1858,2.6804938269009426e-09
1859,8.361390690936332e-09
1860,1.1039560376957525e-08
1861,2.0655375188027847e-09
1862,4.95108487541529e-09
1863,6.030874466489422e-09
1864,2.0998158767326913e-09
1865,5.159605520610455e-10
1866,5.339306219376283e-10
1867,8.517330840618342e-09
1868,3.2459468446432993e-09
1869,1.1786086773213356e-08
1870,1.1309919223378984e-08
1871,2.3329851384090716e-09
1872,0.0
1873,5.90438187231257e-09
1874,4.588614821443571e-09
1875,8.801758433207851e-09
1876,7.968997906004915e-09
1877,1.5657388274803452e-08
1878,3.988102292851181e-09
1879,4.032317590940693e-09
1880,4.240189976911779e-09
1881,1.2295028106734662e-08
1882,2.1982899944816836e-09
1883,1.184323572545054e-08
1884,2.473446336637153e-08
1885,2.8408335683849373e-09
1886,4.978023770974005e-09
1887,5.762099242190288e-09
1888,1.397803828240285e-08
1889,1.106249936100312e-08
1890,1.4457949282231652e-09
1891,2.8108828598050195e-09
1892,2.075156491088137e-09
1893,1.3585883529287912e-09
1894,3.479404764306082e-09
1895,3.3209788252719363e-09
1896,2.6017417109613916e-09
1897,6.441841726712028e-09
1898,8.115370597749916e-09
1899,7.32049221241482e-09
1900,4.015203280971491e-09
1901,6.167346189300815e-09
1902,1.0273589978737618e-08
1903,7.1531909284772155e-09
1904,1.187045350903304e-09
1905,2.279158417550775e-09
1906,5.675657277492974e-09
1907,5.1153206115372996e-09
1908,1.1934702115468099e-08
