year,ses_DET iles_NOUN,ses_DET villes_NOUN
1800,2.2009150946189493e-08,1.1193225191163947e-06
1801,1.6668277424969347e-08,6.81018203607664e-07
1802,1.7902721083373763e-08,1.3650825110289588e-06
1803,5.070882092006457e-08,9.166594594489652e-07
1804,1.7302956623055366e-08,8.354856362302598e-07
1805,1.1371510844071508e-08,1.3901671920280023e-06
1806,0.0,6.310855482638544e-07
1807,2.562259648897225e-08,9.765055963839586e-07
1808,1.3596443970698147e-08,1.314322901180276e-06
1809,6.7770915546105925e-09,8.403593483308214e-07
1810,1.6380887313260928e-08,6.575756223980989e-07
1811,2.2563691359778204e-08,1.3488073307144077e-06
1812,1.8670457180292033e-08,1.112225859856153e-06
1813,1.1502966579257645e-08,6.988052376755149e-07
1814,1.8880061958270744e-08,1.4978182782954264e-06
1815,5.394447111228828e-09,9.871837782782222e-07
1816,4.6352077731626196e-09,7.694445081085632e-07
1817,9.341240447824362e-09,1.0057402306529184e-06
1818,1.192117760062672e-08,9.358123946867636e-07
1819,2.0702100700376036e-08,1.1355101463550454e-06
1820,9.493184904840746e-09,1.2115676710777734e-06
1821,1.676452932031225e-08,1.0857498224936535e-06
1822,2.2056354964661296e-08,1.0727409289756906e-06
1823,2.2730180404550993e-08,1.1137788042958618e-06
1824,1.6842225392110777e-08,1.1629556411207886e-06
1825,1.6730341556581152e-08,1.536549767422457e-06
1826,2.025836387531399e-08,2.071637929645931e-06
1827,1.0139000472531023e-08,1.0443170381790878e-06
1828,1.742737271159811e-08,1.0960900453937938e-06
1829,2.0575622650120806e-08,9.40477413280405e-07
1830,3.5485241411947754e-08,1.1052609210082665e-06
1831,1.2472964883158966e-08,9.744504358977224e-07
1832,2.8412935226818092e-08,8.686240313693361e-07
1833,1.2162810070215357e-07,8.699305240611466e-07
1834,4.1071934298031465e-08,1.1649494240373315e-06
1835,4.0084366048631637e-08,1.6714424120323201e-06
1836,3.6964125316174545e-08,1.352887036176753e-06
1837,2.9223142350431885e-08,1.3957528857133639e-06
1838,3.661053993297969e-08,1.7459440151412764e-06
1839,3.07624906659143e-08,1.4919808464242124e-06
1840,5.541628994576442e-08,1.1478178763013602e-06
1841,2.760835826620678e-08,9.264851286161502e-07
1842,2.951636535186708e-08,1.3678152583906922e-06
1843,3.5441467149954775e-08,1.1205410181958086e-06
1844,4.1713065890292e-08,1.3090218544675736e-06
1845,2.9017185987356697e-08,1.0909345107279478e-06
1846,3.3956108591581824e-08,9.671636149732876e-07
1847,2.8584084432736745e-08,9.59454508731028e-07
1848,3.218088684420195e-08,9.292231304414145e-07
1849,4.022119171054328e-08,7.642026602638907e-07
1850,2.5119284430275002e-08,7.664776546789653e-07
1851,2.8377531213763518e-08,8.545506133827985e-07
1852,4.687592758401138e-08,9.160337626212822e-07
1853,3.1651238074914545e-08,1.0008957929130702e-06
1854,4.000661590897181e-08,8.765086221274032e-07
1855,2.2819829581521844e-08,8.39026728982617e-07
1856,3.2616293277332176e-08,9.023840910060699e-07
1857,2.2943092981009272e-08,8.405958702439875e-07
1858,2.3489644895846595e-08,9.131599725265005e-07
1859,2.8006954311265986e-08,8.519206140533697e-07
1860,1.876645416842848e-08,8.870582153264195e-07
1861,1.8863854756023812e-08,9.214993248463088e-07
1862,3.252950192544901e-08,8.963684727802956e-07
1863,2.6970953470595305e-08,7.991393111694833e-07
1864,2.6850476286810476e-08,7.796227645684439e-07
1865,1.7886008230050265e-08,7.417986545021904e-07
1866,9.244664644914025e-09,7.386000646647517e-07
1867,2.4749338578544666e-08,7.919788416188567e-07
1868,1.877152078222366e-08,6.456415562183793e-07
1869,1.7092317228240006e-08,6.83204319784636e-07
1870,2.69500293192948e-08,8.882041697688692e-07
1871,2.6552943621638292e-08,8.082716043134042e-07
1872,1.5118348350995348e-08,6.621836377007639e-07
