year,ayez_VERB eu_VERB,ayez_VERB vu_VERB
1800,5.0306631749208464e-08,5.65949598296811e-08
1801,1.3334621939975477e-07,8.334139067756041e-08
1802,1.1860552717735118e-07,5.147032311469957e-08
1803,7.216254971353919e-08,2.7304748684287006e-08
1804,9.39303390623536e-08,6.426812149129546e-08
1805,1.4214388954769674e-07,6.254330742194725e-08
1806,2.2765186713513685e-07,1.873084869430386e-07
1807,7.117387923472052e-08,3.4163463169534225e-08
1808,8.611080914988634e-08,3.852325747288887e-08
1809,1.3102376783535874e-07,6.551188391767937e-08
1810,1.942305232205399e-07,7.254392642153107e-08
1811,8.273353557797236e-08,3.259199843341776e-08
1812,9.068507722531649e-08,8.535066342574282e-08
1813,1.2653262615458516e-07,6.326631307729258e-08
1814,9.125363931161701e-08,4.72001566720337e-08
1815,7.821948599939788e-08,4.315557688983063e-08
1816,1.367386346373678e-07,3.9399267848239106e-08
1817,1.3389110620209976e-07,8.095742032310227e-08
1818,1.513989502655022e-07,5.126106117359086e-08
1819,1.2524770909294602e-07,7.03871378959775e-08
1820,1.4358441546846734e-07,8.069207524386002e-08
1821,1.9821591479285416e-07,8.678109963966563e-08
1822,1.303330066093622e-07,7.418955760840618e-08
1823,1.7294702558956487e-07,6.324919610278812e-08
1824,1.4905369027928828e-07,9.010590673597108e-08
1825,1.3736490700466675e-07,8.012953145453139e-08
1826,1.2243097557984584e-07,5.19671061738336e-08
1827,2.037017310385636e-07,4.3321183085254233e-08
1828,1.1098484264948638e-07,4.219258542548232e-08
1829,9.087566610332942e-08,3.5150023336427694e-08
1830,1.49246758951449e-07,6.78394300734908e-08
1831,6.392394169552063e-08,7.951515357262906e-08
1832,1.1229874274931717e-07,1.1771073360478113e-07
1833,1.2973663388038403e-07,3.359252431778259e-08
1834,1.1761508744712046e-07,4.573920264761e-08
1835,1.4899282518854307e-07,7.184933537018878e-08
1836,1.290383977448073e-07,9.543465040451338e-08
1837,1.0436836106464398e-07,5.0096815584765864e-08
1838,8.458297173774554e-08,5.807189040751837e-08
1839,1.3913034990764572e-07,5.663094881924735e-08
1840,1.2038711361128662e-07,2.7389662093924017e-08
1841,1.3097918838411715e-07,3.78812359258518e-08
1842,1.395319202401879e-07,3.3541326160957396e-08
