year,anciens_ADJ airs_NOUN,anciens_ADJ verres_NOUN
1800,3.144164484325529e-09,0.0
1801,9.524730337773235e-09,1.1905912700171939e-08
1802,4.475680270843441e-09,0.0
1803,4.290746247193056e-08,0.0
1804,1.4831105232815389e-08,0.0
1805,5.685755422035754e-09,0.0
1806,5.76333825108577e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,1.8128591960930862e-08,0.0
1809,0.0,0.0
1810,6.786367379163494e-08,0.0
1811,7.521229861140455e-09,0.0
1812,2.6672083208723052e-08,0.0
1813,1.4378708002027452e-08,2.0130190847567064e-08
1814,3.1466772298927026e-08,2.5173417128598885e-08
1815,2.697223555614414e-09,8.90083740046066e-08
1816,6.952811659743929e-09,2.3176038865813098e-09
1817,2.1796227045456362e-08,6.227493631882908e-09
1818,1.5497530370112145e-08,3.5763532135746345e-09
1819,5.175524897538253e-09,0.0
1820,2.4919611263385377e-08,3.5599443393152796e-09
1821,1.3806083387635226e-08,0.0
1822,1.9048670196752937e-08,1.0025615893027862e-09
1823,1.087095569118901e-08,0.0
1824,2.7789671008804362e-08,4.210556348027694e-09
1825,2.1133063299316746e-08,1.7610886082763955e-09
1826,1.9377566218281572e-08,7.0463874735082754e-09
1827,1.1060727445055818e-08,3.6869092223668076e-09
1828,1.559291185060374e-08,7.337841001486822e-09
1829,1.8860987438529264e-08,3.429270423183084e-09
1830,5.322786122974321e-08,1.0436835395921662e-08
1831,4.677361609140007e-09,0.0
1832,4.058990921151917e-09,0.0
1833,1.2741991128883967e-08,0.0
1834,1.4001796166951408e-08,1.8669061851994684e-09
1835,3.554651328840919e-08,0.0
1836,1.8146025126952736e-08,1.3441500135158435e-09
1837,2.2265251753417203e-08,6.957890930081589e-10
1838,5.870310459954453e-08,5.680945491803868e-09
1839,4.4046294611632675e-08,2.7965900706306e-09
1840,6.369688665408546e-09,1.9109065441114126e-09
1841,1.0914932957462042e-08,1.3483152372373297e-08
1842,6.037438549100216e-09,1.341653010911159e-09
1843,1.7720733325177207e-08,0.0
1844,2.5796238034558883e-08,7.1351298203126134e-09
1845,1.1160455670733427e-08,1.897277535078956e-08
1846,2.1661655580373917e-08,1.6392604607062822e-08
1847,9.168480197274675e-09,5.9325460100012606e-09
1848,8.84974404868899e-09,1.206783295515379e-08
1849,7.54147322368226e-09,7.54147322368226e-09
1850,1.3577992064028876e-08,8.82569484161877e-09
1851,2.1283147688677673e-08,5.8044946626978344e-09
1852,1.9531636752390114e-08,1.3672145193766028e-08
1853,2.329053394589664e-08,5.971931837933653e-09
1854,3.221311928314208e-08,2.4419623656513068e-08
1855,7.429711956774554e-09,7.960405667972736e-09
1856,1.2425253714809514e-08,4.659470143053568e-09
1857,2.001418764052687e-08,2.9289055625270066e-09
1858,1.7127865348243176e-08,0.0
1859,2.2405561850291633e-08,1.2730433596175317e-08
1860,2.013960886948496e-08,2.288591982591015e-09
1861,8.017138064531082e-09,1.0375120318428799e-08
1862,2.2589931703009825e-08,1.355395884417021e-08
1863,2.996772441310469e-09,2.0477944673302773e-08
1864,1.2945765348604255e-08,6.233146443435089e-09
1865,5.177528628053096e-09,6.589582213223366e-09
1866,2.0435575009969398e-08,3.8924903300596725e-09
1867,2.814630661873707e-08,1.552899675516528e-08
1868,2.420538258718352e-08,2.1241458370013788e-08
1869,2.0999133099053324e-08,7.325278605918584e-09
1870,9.747882501187632e-09,1.834895613228582e-08
1871,1.2745412503178954e-08,4.248470908407853e-09
1872,1.3304146229131675e-08,9.071008832961525e-09
1873,8.979006316245375e-09,1.1373408881354408e-08
1874,3.465273329394947e-08,5.974609140757536e-10
1875,4.577221712764867e-09,1.4303817685856757e-08
1876,3.264847947548333e-08,4.232210137899983e-09
1877,3.772737733331866e-08,3.216104360603822e-08
1878,3.019544392302009e-08,2.2344627481629686e-08
1879,1.9549840857280287e-08,6.720257683667796e-09
1880,7.059631101924424e-09,3.2089231272180996e-09
1881,1.1853263259808955e-08,5.5780060570498335e-09
1882,1.1979693681496428e-08,6.655385131892899e-10
1883,2.717315822353683e-08,2.0853818227806187e-08
1884,2.178559910248623e-08,1.4523733327109767e-08
1885,1.6114089618213256e-08,1.2246707647989297e-08
1886,4.58195934527339e-08,9.680196200179125e-09
1887,2.6768591565584643e-08,6.528924512139156e-09
1888,1.7119660356001987e-08,6.974675947901687e-09
1889,1.4409814674820609e-08,1.7542383545787743e-08
1890,1.2453334363726754e-08,1.1142456735058204e-08
1891,8.286486163910922e-09,6.3742202627281586e-09
1892,5.01480967862733e-09,8.775916882086676e-09
1893,5.542574899042307e-09,3.695050043717174e-09
1894,3.150769600779313e-08,6.301539290376468e-10
1895,7.824199066419624e-09,5.416753268150387e-09
1896,7.076434549446731e-09,1.0024948871034667e-08
1897,1.4566783779201842e-08,1.2236098356765979e-08
1898,7.3558613644664206e-09,3.960848538042683e-09
1899,2.3768587098516036e-08,4.4220627160029835e-09
1900,9.34389543516545e-09,5.19105292084987e-09
1901,1.1736351446245408e-08,1.1177477832191585e-09
1902,9.820567470342212e-09,6.874397495693074e-09
1903,9.180374460626695e-09,3.7801539676252105e-09
1904,6.449550227216605e-09,1.0749250378694342e-09
1905,1.3934049469810361e-08,1.5482277682110634e-09
1906,9.773950537805831e-09,6.6874399351490865e-09
1907,2.3657079850636364e-08,3.599990305858114e-09
1908,7.367083831866239e-09,8.840499887696751e-09
1909,1.320236009405562e-08,7.701377313651392e-09
1910,2.3514263869373053e-08,4.275320542035388e-09
1911,1.5429085564733214e-08,7.980561100850991e-09
1912,1.4586379215586476e-08,3.125652625612929e-09
1913,2.333315407554437e-08,1.3257474229533273e-08
1914,2.0090231700464756e-08,1.4063162190325329e-08
1915,1.4136913861761968e-08,0.0
1916,9.888715624128963e-09,1.0987462051303964e-09
1917,6.57985488317081e-09,3.289927441585405e-09
1918,8.040463406189247e-09,1.8378202071289707e-08
1919,8.287063479883727e-09,1.6574126959767455e-08
1920,1.8930579770426448e-08,2.2716695191604686e-09
1921,1.5145495524393482e-08,4.543648568500203e-09
1922,1.2542490601674672e-08,3.6889677978990676e-09
1923,1.1677542488541803e-08,6.369568872344189e-09
1924,7.734974438733389e-09,7.734974438733389e-09
1925,1.6497267552040284e-08,2.1996355847875293e-09
1926,1.0031524944054127e-08,2.229227691330493e-09
1927,2.4528294062520217e-08,1.1149224876660924e-09
