year,ces_DET allées_NOUN,ces_DET vallées_NOUN
1842,2.3143514926715625e-07,8.210916497830567e-07
1843,2.8175965383070434e-07,5.652913692699713e-07
1844,2.6235322003742567e-07,5.241576204184639e-07
1845,3.392778644695227e-07,6.97528470539055e-07
1846,2.125184010992598e-07,6.264316212423182e-07
1847,2.0008859280551405e-07,7.000404131929372e-07
1848,2.2767976837201331e-07,7.506191792572281e-07
1849,2.488686270396556e-07,6.619738002200393e-07
1850,2.2471576954785633e-07,5.770646609448704e-07
1851,2.6120226959136517e-07,7.700629680584825e-07
1852,2.25915933071974e-07,6.028765220378318e-07
1853,2.3529412018774565e-07,5.410569983155256e-07
1854,1.958765549758823e-07,5.871100974275123e-07
1855,2.611013023567921e-07,6.060522466100338e-07
1856,2.262431735289283e-07,5.379099672353505e-07
1857,2.4553990130016246e-07,4.7545897530199e-07
1858,2.6230102889712725e-07,5.402618263872228e-07
1859,1.9553945662664773e-07,5.799985700605248e-07
1860,3.391693361720627e-07,6.147158195801694e-07
1861,2.598496120498339e-07,6.168480446433477e-07
1862,3.040604745763176e-07,6.677583783698537e-07
1863,3.246503545994983e-07,5.938604417110582e-07
1864,2.4740796256139674e-07,5.317353028999605e-07
1865,2.621712269501586e-07,5.478766844646543e-07
1866,3.1821108592566816e-07,4.836419300602302e-07
1867,3.561963524134626e-07,6.061161563764017e-07
1868,2.553914839609206e-07,5.651215886359751e-07
1869,2.4905947704212394e-07,5.19606444981946e-07
1870,2.7351412512643947e-07,6.072357674469231e-07
1871,2.8889601466630666e-07,3.5474732129614495e-07
1872,2.612450558103774e-07,5.648214731479584e-07
1873,1.9753814761713784e-07,5.225781958273501e-07
1874,2.784167811853422e-07,5.454818072792023e-07
1875,2.4831427225535663e-07,5.978995680777643e-07
1876,3.349492097015627e-07,5.526057798022066e-07
1877,2.2512730257773228e-07,4.978776786401795e-07
1878,2.3914791924539713e-07,5.4170626029304e-07
1879,2.3765275969367394e-07,5.919936256759684e-07
1880,2.4837065737415287e-07,5.846657842312197e-07
1881,2.733222892459253e-07,5.780208525152375e-07
1882,2.7819509185178504e-07,5.890015799536741e-07
1883,3.1912660780619717e-07,4.354024554231728e-07
1884,2.264382104044671e-07,4.924865919520016e-07
1885,2.687830207293018e-07,4.6859772240281927e-07
1886,2.400688572379295e-07,4.491610958723413e-07
1887,2.3765285561694327e-07,4.948924967607127e-07
1888,2.4094335415725254e-07,4.3623428425121347e-07
1889,2.982205131729643e-07,4.648731497525205e-07
1890,1.999087828608026e-07,4.391438999107322e-07
1891,2.0397503774916004e-07,3.684299194617324e-07
1892,2.4885994420742463e-07,5.002272871479363e-07
1893,2.1061784316600551e-07,4.914416287249423e-07
1894,2.848295785895516e-07,4.889994400514297e-07
1895,2.7625440779388555e-07,5.513050780336926e-07
1896,2.405987871156867e-07,5.437061005864052e-07
1897,1.847068133997709e-07,5.185775329152875e-07
1898,2.4104591744844583e-07,5.618746463653679e-07
1899,2.426606986460911e-07,4.902962054131876e-07
1900,2.481323342351516e-07,4.895162994955626e-07
1901,2.0622445973117465e-07,5.599916406140437e-07
1902,1.9395621819739972e-07,4.6254873709017374e-07
1903,2.5759050714668774e-07,6.404661014869362e-07
1904,2.294964911442321e-07,5.740099453532821e-07
1905,1.8527124368006298e-07,5.423958029382447e-07
1906,2.3200271570544828e-07,5.48884500517488e-07
1907,2.3091367040706245e-07,4.767415688888832e-07
1908,2.2788845299714922e-07,5.78070498136185e-07
1909,2.645973040671379e-07,5.31945097748121e-07
1910,2.3460822262677539e-07,6.59468184949219e-07
1911,1.957897666216013e-07,7.07609764560857e-07
1912,2.2140039845908177e-07,4.980206753657512e-07
