year,plusieurs_DET oies_NOUN,plusieurs_DET voies_NOUN
1800,0.0,8.803660733747165e-08
1801,0.0,7.619784025969523e-08
1802,1.5664880947952042e-08,4.699464284385613e-08
1803,0.0,5.460949736857401e-08
1804,0.0,8.404293350139369e-08
1805,3.1271653710973624e-08,7.960057502032214e-08
1806,0.0,1.7001847574249496e-07
1807,5.693910232196231e-09,2.1067467770308212e-07
1808,2.039466551195801e-08,9.290903602021672e-08
1809,1.129515236897305e-08,9.262025457701384e-08
1810,2.3401266702194334e-08,1.2636684720845892e-07
1811,0.0,1.2033968266322859e-07
1812,0.0,1.4136203674297576e-07
1813,0.0,8.339650747757332e-08
1814,6.293354282149721e-09,4.090680416624082e-08
1815,0.0,1.6183340889597275e-08
1816,4.6352077731626196e-09,4.6352077731626196e-08
1817,1.556873407970727e-09,9.18555316253844e-08
1818,0.0,1.1801965804636438e-07
1819,0.0,1.138615495221984e-07
1820,4.746592452420373e-09,6.763894333516873e-08
1821,0.0,1.0650407400447648e-07
1822,0.0,1.233150754842427e-07
1823,0.0,1.0376821535373892e-07
1824,0.0,2.0631725394792966e-07
1825,1.7610886082763955e-09,1.31201107755885e-07
1826,0.0,1.8232527176920144e-07
1827,3.6869092223668076e-09,7.83468205867166e-08
1828,0.0,1.1281930523132644e-07
1829,0.0,8.83037126198083e-08
1830,9.39315203396518e-09,6.05336496484199e-08
1831,0.0,1.4811645598911127e-07
1832,1.3529969367098715e-09,1.2041672725615626e-07
1833,0.0,8.919393756912086e-08
1834,1.8669061851994684e-09,1.1014746137405496e-07
1835,2.2689263801112247e-09,1.777325735474733e-07
1836,2.016224964762614e-09,9.543464951633496e-08
1837,1.3915781860163179e-09,1.809051717316379e-07
1838,1.2624323808552163e-09,1.7042837541225708e-07
1839,0.0,1.3493546546783364e-07
1840,0.0,1.5287253329887562e-07
1841,1.926164561183441e-09,1.7849125288904588e-07
1842,0.0,1.194071153065579e-07
1843,6.497602011990011e-09,1.258172028784088e-07
1844,0.0,1.4160487632475238e-07
1845,5.580227946389016e-10,1.6796486779213637e-07
1846,0.0,1.6626783327922112e-07
1847,0.0,1.2188685616365547e-07
1848,8.045221711050488e-10,1.1424214818589462e-07
1849,2.513824481908955e-09,1.0474268918869711e-07
1850,0.0,1.5478911308264287e-07
1851,6.449438760824933e-10,1.2511911506862816e-07
1852,0.0,1.7318050993253564e-07
1853,1.0152284346531815e-08,1.8214391772630734e-07
1854,0.0,9.715892712591767e-08
1855,0.0,1.2152885986438378e-07
1856,0.0,1.4547902260630963e-07
1857,0.0,1.2447848352081792e-07
1858,4.893676019968041e-10,1.5708700118466368e-07
1859,1.5276520048956854e-09,1.9808553908262638e-07
1860,0.0,1.3502692652878068e-07
1861,4.715963730639317e-10,1.867521710607889e-07
1862,9.035972525772706e-10,1.608403161768024e-07
1863,6.99246927027275e-09,2.1227139157531383e-07
1864,4.794727948009836e-10,2.008991044633035e-07
1865,2.3534221238463715e-09,1.7603597690651895e-07
1866,4.865612912574591e-10,1.805142408883853e-07
1867,0.0,1.1792331555682267e-07
1868,4.44588676984381e-09,8.644779825317528e-08
1869,0.0,1.201345698476075e-07
1870,0.0,1.4851185881070705e-07
1871,0.0,1.3064048420829977e-07
1872,6.047339295989218e-10,1.5783554951909196e-07
1873,5.387403856360606e-09,2.160947616403064e-07
1874,0.0,1.720687361483897e-07
1875,1.1443054281912168e-09,1.9682052787572957e-07
1876,6.04601479992084e-10,2.0435530601048413e-07
1877,6.184815992682502e-10,1.8183359440371305e-07
1878,1.8117265465633636e-09,1.4674985493456916e-07
1879,0.0,1.4540194115397753e-07
1880,1.2835692508872398e-09,1.6493865118150097e-07
1881,3.4862537301449947e-09,1.9244120785799623e-07
1882,3.3276925659464496e-09,1.35104315290846e-07
1883,5.687405213450347e-09,1.2575484653609692e-07
1884,0.0,1.6900344590453642e-07
1885,0.0,1.6694196514066562e-07
1886,6.453463874400711e-10,2.0328411309833427e-07
1887,0.0,1.6387600787481915e-07
1888,6.340614699951175e-10,1.5851536705469016e-07
1889,3.132568426877924e-09,1.1590502602132347e-07
1890,0.0,1.854891351626975e-07
1891,6.374220040683554e-10,1.842149588426878e-07
1892,6.268512375839919e-10,2.0686091062316336e-07
1893,0.0,1.779782374811134e-07
1894,6.301539290376468e-10,1.663606354895819e-07
1895,1.8055843487019274e-09,1.5528025443245497e-07
1896,1.179405795248556e-09,1.5332274827528636e-07
1897,0.0,1.4391983071959658e-07
1898,5.6583548957434e-10,1.6975064376367754e-07
1899,0.0,1.658273482973982e-07
1900,1.038210628578895e-09,1.915498550886241e-07
1901,0.0,1.989591051909656e-07
1902,6.874397495693074e-09,2.774310461362006e-07
1903,0.0,1.8414750613260367e-07
1904,0.0,1.725254694662226e-07
1905,5.160759042333041e-10,1.630799904006608e-07
1906,0.0,1.8364739062803892e-07
1907,0.0,1.6457098572786322e-07
1908,0.0,2.1413655915125673e-07
1909,1.1001967115120692e-09,1.903340320907887e-07
1910,0.0,1.5123946894846085e-07
1911,1.0640748282497725e-09,1.7716846478776915e-07
1912,2.0837684910901544e-09,1.6305489047852006e-07
1913,1.590896969716482e-09,1.5166550682010893e-07
1914,0.0,1.6139152414496039e-07
1915,0.0,1.8731411755013028e-07
1916,2.197492410260793e-09,1.692069222514192e-07
1917,0.0,2.1713521025645832e-07
1918,0.0,1.711470076770638e-07
1919,0.0,1.4180087148929488e-07
1920,7.572231730534895e-10,1.1509791963959515e-07
1921,0.0,1.3706672863378344e-07
1922,1.4755870969551665e-09,1.534610567510697e-07
1923,0.0,1.7516314265719757e-07
1924,0.0,1.3536206022735087e-07
1925,0.0,1.5177486112349925e-07
1926,0.0,1.9617203328436972e-07
1927,1.1149224876660924e-09,1.7281298791971267e-07
1928,1.1426041224282812e-09,1.2911426772177492e-07
1929,0.0,1.347989195821242e-07
1930,0.0,1.7015837094902508e-07
