year,trois_DET yeux_NOUN,trois_DET vieux_ADJ
1800,2.5782149615238836e-07,5.345079623353399e-08
1801,2.762171789072454e-07,3.8098922461315965e-08
1802,4.72184268573983e-07,3.1329761895904085e-08
1803,3.0815360219094146e-07,2.3404069793286908e-08
1804,3.856087573694822e-07,4.2021465418429216e-08
1805,3.212451815670647e-07,1.1371510844071508e-08
1806,1.9595350408962986e-07,0.0
1807,1.2241907221266501e-07,1.1387820908481672e-08
1808,2.4246992325061e-07,2.039466551195801e-08
1809,4.563241589039535e-07,2.9367397402779716e-08
1810,1.2168659679900884e-07,4.680253518074551e-08
1811,1.554387605295915e-07,6.016983888912364e-08
1812,7.734903562095496e-08,3.200649700829672e-08
1813,7.189354045422647e-08,2.5881675469463516e-08
1814,1.258670891957081e-07,1.5733386149463513e-08
1815,7.821948599939788e-08,2.966945977789237e-08
1816,3.036061002603674e-07,4.6352077731626196e-08
1817,3.191590565165825e-07,1.8682481339737933e-08
1818,1.40669895287715e-07,4.2916239451074034e-08
1819,2.8775919302947983e-07,3.2088254720008536e-08
1820,9.611849804969097e-08,1.1866481131050932e-08
1821,1.3904698903388635e-07,2.366757179128598e-08
1822,8.922798144794797e-08,3.0076847679083585e-08
1823,1.7097048043979157e-07,4.5460360809101985e-08
1824,1.1368501873221248e-07,4.210556348027694e-09
1825,2.791325584006188e-07,5.2832657360113444e-08
1826,1.9994124755839948e-07,5.372870326425527e-08
1827,2.1752765011484598e-07,6.359918414133858e-08
1828,1.5042573409118631e-07,4.586150481600271e-08
1829,3.086343269842473e-07,2.8291481601883106e-08
1830,1.0228098834552668e-07,1.461157062010443e-08
1831,1.6058942886587602e-07,3.4300654760954785e-08
1832,1.6506562872109498e-07,2.705993829010822e-08
1833,1.01935931695607e-07,3.011743476832862e-08
1834,1.5308630452182115e-07,4.0138484536100805e-08
1835,1.1571524538567246e-07,3.100866052818674e-08
1836,2.3522625269833952e-07,5.376599965245532e-08
1837,1.1202204319715747e-07,2.99189295560609e-08
1838,1.098316162462254e-07,3.724175656749651e-08
1839,1.2934228710292928e-07,4.334714465148437e-08
1840,1.0573683084658114e-07,4.2039946634986336e-08
1841,1.695024760550723e-07,4.04494575612091e-08
1842,1.006239744860693e-07,5.63494273464471e-08
1843,1.3408687715710244e-07,2.5990409380227675e-08
1844,9.714753379519436e-08,3.732221598440333e-08
1845,1.0769840291802169e-07,3.348136834446791e-08
1846,1.3172628143820475e-07,2.8101606819319613e-08
1847,6.364003724002032e-08,2.426950640455061e-08
1848,1.0136979256003542e-07,4.907585093860689e-08
1849,1.4077416565783096e-07,4.022119215463249e-08
1850,1.3849552260580822e-07,2.2403687793826066e-08
1851,1.1351012574323249e-07,1.5478653025979838e-08
1852,1.7643578109627356e-07,5.4688580108930296e-08
1853,6.628844650968801e-08,4.777545403733541e-08
1854,8.93654285016865e-08,3.7928351848126596e-08
1855,1.0613874223963649e-07,7.323573214534917e-08
1856,4.2970672353703776e-08,3.054541480862483e-08
1857,1.2838368945722323e-07,4.4421731626442806e-08
1858,1.0766087399360913e-07,2.251090935878608e-08
1859,5.906921174414492e-08,5.0412515051334594e-08
1860,1.1351416162597161e-07,4.622955596111922e-08
1861,1.1176834391335433e-07,4.008569076674462e-08
1862,9.532951142365853e-08,3.569209286458097e-08
1863,1.1537574096109893e-07,2.6970951694238465e-08
1864,1.5055445867773187e-07,5.1783063503840765e-08
1865,1.76506665949816e-07,4.377365275809453e-08
1866,1.5229368166558288e-07,4.4277076227672296e-08
1867,1.033648846515689e-07,6.40571080623431e-08
1868,9.08936854671083e-08,6.17484268161661e-08
1869,9.474027340417024e-08,4.8346840642032873e-08
1870,8.601073187008978e-08,8.314370392170645e-08
1871,9.134212231032279e-08,4.0360474962142234e-08
1872,8.103434889772387e-08,3.991243935352884e-08
1873,6.644464889404844e-08,5.088103938177824e-08
1874,1.212845596176848e-07,4.540702924771267e-08
1875,1.0527610072585958e-07,4.520006413599731e-08
1876,4.800535764459823e-07,5.864634489149978e-08
1877,1.1380061371024652e-07,6.061119695033312e-08
1878,1.1474268291067347e-07,5.857916174356603e-08
1879,5.6205792020591616e-08,5.43729949953331e-08
1880,5.134277003548959e-08,8.34320017517598e-08
1881,7.73948323762319e-08,5.2293807950576365e-08
1882,1.1047939252328831e-07,4.658769481302727e-08
1883,9.731781713817611e-08,7.899173337655441e-08
1884,1.0034579389639475e-07,5.941527447816952e-08
1885,5.0920522909336796e-08,4.898682970377877e-08
1886,1.0712750331265397e-07,7.356948517056594e-08
1887,9.075205298358924e-08,4.2438008440726094e-08
1888,1.0335201650057968e-07,3.867774989174677e-08
1889,1.0776034886639252e-07,7.706118232420067e-08
1890,1.3370947726798477e-07,6.554386722257277e-08
1891,1.121862709396737e-07,3.6970476902098426e-08
1892,1.0656471260972467e-07,3.761107514321793e-08
1893,1.5519209761727382e-07,4.249307439252448e-08
1894,9.578339987825757e-08,4.7261544011689693e-08
1895,9.930713673611535e-08,7.22233739480771e-08
1896,1.7691087350613088e-07,5.189385365866883e-08
1897,9.497543163039524e-08,3.903898226909064e-08
1898,9.053367666655987e-08,4.639851169940812e-08
1899,9.949641111006713e-08,4.532614283903058e-08
1900,7.111743072218957e-08,4.360484640031359e-08
1901,8.49488341891913e-08,5.0857523525849047e-08
1902,9.722362009911834e-08,4.124638564029226e-08
1903,1.1988488779479667e-07,6.21025324498703e-08
1904,1.0319280363546568e-07,4.5146850702337815e-08
1905,1.0785986082062493e-07,4.1802147077163454e-08
1906,7.716276628766394e-08,6.173021471767015e-08
1907,6.068555080673832e-08,4.988558188756542e-08
1908,5.107844458507316e-08,4.911389162032265e-08
1909,6.766209936781564e-08,2.8605114166246892e-08
1910,4.649411167179096e-08,7.909342780720863e-08
1911,5.799207669632267e-08,5.054355267652966e-08
1912,9.116487242888383e-08,6.511776540207848e-08
1913,5.302989691813309e-08,6.628737425629083e-08
1914,5.893134513712539e-08,6.629776194699843e-08
1915,4.2410743361642744e-08,4.005459064426731e-08
1916,5.7134801778602196e-08,4.2851103110308486e-08
1917,4.1672411299487067e-08,7.347504293875318e-08
1918,8.155327435588333e-08,6.432370813769239e-08
