year,leurs_DET îles_NOUN,leurs_DET iles_NOUN,leurs_DET villes_NOUN
1800,3.3956976608351397e-07,1.8864987794131594e-08,1.0658717641831572e-06
1801,3.071725651615509e-07,1.1905912700171939e-08,1.2667891198248071e-06
1802,2.0364345232337655e-07,1.1189200677108602e-08,2.4123916659846145e-06
1803,1.7748087088875764e-07,1.950339223455444e-09,1.759206014639858e-06
1804,1.97748079244775e-07,1.7302956178966156e-08,1.6932178539263987e-06
1805,1.02343598484822e-07,5.685755422035754e-09,1.8421847549632275e-06
1806,6.051504897186533e-08,0.0,1.4235445675581104e-06
1807,2.619198742337403e-07,1.7081731584767113e-08,1.6683156509600394e-06
1808,3.331128812789075e-07,1.5862518409903714e-08,1.5499946552921529e-06
1809,4.450290180812999e-07,9.036122072814123e-09,1.5361407257330484e-06
1810,1.2870697219113936e-07,6.786367867661625e-08,1.141981840646622e-06
1811,8.273353557797236e-08,1.2535384286138651e-08,1.5418522423260583e-06
1812,2.9339290108509886e-07,1.600324850414836e-08,1.46163012004763e-06
1813,2.5881675935757187e-07,0.0,1.1359179694636623e-06
1814,2.3285410222229075e-07,3.1466771410748606e-09,1.3782445638099716e-06
1815,2.4275013288388436e-07,5.394447111228828e-09,1.2784839951152094e-06
1816,2.2712518443768204e-07,4.6352077731626196e-09,8.088437670750181e-07
1817,1.1832237589715078e-07,4.670620223912181e-09,1.15052940330429e-06
1818,2.2650236530807888e-07,3.5763532135746345e-09,1.4543835931135618e-06
1819,2.929347147073713e-07,1.656168058250529e-08,1.7679593291575202e-06
1820,3.55994444589669e-07,2.254631414899677e-08,1.8131983132718688e-06
1821,1.715899031751178e-07,2.5639868672655552e-08,1.4861262478405024e-06
1822,2.1454818011079624e-07,1.5038423839541792e-08,2.2126534986455226e-06
1823,2.24336996978991e-07,1.087095569118901e-08,1.5881478319101916e-06
1824,1.1536924660049408e-07,3.3684450784221553e-09,1.5663269072874186e-06
1825,2.0956954926987237e-07,8.805443485471187e-09,1.490761455613665e-06
1826,2.783323056476661e-07,3.435113882233054e-08,2.2962416039717937e-06
1827,1.354939165310043e-07,1.474763688946723e-08,1.2839661565067217e-06
1828,2.4398320874752244e-07,1.2841221419535032e-08,1.3575006221344665e-06
1829,2.4090624606287747e-07,1.800366966620004e-08,9.336188941944101e-07
1830,2.6613930548258224e-07,8.349468672008697e-09,1.4319338355051059e-06
