year,leurs_DET ans_NOUN,leurs_DET vents_NOUN
1800,3.458580977167003e-08,3.144164484325529e-09
1801,2.6193008650921e-08,2.3811825844433088e-09
1802,2.2378401354217203e-08,2.2378401354217203e-09
1803,4.290746247193056e-08,5.851017448321727e-09
1804,2.2246657849223084e-08,7.4155526164076946e-09
1805,3.980028751016107e-08,0.0
1806,4.610670600868616e-08,0.0
1807,5.693910054560547e-08,1.9928686256776018e-08
1808,6.798221763304468e-08,0.0
1809,3.162642681076022e-08,1.581321384946932e-08
1810,1.6380887757350138e-08,2.3401267590372754e-09
1811,3.5099073869560016e-08,2.5070767684098882e-09
1812,2.6672083208723052e-08,2.400487453257938e-08
1813,2.300593315851529e-08,1.7254450312975678e-08
1814,3.776012391654149e-08,0.0
1815,3.506390555685357e-08,5.394447111228828e-09
1816,9.502176112619054e-08,4.6352077731626196e-09
1817,1.71256075987003e-08,1.556873407970727e-09
1818,3.695565098382758e-08,0.0
1819,4.968504185853817e-08,1.8631890696951814e-08
1820,4.746592452420373e-08,4.746592452420373e-09
1821,4.043210211079895e-08,0.0
1822,3.208197085768916e-08,1.0025615893027862e-09
1823,6.621399961659336e-08,6.917880934764753e-09
1824,7.494790565942822e-08,3.3684450784221553e-09
1825,1.6730341556581152e-08,8.805443041381977e-10
1826,2.290075862276808e-08,1.7615968683770689e-09
1827,3.3182182335167454e-08,0.0
1828,6.604057034564903e-08,2.7516904310687096e-09
1829,2.2290258194779256e-08,0.0
1830,2.1917355041978226e-08,0.0
1831,3.1182413096075834e-08,7.795603274018958e-09
1832,1.2176972319366541e-08,6.764984572527055e-09
1833,3.4750886612755494e-08,4.6334514003376626e-09
1834,4.293884248163238e-08,5.600718555598405e-09
1835,1.3613558280667348e-08,3.781543966852041e-09
1836,3.6964125260663394e-08,6.720750067579218e-10
1837,2.6439985201243132e-08,1.3915781860163179e-09
1838,2.335499815764308e-08,0.0
1839,1.747868827450816e-08,0.0
1840,1.9746034474188434e-08,0.0
1841,3.146068650039524e-08,1.0272877659645019e-08
1842,2.951636579595629e-08,1.0062397137744483e-08
1843,1.0041748876865597e-08,2.953455480181333e-09
1844,2.0856533611279815e-08,8.232841963717874e-09
1845,1.1718478298838875e-08,2.7901139176833567e-09
1846,2.5759806732139623e-08,5.854501328173001e-10
1847,8.089835468183537e-09,1.0786447290911383e-09
1848,2.494018680465615e-08,0.0
1849,3.603148401865042e-08,0.0
1850,1.2220192857625989e-08,1.2220192857625989e-08
1851,1.1608989769484879e-08,1.4188765717904062e-08
1852,3.7761164861649377e-08,9.114764054629632e-09
1853,1.7318602996141408e-08,4.777545470346922e-09
1854,2.701745477340367e-08,3.117398783558656e-09
1855,2.4411910715116392e-08,9.021793090369101e-09
1856,1.9673318418789165e-08,4.141751386299575e-09
1857,4.3445430475408386e-08,6.345961978126979e-09
1858,3.523446845399292e-08,2.936205500958522e-09
1859,2.698851964133553e-08,2.036869339860914e-09
1860,2.1055045262841077e-08,1.373155145145688e-09
1861,2.5937799741360124e-08,1.414789119191795e-09
1862,2.078273733663316e-08,3.6143890103090826e-09
1863,2.0477945228414285e-08,9.989241434027463e-09
1864,2.8288894005079612e-08,7.671564716815737e-09
1865,1.5532586550293104e-08,7.0602665935837194e-09
1866,3.795178094012641e-08,1.9462451650298362e-09
1867,2.232293283555009e-08,8.249779526181555e-09
1868,2.5193357400254968e-08,9.385760613156435e-09
1869,1.4162205408396744e-08,9.278686263769487e-09
1870,2.5229814681893004e-08,7.454262984651905e-09
1871,1.805600113868877e-08,0.0
1872,1.7537283514279522e-08,1.2094678591978436e-09
1873,1.7359413795325906e-08,1.3767810003173508e-08
1874,1.911874852877915e-08,1.7923826867161097e-09
