year,jolis_ADJ airs_NOUN,jolis_ADJ verres_NOUN
1800,5.0306631749208464e-08,0.0
1801,8.810375362600098e-08,0.0
1802,5.147032311469957e-08,0.0
1803,3.1205427575287104e-08,0.0
1804,8.898663139689234e-08,0.0
1805,1.421438877713399e-08,0.0
1806,1.152667650217154e-08,0.0
1807,5.97860605466849e-08,0.0
1808,3.6257183921861724e-08,0.0
1809,3.6144488291256494e-08,0.0
1810,7.956430891908894e-08,0.0
1811,8.273353557797236e-08,0.0
1812,4.267533171287141e-08,0.0
1813,8.91479885467561e-08,0.0
1814,5.034683425719777e-08,0.0
1815,3.236668177919455e-08,0.0
1816,1.8540831092650478e-08,0.0
1817,3.113746771532533e-08,0.0
1818,3.457141417584353e-08,0.0
1819,4.243930362690662e-08,0.0
1820,9.374520004712394e-08,0.0
1821,3.254291058851777e-08,0.0
1822,5.514088741165324e-08,0.0
1823,3.162459805139406e-08,0.0
1824,2.863178316658832e-08,0.0
1825,5.459374818883589e-08,0.0
1826,2.2019960965735663e-08,0.0
1827,1.7512819638909605e-08,0.0
1828,2.935136400594729e-08,0.0
1829,2.6576845613135447e-08,0.0
1830,2.2961039292113128e-08,0.0
1831,2.182768810143898e-08,0.0
1832,5.953186388296672e-08,0.0
1833,4.6334513115198206e-08,1.1583628278799551e-08
1834,5.880754372356023e-08,9.334530925997342e-10
1835,5.3697924329298985e-08,0.0
1836,3.49478987970997e-08,0.0
1837,3.6876823372722356e-08,0.0
1838,1.9567702125300457e-08,6.312161904276081e-10
1839,5.663094881924735e-08,0.0
1840,1.7835128929277744e-08,0.0
1841,2.953452238330101e-08,0.0
1842,2.1466448174578545e-08,6.708265054555795e-10
1843,2.539971788451112e-08,5.906911071384968e-10
1844,2.7442807137845193e-08,0.0
1845,2.287893430263921e-08,5.580227946389016e-10
1846,1.5221703009160592e-08,5.854501328173001e-10
1847,1.0247124926365814e-08,5.393223645455691e-10
1848,1.930853166243196e-08,0.0
1849,6.703531951757213e-09,0.0
1850,1.3577992064028876e-08,2.0366988096043315e-09
1851,1.4188765717904062e-08,6.449438760824933e-10
1852,2.4740073101270355e-08,0.0
1853,1.2541057081705276e-08,0.0
1854,2.234135720868835e-08,3.63696517347023e-09
1855,1.3798036491152743e-08,4.776243400783642e-09
1856,1.863788057221427e-08,0.0
1857,2.5871997877402464e-08,4.881509085841174e-10
1858,3.2787628612140907e-08,4.404308473482388e-09
1859,2.8516170758052795e-08,2.036869339860914e-09
1860,4.851814949802247e-08,3.661747127736703e-09
1861,3.159695793897299e-08,1.8863854922557266e-09
1862,1.3102160245637151e-08,4.9697850279528666e-09
1863,2.2475793670651e-08,4.994620828036034e-10
1864,3.404256787575832e-08,0.0
1865,4.424433797112215e-08,4.706844358715045e-10
1866,3.0166798836717135e-08,1.4596839292835284e-09
1867,3.4454963326879806e-08,0.0
1868,2.6181332657415624e-08,1.4819622196071691e-09
1869,2.539429999615095e-08,4.883519144627257e-10
1870,3.096386436141074e-08,0.0
1871,1.4869648623516696e-08,0.0
1872,1.8746751706544273e-08,6.047339295989218e-10
1873,3.412022664406322e-08,5.986004469882289e-10
1874,2.0313670745508716e-08,5.974609140757536e-10
1875,3.20405533216217e-08,4.005069165202713e-09
1876,3.688068872520489e-08,1.813804439976252e-09
1877,3.834585982076533e-08,1.8554447978047506e-09
1878,6.34104324603868e-08,9.662541877730746e-09
1879,1.710611030603104e-08,2.443730107160036e-09
1880,5.262634061864446e-08,0.0
1881,4.044054335849978e-08,6.972507571312292e-10
1882,2.728707926280549e-08,1.3310770263785798e-09
1883,2.9700892412165558e-08,0.0
1884,4.4891539374702916e-08,6.601696966868076e-10
1885,3.4161868001092444e-08,6.445635691854079e-10
1886,3.291266637006629e-08,6.453463874400711e-10
1887,2.9380160526670807e-08,6.528924623161458e-10
