year,certaines_DET îles_NOUN,certaines_DET iles_NOUN,certaines_DET villes_NOUN
1800,5.973912209356058e-08,3.144164484325529e-09,2.4524483288601573e-07
1801,2.8574191901498125e-08,0.0,1.7858869227893592e-07
1802,8.727576528144709e-08,0.0,3.0210841828193225e-07
1803,5.265916058760922e-08,1.755305234496518e-08,2.1648764803039455e-07
1804,5.438072037122765e-08,2.4718509461507665e-09,2.026917798048089e-07
1805,1.9900143755080535e-08,5.685755422035754e-09,3.2124517779230644e-07
1806,6.339671898558663e-08,1.4408345627714425e-08,2.4206020299288866e-07
1807,1.7081731584767113e-08,0.0,4.412780563178842e-07
1808,1.3596443970698147e-08,2.2660739951163578e-09,2.968556866989047e-07
1809,4.292158095609011e-08,0.0,2.914149368482555e-07
1810,1.1700633351097167e-08,9.360507036149102e-09,2.2231203589129223e-07
1811,2.5070767684098882e-09,0.0,2.6575014544505393e-07
1812,3.200649700829672e-08,0.0,2.640536251874437e-07
1813,2.8757416448144113e-09,0.0,4.888760827270744e-07
1814,4.72001566720337e-08,0.0,2.3914746405395704e-07
1815,6.74305908887618e-08,0.0,3.128779439975915e-07
1816,8.1116134253989e-08,0.0,1.9931393069327896e-07
1817,3.7364962679475866e-08,0.0,2.9424907665998035e-07
1818,6.914282835168706e-08,2.384235475716423e-09,2.384235480157315e-07
1819,4.0369094733705424e-08,3.105315005136333e-09,2.3496883727602835e-07
1820,5.3399165977907614e-08,2.3732962262101864e-09,2.859821961465059e-07
1821,4.930744035291923e-08,1.97229765852569e-09,2.7908012834032547e-07
1822,3.308453244699194e-08,0.0,3.138017916626268e-07
1823,2.470671811583003e-08,0.0,2.925275204290756e-07
1824,2.3579115548955087e-08,1.6842225392110777e-09,2.2821215139856577e-07
1825,8.805442908155214e-08,8.805443041381977e-10,2.84415824225448e-07
1826,9.512623133645093e-08,1.145037931138404e-08,2.598355501870486e-07
1827,3.871254738996299e-08,2.7651818612639545e-09,3.336652856233968e-07
1828,7.888178754633657e-08,7.337841001486822e-09,3.457957493679942e-07
1829,4.9724420136953995e-08,1.714635211591542e-09,4.2608683692435534e-07
1830,6.470838087579978e-08,3.1310507520032616e-09,4.1851713117324607e-07
1831,1.1381580211633491e-07,1.0913843828674885e-08,2.946737831521773e-07
1832,5.8178868167502173e-08,2.705993873419743e-09,3.5854418456438e-07
1833,1.5522062835060524e-07,9.266902800675325e-09,2.976992643510812e-07
1834,4.107193762870054e-08,2.8003592777992026e-09,3.929837624205845e-07
1835,5.596685070941021e-08,5.294161553592858e-09,6.330304529456043e-07
1836,7.594447648529012e-08,1.0753200108126748e-08,5.22874365138648e-07
1837,3.200629961064294e-08,7.653680245134353e-09,4.028618967311104e-07
1838,5.112851209077007e-08,3.787297142565649e-09,5.346401055206229e-07
1839,4.75420309786756e-08,2.0974426639952526e-09,4.509501501104296e-07
1840,6.497082266632148e-08,1.7198159785181133e-08,7.089463220921743e-07
1841,6.998397994451011e-08,1.926164561183441e-08,5.162121290425148e-07
1842,8.049918243102638e-08,4.695785538189057e-09,5.514193768263453e-07
1843,8.801297557425869e-08,1.2995204246024628e-08,6.095932452154784e-07
1844,3.402907822191992e-08,6.586273748609983e-09,6.235005844956731e-07
1845,5.8034370198356555e-08,6.138250907561371e-09,5.764375288208612e-07
1846,6.73267648299003e-08,8.781752214304106e-09,6.609731997286872e-07
1847,5.824681537092147e-08,2.1572893693644346e-08,6.488048036601413e-07
1848,9.895622898881129e-08,2.3331143461646775e-08,9.260050291004518e-07
1849,6.116972883773997e-08,1.3407063903514427e-08,6.401872898464944e-07
1850,3.6660580349234806e-08,5.431196825611551e-09,6.463124329059156e-07
1851,6.062472412970976e-08,9.029214265154906e-09,6.771910481262466e-07
1852,4.622487126404451e-08,7.812654523320361e-09,6.432418828694608e-07
1853,4.59838740418661e-08,2.9859659189668264e-09,6.700507242385356e-07
1854,7.273930258122618e-08,1.0391328963965663e-08,5.959426996327011e-07
1855,1.448793831571038e-07,9.021793090369101e-09,6.792879254646778e-07
1856,4.0899794662152544e-08,2.5885946719483854e-09,5.280733237356117e-07
1857,8.981976851174522e-08,8.786716465536415e-09,5.82364057422069e-07
1858,3.3766365703513657e-08,4.404308417971237e-09,7.07625559925873e-07
1859,7.078121200265741e-08,3.5645213447565993e-09,5.866183876435116e-07
1860,9.017052082782584e-08,6.408057279250201e-09,6.389748747892554e-07
1861,5.7063160419090764e-08,6.130753016364565e-09,5.338471229521247e-07
1862,6.325181095556687e-08,8.13237543972889e-09,6.248375079564994e-07
1863,8.291070452415283e-08,4.994620939058336e-09,7.451974290972885e-07
1864,1.505544600099995e-07,8.6305100843731e-09,5.456400131720329e-07
1865,6.495445159515612e-08,1.1296426627449563e-08,7.460348570020869e-07
1866,8.125573214279314e-08,8.271542117910258e-09,6.763202140547264e-07
1867,1.1355578877214612e-07,7.76449837758264e-09,8.63315172239254e-07
1868,9.336362349898764e-08,3.457911734727759e-09,6.718228995339359e-07
1869,1.0304225472879125e-07,3.906815315701806e-09,6.065330957483184e-07
1870,8.773094384295632e-08,5.734048791339319e-09,7.551742449152243e-07
1871,1.2851624364706993e-07,1.274541272522356e-08,9.782104477551457e-07
1872,8.889588420935013e-08,7.861541084785983e-09,8.865399152568898e-07
1873,1.1253688148027408e-07,8.979006815845736e-09,7.608211944898358e-07
1874,1.1112772779764413e-07,5.974609251779839e-09,8.286783028665923e-07
1875,1.430381786349244e-07,1.0870901845372316e-08,8.21039130016743e-07
1876,9.794543798236077e-08,5.441413319928756e-09,8.113751874816444e-07
1877,9.215375840199158e-08,6.184816103704804e-09,7.508366390851506e-07
1878,1.0689186669132766e-07,7.850815053611626e-09,8.424528665784692e-07
1879,8.491962288914578e-08,4.887460103297769e-09,1.0294212806627456e-06
1880,1.0011839890466945e-07,8.343199908722454e-09,9.132595479854899e-07
1881,1.1713812564373427e-07,2.161477374862386e-08,8.66682690059406e-07
1882,1.0249292969888302e-07,1.1314154946262533e-08,1.0715169871389207e-06
1883,1.0047748855157579e-07,4.423537203201988e-09,1.0414270050773666e-06
1884,1.0892799640060957e-07,1.3203393933736152e-08,1.2061300651566853e-06
