year,des_DET ans_NOUN,des_DET vents_NOUN
1800,2.4210066706942257e-07,4.63764250469012e-06
1801,1.2144031291683177e-07,4.540915156781011e-06
1802,1.544109693440987e-07,3.694673978316132e-06
1803,1.677291692203653e-07,3.1888046407857473e-06
1804,2.298821382140659e-07,3.754741577211007e-06
1805,2.2743021221849347e-07,3.3830244206001225e-06
1806,9.221341379372916e-08,6.267630411116443e-06
1807,1.7366426563469872e-07,3.256916684790667e-06
1808,3.2178249620429256e-07,3.657443315319142e-06
1809,1.671682585691059e-07,4.138543793885674e-06
1810,1.6848911998934568e-07,2.941539236189783e-06
1811,3.4096242984560376e-07,3.2541856000989355e-06
1812,1.1735716398675322e-07,2.5285134341856974e-06
1813,2.1280487771946355e-07,3.7183340211299765e-06
1814,2.0453401017306305e-07,1.7117923718501515e-06
1815,1.645306344499886e-07,2.797020790978877e-06
1816,1.7382028794088455e-07,2.7649013247810217e-06
1817,1.603579571352043e-07,2.245011344825798e-06
1818,1.5497530236885382e-07,2.6965702346615217e-06
1819,1.387040714506682e-07,1.6189042142400467e-06
1820,1.9342364865337913e-07,2.856262085515482e-06
1821,1.2031015916846854e-07,2.3421034924808737e-06
1822,1.6843034700286807e-07,2.561544945933747e-06
1823,1.6207605924023483e-07,1.9607251147135685e-06
1824,2.5263338887526743e-07,2.4177014239512573e-06
1825,2.0164464720195951e-07,2.387155618066572e-06
1826,1.655901114006042e-07,2.541984216009041e-06
1827,1.3457219222301475e-07,2.3587001010128006e-06
1828,1.008953154912895e-07,2.313254434227474e-06
1829,1.285976387599419e-07,1.982975703640477e-06
1830,1.4298465544904104e-07,2.1771239175905066e-06
1831,7.171954852225326e-08,2.441582878986992e-06
1832,1.1500473751091533e-07,2.3893926339724203e-06
1833,1.4711208606854598e-07,3.2445742590425652e-06
1834,1.7642263561157279e-07,3.1018646780012205e-06
1835,1.3084142835850798e-07,2.4065746657697673e-06
1836,1.458402760223798e-07,2.051172991457406e-06
1837,1.1897993812404195e-07,2.526410156633574e-06
1838,1.117252639293298e-07,2.137929122625337e-06
1839,1.244482580320394e-07,2.0834596838881225e-06
1840,1.2293498929949465e-07,2.1803444028023478e-06
1841,1.0016055718153893e-07,1.9409317815188842e-06
1842,1.3148199817791806e-07,2.0010754440136225e-06
1843,1.3585894986789526e-07,1.8151938192545458e-06
1844,9.824524904722409e-08,2.1592000933878808e-06
1845,1.5457230917448328e-07,2.026738769700387e-06
1846,1.1065007576860353e-07,2.1450892617735917e-06
1847,8.089835112912169e-08,1.6821464470240244e-06
1848,1.1585119558121804e-07,1.5865176976603834e-06
1849,1.055806320149344e-07,1.7228076814035376e-06
1850,1.0251383653070434e-07,1.7379829913011235e-06
1851,1.2060450571560466e-07,1.6355776715215598e-06
1852,1.1979403624629015e-07,1.5117486995563922e-06
