year,longues_ADJ voies_NOUN
1800,0.0
1801,2.3811825844433088e-09
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,2.0331274441787173e-08
1810,9.360507036149102e-09
1811,5.0141535368197765e-09
1812,0.0
1813,2.8757416448144113e-09
1814,3.4613449884091096e-08
1815,0.0
1816,0.0
1817,0.0
1818,1.1921177378582115e-09
1819,1.035105001712111e-09
1820,1.1866481131050932e-09
1821,9.86148829262845e-10
1822,4.010246357211145e-09
1823,0.0
1824,0.0
1825,0.0
1826,1.145037931138404e-08
1827,9.217273055917019e-10
1828,9.172301251858528e-10
1829,1.714635211591542e-09
1830,6.262101504006523e-09
1831,2.3386808933878456e-08
1832,9.470978667991403e-09
1833,2.3167257001688313e-09
1834,8.401078055442213e-09
1835,1.5126175867408165e-09
1836,1.1425274948351216e-08
1837,9.74104708006962e-09
1838,1.8936485712828244e-09
1839,1.7478688718597368e-08
1840,9.554533164646273e-09
1841,1.2841097074556274e-09
1842,1.0062397137744483e-08
1843,1.2404512972352677e-08
1844,7.683985892015244e-09
1845,6.138250796539069e-09
1846,5.269050973311096e-09
1847,5.3932236454556914e-09
1848,5.63165514222419e-09
1849,9.217356655710773e-09
1850,6.1100964288129944e-09
1851,1.3543821175687754e-08
1852,5.859490670445666e-09
1853,4.180352064508952e-09
1854,1.558699391779328e-09
1855,4.2455496895854594e-09
1856,7.248064815001953e-09
1857,1.3668225662399891e-08
1858,5.872411001917044e-09
1859,9.165912473463322e-09
1860,5.034902272882391e-09
1861,2.0278644541349422e-08
1862,1.400575744270327e-08
1863,1.0988165932701577e-08
1864,8.151037178549814e-09
1865,8.943004559114343e-09
1866,2.432806400776144e-09
1867,1.552899675516528e-08
1868,1.0867722721741302e-08
1869,8.790334682373668e-09
1870,7.454262984651905e-09
1871,6.37270636261178e-09
1872,1.2094679036067646e-08
1873,7.183205141814142e-09
1874,3.5847653734322193e-09
1875,5.149374260327022e-09
1876,1.0278225381910033e-08
1877,1.4843558382438005e-08
1878,2.0532901601200138e-08
1879,2.443730195977878e-08
1880,5.134277003548959e-09
1881,6.2752567586699115e-09
1882,4.6587693702804245e-09
1883,9.479008689083912e-09
1884,5.281357573494461e-09
1885,9.023890079618013e-09
1886,1.613365974151293e-08
1887,1.6322312390570914e-08
1888,8.876860135842435e-09
1889,3.759081934617825e-09
1890,9.176140736144589e-09
1891,7.649063604731055e-09
1892,4.387958441043338e-09
1893,1.4780200174868696e-08
1894,1.8904618315218613e-08
1895,1.3240951446391591e-08
1896,1.1794058174530164e-08
1897,2.0393496669157685e-08
1898,1.1882545614128048e-08
1899,2.266307141951529e-08
1900,2.6474371139784125e-08
1901,2.1237207548097103e-08
1902,1.0802624572647801e-08
1903,2.7001101798873606e-08
1904,1.7198800605910947e-08
1905,2.2707340008309984e-08
1906,1.1317205839134203e-08
1907,1.337139288182243e-08
1908,1.2278472460991452e-08
1909,1.265226234892225e-08
1910,2.2445432179551972e-08
1911,9.044636151145369e-09
1912,5.730363294986773e-09
1913,1.9090762748419365e-08
1914,1.2723813114234872e-08
1915,2.3561524287174507e-08
1916,1.3184954461564757e-08
1917,7.676496771580332e-09
1918,4.3648228142956214e-08
1919,2.2098836538475553e-08
1920,1.1358347151713133e-08
1921,1.1359120755116692e-08
1922,1.1804696775641332e-08
1923,1.0615948120573648e-08
1924,1.675911143195208e-08
1925,8.798542339150117e-09
1926,8.916910765321973e-09
1927,1.4493992672726108e-08
1928,1.4853853258500749e-08
1929,2.1166771446701205e-08
1930,1.7856125467119455e-08
1931,1.0264820993199919e-08
1932,1.2055489939655217e-08
1933,5.735331320977366e-09
1934,1.9170528275935794e-08
1935,2.2739740757060645e-08
1936,1.8187071404440758e-08
1937,1.2591118370153254e-08
1938,1.1668692678767911e-08
1939,6.117620188206274e-09
1940,5.0715658339584024e-09
1941,2.9515025978810172e-09
1942,9.102635090130207e-09
1943,1.4516175816936538e-08
1944,3.213186161588055e-08
1945,1.089252066321933e-08
1946,1.1136883415474585e-08
1947,1.0728784083369192e-08
1948,1.6307831529616124e-08
1949,9.129817613029445e-08
1950,1.701657836861159e-08
1951,1.2793682557799002e-08
