year,meilleures_ADJ îles_NOUN,meilleures_ADJ villes_NOUN
1800,0.0,4.0874138740321087e-08
1801,0.0,7.619784270218588e-08
1802,4.475680270843441e-09,4.699464284385613e-08
1803,0.0,1.482257789842123e-07
1804,0.0,1.2359254952798437e-08
1805,0.0,6.254330742194725e-08
1806,0.0,2.3053352826707396e-07
1807,0.0,3.9857372513552036e-08
1808,0.0,4.758755522971114e-08
1809,2.259030518203531e-09,1.6490922405409947e-07
1810,1.4040760554223652e-08,4.9142661051604364e-08
1811,2.5070768572277302e-08,9.025476543911282e-08
1812,0.0,5.3344166417446104e-08
1813,0.0,5.176335093892703e-08
1814,0.0,1.5733386149463513e-08
1815,0.0,1.1598061178119679e-07
1816,0.0,1.2051540032587127e-07
1817,0.0,6.694555310104988e-08
1818,0.0,1.549753108065488e-07
1819,0.0,5.589566853814176e-08
1820,1.4239777357261119e-08,4.15326857350351e-08
1821,1.676452932031225e-08,7.790576084243384e-08
1822,4.010246357211145e-09,1.965020715033461e-07
1823,0.0,1.4132241688002978e-07
1824,3.3684450784221553e-09,1.5242213624588885e-07
1825,0.0,7.308517524506897e-08
1826,4.403992281964975e-09,1.153845943235865e-07
1827,0.0,5.622536392024813e-08
1828,7.337841001486822e-09,3.3020285172824515e-08
1829,0.0,8.144517238406479e-08
1830,2.0873671680021744e-09,1.0228099256437417e-07
1831,0.0,2.8064171431196883e-08
1832,0.0,2.1647950987357945e-08
1833,1.1583628500844156e-09,3.243415847009601e-08
1834,0.0,6.534171603789218e-08
1835,2.2689263801112247e-09,8.621920244422654e-08
1836,6.720750067579218e-10,1.5256102869898314e-07
1837,0.0,1.3219992922586243e-07
1838,6.312161904276081e-10,1.9378336446607136e-07
1839,2.0974426639952526e-09,6.781731087812659e-08
1840,6.3696887764308485e-09,9.93671420701503e-08
1841,6.420548537278137e-10,7.31942506604355e-08
1842,6.708265054555795e-10,4.762868144325694e-08
1843,5.906911071384968e-10,6.438533262098645e-08
1844,0.0,5.708103856250091e-08
1845,5.580227946389016e-10,3.738752596404993e-08
1846,4.0981511517657054e-09,8.840297027745692e-08
1847,3.235934187273415e-09,7.712309724183797e-08
1848,0.0,1.1585119352730544e-07
1849,0.0,3.854530916669319e-08
1850,0.0,7.87523504186538e-08
1851,0.0,3.611685883697646e-08
1852,0.0,5.338647213193326e-08
1853,3.5831591027601917e-09,5.255300172812838e-08
1854,0.0,7.377843758149538e-08
1855,0.0,5.1477289986223695e-08
1856,5.177189232874468e-10,5.694908011832922e-08
1857,9.763018171682347e-10,8.59145572462694e-08
1858,0.0,6.263905305559092e-08
1859,0.0,4.277425702525761e-08
1860,0.0,6.453829115571352e-08
1861,0.0,2.6880993431177558e-08
1862,4.517986262886353e-10,5.1505043785482485e-08
1863,4.994620828036034e-10,3.2465035104678464e-08
1864,0.0,2.5891531030275416e-08
1865,0.0,2.2592852255698403e-08
1866,0.0,3.989802621617855e-08
1867,0.0,2.814630661873707e-08
1868,0.0,5.0386717020955984e-08
1869,4.883519144627257e-10,3.076617138830784e-08
1870,5.734048791339319e-10,1.3761717099214366e-08
1871,0.0,3.3987767267262825e-08
1872,0.0,3.567930118020257e-08
1873,0.0,2.6937019725892242e-08
1874,0.0,3.764003864148435e-08
1875,0.0,2.5174719198162165e-08
1876,0.0,6.106474614853141e-08
1877,0.0,3.5871931536313184e-08
1878,0.0,3.8046259254187476e-08
1879,6.10932526790009e-10,5.009646741882534e-08
1880,0.0,4.556670862854162e-08
1881,0.0,2.370652651961791e-08
1882,0.0,3.5939081044489285e-08
1883,0.0,2.5909288936531993e-08
1884,0.0,2.970763546272792e-08
1885,6.445635691854079e-10,3.674012388765746e-08
1886,0.0,6.969741306317445e-08
1887,0.0,3.13388383021973e-08
1888,1.268122939990235e-09,4.1213995549682636e-08
1889,0.0,3.696430539434914e-08
1890,6.554386478008212e-10,3.4738247167709346e-08
1891,0.0,1.8485238229004608e-08
1892,0.0,1.2537024751679837e-08
1893,0.0,1.3548516086814288e-08
1894,0.0,3.591877373310126e-08
1895,0.0,2.888934957923084e-08
1896,0.0,2.4177818858106548e-08
