year,aux_ADP oies_NOUN,aux_ADP voies_NOUN
1800,1.2576657582030748e-07,3.018398047061055e-07
1801,6.429192911383552e-08,3.6908329548168695e-07
1802,7.608656460433849e-08,4.900870180790662e-07
1803,1.09218993626925e-07,3.959188745739084e-07
1804,5.9324420931261557e-08,2.496569493359857e-07
1805,1.2224374756897305e-07,2.245873389483677e-07
1806,5.4751713385314815e-08,4.754754172608955e-07
1807,3.131650672116848e-08,6.832692065472656e-07
1808,1.3369836260324064e-07,5.325273946255038e-07
1809,8.132509776714869e-08,4.2921578824461903e-07
1810,3.042164786748458e-08,5.873718009752338e-07
1811,4.011322829455821e-08,5.390215278566757e-07
1812,3.7340914360584065e-08,2.827240734859515e-07
1813,5.751483289628823e-09,4.6011865606487845e-07
1814,5.349351184236184e-08,4.6570821155000885e-07
1815,2.1038344355517324e-07,3.560334960184264e-07
1816,1.274682119856152e-07,4.218039180159394e-07
1817,9.496928132790572e-08,5.153250981493329e-07
1818,7.152706604784953e-08,4.7327074526037904e-07
1819,4.554461963124368e-08,4.761483012316603e-07
1820,2.3732961373923445e-08,6.372300163093314e-07
1821,5.029359129160582e-08,5.690078523912234e-07
1822,5.6143449000956025e-08,5.313576139087672e-07
1823,1.1068609673259289e-07,5.850550905961427e-07
1824,3.115811697540494e-08,5.701093073184893e-07
1825,6.163809995740621e-08,5.838008974023978e-07
1826,2.554315425840059e-08,5.566645882026933e-07
1827,5.7147094167930845e-08,9.263359288524953e-07
1828,6.970948840390179e-08,5.897789492337324e-07
1829,9.85915242779356e-08,5.058174110672553e-07
1830,4.0703659109908585e-08,5.333222929948533e-07
1831,5.456921980950824e-08,5.831111025145219e-07
1832,3.51779220197912e-08,6.372615644067992e-07
1833,6.486831871654886e-08,5.004127388019697e-07
1834,4.947301501800894e-08,6.272804853324487e-07
1835,4.689114518896531e-08,5.91433490626514e-07
1836,4.0324502126320994e-08,4.838939844376e-07
1837,6.818733133684418e-08,7.076175165821041e-07
1838,3.9135405138779333e-08,6.469965683209011e-07
1839,5.5931800524433584e-08,6.851645935057604e-07
1840,4.7772664935052944e-08,7.592668680445058e-07
1841,6.099521199232072e-08,8.231143056036672e-07
1842,3.7566284305512454e-08,9.391571325068071e-07
1843,8.978505050549757e-08,7.767587817397725e-07
1844,6.641159000508878e-08,9.220782999364019e-07
1845,4.2409731282333496e-08,1.0613593985908665e-06
1846,2.4588905134237393e-08,1.0040470215244568e-06
1847,7.496580600729885e-08,8.170733849510725e-07
1848,5.309846429213394e-08,7.152202101678995e-07
1849,4.860060620615059e-08,7.415782192765619e-07
1850,4.955967192188382e-08,7.461106861228473e-07
1851,5.4175285590929434e-08,8.564854852011194e-07
1852,4.948014531436229e-08,8.48975105327554e-07
1853,3.642878354526147e-08,8.169602665475395e-07
1854,5.403491076805267e-08,7.601257152600738e-07
1855,6.580602018857462e-08,8.342504997926881e-07
1856,5.694908100650764e-08,9.230928412762296e-07
1857,4.735063718896981e-08,8.625626719549473e-07
1858,3.229826228690058e-08,9.239260521098913e-07
1859,5.295860283638376e-08,7.836854933884752e-07
1860,4.485640303641958e-08,8.184005082512158e-07
1861,5.5648373908923077e-08,9.710169024401694e-07
1862,7.906476362506965e-08,8.778447408985812e-07
1863,6.742738156706451e-08,1.0248961643810617e-06
1864,6.856460832427302e-08,7.498954346374376e-07
