year,différents_DET airs_NOUN,différents_DET verres_NOUN
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,6.713520406265161e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,9.036122072814123e-09,0.0
1810,0.0,0.0
1811,1.0028307073639553e-08,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,2.5173417128598885e-08,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,9.341240669868967e-09,0.0
1818,0.0,0.0
1819,2.070210003424222e-09,0.0
1820,0.0,0.0
1821,1.97229765852569e-09,0.0
1822,5.012807946513931e-09,0.0
1823,9.882686669016039e-09,0.0
1824,1.0105335235266466e-08,0.0
1825,0.0,7.044354433105582e-09
1826,9.688783109140786e-09,0.0
1827,6.452091305675367e-09,0.0
1828,4.586150570418113e-09,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,1.5591206103948707e-09
1832,6.764984572527055e-09,0.0
1833,3.4750886612755494e-09,0.0
1834,9.334530925997342e-10,0.0
1835,2.193295500774184e-08,0.0
1836,3.36037508930076e-09,6.72075017860152e-09
1837,1.1828414692161004e-08,0.0
1838,5.680945491803868e-09,0.0
1839,8.38977065598101e-09,0.0
1840,3.1848443882154243e-09,7.0066574764382494e-09
1841,2.953452238330101e-08,0.0
1842,4.024959032733477e-09,6.708265054555795e-10
1843,1.3585895075607368e-08,0.0
1844,1.0428266250528395e-08,0.0
1845,5.022205318283568e-09,0.0
1846,8.781752214304106e-09,0.0
1847,8.089835468183537e-09,5.9325460100012606e-09
1848,1.367687652020777e-08,0.0
1849,1.256912263158938e-08,8.379414939696517e-10
1850,5.431196825611551e-09,0.0
1851,7.094382858952031e-09,0.0
1852,1.6927417689771573e-08,0.0
1853,1.0152284346531815e-08,0.0
1854,8.313063126763609e-09,1.558699391779328e-09
1855,1.963566731433275e-08,5.306937111981824e-10
1856,8.801221973442352e-09,0.0
1857,1.6597130780837688e-08,2.4407544874094356e-09
1858,8.31924928945682e-09,0.0
1859,1.3748867822016564e-08,0.0
1860,3.204028820036342e-09,9.154367819341758e-10
1861,1.6977470096435354e-08,9.431927461278633e-10
1862,1.581295272501393e-08,2.710791813242963e-09
1863,1.6482248454963155e-08,1.4983863039219614e-09
1864,1.0068928801842958e-08,0.0
1865,5.6482134525026595e-09,4.706844358715045e-10
1866,9.731225603104576e-09,4.865612912574591e-10
1867,5.338092634588065e-09,4.367530337390235e-09
1868,1.1855697756857353e-08,0.0
1869,6.348574999037737e-09,1.953407657850903e-09
1870,3.4404292748035914e-09,0.0
1871,3.18635318130589e-09,1.0621177271019633e-09
1872,7.256807155187062e-09,0.0
1873,5.387403856360606e-09,0.0
1874,7.766991494406739e-09,0.0
1875,8.58229043387837e-09,0.0
1876,1.813804439976252e-09,0.0
1877,3.0924081073635534e-09,1.8554447978047506e-09
1878,4.22736201599605e-09,3.0195443923020093e-09
1879,6.720257683667796e-09,0.0
1880,1.2193908105473383e-08,0.0
1881,1.673401861523871e-08,3.4862537301449947e-09
1882,7.320923423037584e-09,0.0
1883,6.319338829996468e-09,0.0
1884,2.5086448474098688e-08,6.601696966868076e-10
1885,8.379326565943757e-09,0.0
1886,8.38950331427668e-09,0.0
1887,5.223139698529167e-09,6.528924623161458e-10
1888,5.706553452000662e-09,0.0
1889,1.1277245803853475e-08,1.8795409673089125e-09
1890,6.554386366985909e-09,9.831579994568074e-09
1891,8.92390783491237e-09,6.374220040683554e-10
1892,3.761107425503951e-09,0.0
1893,1.2316833108982905e-09,0.0
1894,5.671385139294216e-09,0.0
1895,1.6852119699706236e-08,0.0
1896,7.076434549446731e-09,5.307326134129653e-09
1897,5.2440420894583895e-09,1.7480140668268973e-09
1898,5.6583546736987955e-09,3.960848538042683e-09
1899,5.527578395003729e-09,1.6582735185011188e-09
