year,tes_DET oies_NOUN,tes_DET voies_NOUN
1800,0.0,4.7162465932615305e-08
1801,0.0,5.476719988628531e-08
1802,2.2378401354217203e-09,4.0281122437590966e-08
1803,0.0,2.5354410126965377e-08
1804,0.0,3.2134061411781545e-08
1805,0.0,1.9331568523739406e-07
1806,0.0,5.4751712497136396e-08
1807,0.0,1.4519471358553915e-07
1808,0.0,5.21197005554086e-08
1809,0.0,3.388545821714217e-08
1810,0.0,2.574139346123161e-08
1811,0.0,4.512738271955641e-08
1812,0.0,4.000812481308458e-08
1813,0.0,2.013019195779009e-08
1814,0.0,1.0384034254684593e-07
1815,0.0,7.821948555530867e-08
1816,0.0,6.721051271085798e-08
1817,0.0,3.269434190045217e-08
1818,0.0,6.437435473571895e-08
1819,0.0,6.521161788342056e-08
1820,0.0,1.257847053182104e-07
1821,8.875339574387908e-09,1.1242096320529527e-07
1822,1.0025615893027862e-09,1.3434325296657335e-07
1823,0.0,9.487379681871744e-08
1824,0.0,7.326367956750346e-08
1825,0.0,8.277116303467835e-08
1826,0.0,4.315912294217128e-08
1827,0.0,5.7147093723841635e-08
1828,9.172301140836225e-09,8.071625262617843e-08
1829,0.0,3.772197487705853e-08
1830,0.0,5.0096812032052185e-08
1831,0.0,1.7150326470094512e-07
1832,0.0,7.576782579121755e-08
1833,0.0,5.907650602043901e-08
1834,9.334530925997342e-10,5.2273372741495905e-08
1835,7.563087933704082e-10,1.013453783116347e-07
1836,3.36037508930076e-09,7.661655043733617e-08
1837,0.0,9.880205320556001e-08
1838,0.0,6.627769666422978e-08
1839,2.7965900706306e-09,1.0976615905100573e-07
1840,0.0,5.223144583510475e-08
1841,0.0,7.576247140761438e-08
1842,0.0,1.073322439815172e-07
1843,0.0,6.320394541070584e-08
1844,1.097712254427563e-09,7.738871610207809e-08
1845,5.580227946389016e-10,6.696273335826675e-08
1846,5.854501328173001e-10,9.074477080872612e-08
1847,5.3932236454556914e-09,1.1163972679639755e-07
1848,1.6090443422100975e-09,3.700802153616678e-08
1849,0.0,4.608678128015242e-08
1850,6.788996032014438e-10,5.295416993789104e-08
1851,3.2247193804124663e-09,6.707416133622246e-08
1852,0.0,8.203287338304222e-08
1853,5.971931837933653e-10,6.987160183768992e-08
1854,2.0782657816909023e-09,8.988499766715563e-08
1855,5.306937111981824e-10,9.605556172687102e-08
1856,3.6240324075009767e-09,1.1700447488660615e-07
1857,4.881509085841174e-10,6.785297590461425e-08
1858,0.0,7.63413487980813e-08
1859,1.5276520048956854e-09,6.161529775283725e-08
1860,1.373155145145688e-09,8.37624654081992e-08
1861,1.4147891747029462e-09,9.431927194825107e-08
1862,9.035972525772706e-10,6.280001232927823e-08
1863,1.4983863039219614e-09,5.444136830234925e-08
1864,4.794727948009836e-10,1.4767762479550584e-07
1865,4.706844358715045e-10,6.401308560999297e-08
1866,0.0,7.590355899367296e-08
1867,4.85281148598915e-10,8.007139129517782e-08
1868,0.0,7.16281763901705e-08
1869,0.0,3.369628076566045e-08
1870,2.8670243956696595e-09,3.7271317143705573e-08
1871,0.0,4.3546825034823655e-08
1872,0.0,6.28923255696634e-08
1873,5.986004469882289e-10,3.7113228379404006e-08
1874,0.0,4.3614645395262386e-08
1875,1.1443054281912168e-09,4.005068870993611e-08
1876,6.04601479992084e-10,8.403960549685507e-08
1877,3.710889595609501e-09,3.46349690039105e-08
1878,0.0,5.193616092746822e-08
1879,0.0,6.475884894996398e-08
1880,1.2835692508872398e-09,2.3746031363458542e-08
1881,6.972507571312292e-10,4.392679953113543e-08
1882,6.655385131892899e-10,2.0631693464778778e-08
1883,3.159669414998234e-09,2.8437025179073316e-08
1884,7.2618666635548834e-09,3.234831424947515e-08
1885,0.0,2.707166935067562e-08
1886,1.2906927748801422e-09,2.9685934488377086e-08
1887,0.0,1.7628096316002484e-08
1888,0.0,1.77537216039525e-08
1889,3.759081934617825e-09,2.6940087494153886e-08
1890,1.0487018364813139e-08,5.767860145056147e-08
1891,6.374220040683554e-10,3.1871099537283953e-08
1892,6.268512375839919e-10,2.820830502514582e-08
1893,6.158416554491453e-10,2.4017824173938607e-08
1894,0.0,1.4493540811955086e-08
1895,0.0,3.069493370588816e-08
1896,0.0,2.299841384001411e-08
1897,0.0,4.2535009514566013e-08
1898,5.6583548957434e-10,3.9042650445964e-08
1899,6.633094074004475e-09,4.4220628936386674e-08
1900,5.19105292084987e-09,2.439795010467094e-08
