year,pas_ADV ôté_VERB,pas_ADV oté_VERB,pas_ADV voté_VERB
1800,1.6978488304175698e-07,0.0,1.6349655140857067e-07
1801,2.09544069207368e-07,9.524730337773235e-09,1.6668278135512082e-07
1802,9.622712582313397e-08,2.2378401354217203e-09,1.6783801015662903e-07
1803,1.2092102963379148e-07,0.0,3.705644502360883e-08
1804,2.4224138428508013e-07,0.0,7.909923027682453e-08
1805,3.439882050315646e-07,0.0,3.1271653710973624e-08
1806,1.181484350354367e-07,0.0,8.06867319624871e-08
1807,1.5942949005420815e-07,0.0,2.8469550272802735e-08
1808,1.450287356874469e-07,0.0,2.4926814390369145e-08
1809,1.965356517530381e-07,2.259030518203531e-09,4.0662548883574345e-08
1810,2.7145469516653975e-07,0.0,3.042164919975221e-08
1811,1.6797415014480066e-07,2.5070767684098882e-09,2.5070767684098882e-09
1812,2.0004061695999553e-07,0.0,5.3344164641089264e-09
1813,1.581657897986588e-07,0.0,8.052076339026826e-08
1814,1.9194730782601255e-07,3.1466771410748606e-09,1.950939889638903e-07
1815,1.4565007688815967e-07,2.697223555614414e-09,1.9959453823048534e-07
1816,9.502176112619054e-08,4.6352077731626196e-09,1.274682119856152e-07
1817,1.4478922594207688e-07,1.556873407970727e-09,1.3544799060127843e-07
1818,1.8000977775045612e-07,1.1921177378582115e-09,1.0848271614349869e-07
1819,1.9149442209709377e-07,0.0,2.3393373282942775e-07
1820,2.1478331291291397e-07,1.1866481131050932e-09,1.9579694310323248e-07
1821,3.0077538326622744e-07,0.0,1.518669137112738e-07
1822,2.817197923832282e-07,2.0051231786055723e-09,1.1328945959121484e-07
1823,2.67820809085606e-07,1.9765373782121287e-09,1.2847492314449482e-07
1824,1.6000113589598186e-07,8.421112696055388e-10,1.793697066432287e-07
1825,1.9988355859368312e-07,8.805443041381977e-10,8.981552213072064e-08
1826,2.30769188647173e-07,7.927186018719112e-09,9.512623222462935e-08
1827,1.9448445698344585e-07,1.8434546111834038e-09,1.0968555130830282e-07
1828,2.5040381501639786e-07,9.172301251858528e-10,2.4673491338944586e-07
1829,1.7489279002802505e-07,1.714635211591542e-09,7.887322084343396e-08
1830,2.066493465235908e-07,0.0,1.0436836106464398e-07
1831,1.5903030714525812e-07,7.795603051974354e-09,1.4811645598911127e-07
1832,1.5559464827674674e-07,0.0,1.2176973029909277e-07
1833,2.1777221093088883e-07,0.0,1.4247862623051333e-07
1834,1.978920494138947e-07,9.334530925997342e-10,2.5016544213940506e-07
1835,1.6033746419452655e-07,7.563087933704082e-10,1.5277437626082246e-07
1836,1.276942498407152e-07,1.3441500135158435e-09,2.063270301277953e-07
1837,1.1550098832913136e-07,6.957890930081589e-10,1.8577568994260218e-07
1838,1.3318661729044834e-07,4.418513332993257e-09,1.3003052856674913e-07
1839,1.6080393550055305e-07,2.0974426639952526e-09,1.510158682549445e-07
1840,1.2611982924681797e-07,1.2739377330817092e-09,1.968233789284568e-07
1841,1.1171754721317484e-07,6.420548537278137e-10,1.2969508134119678e-07
1842,1.0599058697380315e-07,6.708265054555795e-10,1.7508571659163863e-07
1843,1.281799768548808e-07,1.1813822142769936e-09,1.9551875141132768e-07
1844,1.2733461574043758e-07,5.488561272137815e-10,2.2887300588081416e-07
1845,1.3950570121323835e-07,1.674068439427856e-09,2.3939176685416896e-07
1846,1.3933713205460663e-07,2.3418005312692003e-09,2.084202463947804e-07
1847,1.5478552484182728e-07,1.6179670936367074e-09,3.0687442631460726e-07
1848,1.198738033281188e-07,4.02261068899179e-09,6.725805405949359e-07
1849,1.1563592750007956e-07,5.027648741773305e-09,9.351426797366003e-07
1850,1.3645882290802547e-07,2.0366988096043315e-09,5.600921895165811e-07
1851,1.0577079478935048e-07,5.8044946626978344e-09,2.6829664534488984e-07
1852,1.3476828542025032e-07,1.9531636308300904e-09,2.161501129194221e-07
1853,1.4392355751624564e-07,2.9859659189668264e-09,2.3409972982335603e-07
1854,1.1170678249072807e-07,1.0391328908454511e-09,1.1638288555104737e-07
