year,plusieurs_DET allées_NOUN,plusieurs_DET vallées_NOUN
1800,9.118076782499429e-08,1.2891074518961432e-07
1801,3.333655596016172e-08,5.476719877606229e-08
1802,9.398928568771225e-08,6.042168365638645e-08
1803,1.1311967540450496e-07,3.101039371955494e-07
1804,1.2606439270257397e-07,7.662737999680758e-08
1805,6.538618513296512e-08,1.1087222828720655e-07
1806,1.181484350354367e-07,1.0374008496683018e-07
1807,1.4519470870055784e-07,2.306033621835013e-07
1808,1.246340701754889e-07,2.243413206315381e-07
1809,1.4457795316502597e-07,2.3268013649158092e-07
1810,7.020380365929668e-08,2.3869293208633735e-07
1811,1.554387649704836e-07,1.3036799373367103e-07
1812,5.867858199337661e-08,1.0135391548260486e-07
1813,1.0352669943536341e-07,1.8979894811366194e-07
1814,1.2272040805783035e-07,1.541871728072408e-07
1815,4.0458352890127e-08,1.1058616422587875e-07
1816,4.4034472068688046e-08,1.3442102364535913e-07
1817,1.0275364559220179e-07,8.874178480944295e-08
1818,5.0068944545955674e-08,1.3232506756999385e-07
1819,4.9685039416047516e-08,1.542306518054204e-07
1820,1.815571675223282e-07,9.8491796052258e-08
1821,9.960103219963656e-08,1.4003313708599308e-07
1822,2.907428751086627e-07,1.744457165386848e-07
1823,3.0142194606952444e-07,1.2056878517796576e-07
1824,1.30527241459788e-07,1.0694812768718975e-07
1825,9.2457153488823e-08,8.012952990021915e-08
1826,1.2243097913255951e-07,1.858484708350261e-07
1827,1.364156414496165e-07,9.217273255757163e-08
1828,5.044765671868845e-08,2.375625971495765e-07
1829,1.0116347937128012e-07,1.6460497997972112e-07
1830,9.288783786587373e-08,2.452656424623001e-07
1831,3.430065276255334e-08,1.699441511959776e-07
1832,7.576782934393123e-08,1.6506562694473814e-07
1833,3.01174338801502e-08,2.119804083378085e-07
1834,7.00089788363556e-08,1.8108990573750816e-07
1835,1.1647155417904287e-07,1.565559202276745e-07
1836,1.8011610758428276e-07,1.1828520385392949e-07
1837,1.6838095628912697e-07,1.1897993346110525e-07
1838,2.6574201372753237e-07,1.2245594316340203e-07
1839,1.3143973376372742e-07,1.153593380820439e-07
1840,6.114901224263392e-08,1.3057861281140504e-07
1841,6.548959419205858e-08,1.1878014527511027e-07
1842,4.360372285461267e-08,1.2477373267927305e-07
1843,6.084118497895474e-08,8.269675566552337e-08
1844,5.214133058650816e-08,1.1580864089921761e-07
1845,6.13825060225004e-08,8.649353411271932e-08
1846,6.439951505399222e-08,8.664662010104962e-08
1847,4.961765753819236e-08,1.1163972768457597e-07
1848,6.757986170669028e-08,1.2791902292974555e-07
1849,3.100383416665409e-08,1.2736711130223455e-07
1850,1.038716392898209e-07,9.436704306864385e-08
1851,3.482697041867766e-08,1.0641574266223586e-07
1852,3.580800012059626e-08,1.0221556512313157e-07
1853,6.98716053904036e-08,6.808002273039904e-08
1854,8.884586177870801e-08,9.092413044697878e-08
1855,2.653468555990912e-08,8.384960636931282e-08
1856,3.727576114442854e-08,9.008309120872582e-08
1857,9.714202964250518e-08,8.396195827486963e-08
1858,7.046893180095992e-08,7.732007989424972e-08
1859,5.092173438470127e-08,9.165912251418717e-08
1860,5.996111018813366e-08,9.886717444729243e-08
1861,2.5466204478519217e-08,7.121104994567418e-08
1862,3.6595690033891515e-08,1.0662447813558629e-07
1863,2.8968801246698206e-08,4.545105114495129e-08
1864,3.5960461275408306e-08,9.157930369596556e-08
1865,2.4946275378745497e-08,7.907498833503723e-08
1866,6.519921252889915e-08,6.276640657221222e-08
1867,4.173417877950669e-08,1.154969098138281e-07
1868,3.556709482488429e-08,8.496583303596594e-08
1869,4.541672726787738e-08,6.446245159885677e-08
1870,3.899153044883974e-08,9.289158864334013e-08
1871,9.55905954391767e-09,5.3105885911008954e-08
1872,2.5398825820310833e-08,5.2611850431816265e-08
1873,4.19020302899753e-08,7.123345291404348e-08
1874,6.333085789123061e-08,6.034355343187414e-08
1875,3.776207790906483e-08,6.980263361766603e-08
1876,3.385768176933368e-08,8.524880623639319e-08
1877,3.525345027011184e-08,6.741449531943999e-08
1878,4.468925496325937e-08,8.877460677680915e-08
1879,4.887460347546835e-08,7.942122781656735e-08
1880,3.5939940801199555e-08,6.99545257276668e-08
1881,5.7871812009224755e-08,7.321133121962475e-08
1882,4.2594464844114555e-08,5.657077206677741e-08
1883,2.9700893522388583e-08,6.382532458104606e-08
1884,5.0833065756705764e-08,7.195849427432677e-08
1885,3.222817923642651e-08,5.5432466172788963e-08
1886,4.5174246066093104e-08,5.679048142859244e-08
1887,3.917354773896875e-08,7.638841559298726e-08
1888,3.6141505121989326e-08,6.974675881288306e-08
1889,3.759082201071351e-08,6.139834152207868e-08
1890,3.2771932723107966e-08,6.226667448316903e-08
1891,2.995883485734652e-08,3.3783366770734347e-08
1892,1.8805536683430546e-08,5.64166127148269e-08
1893,3.263960834942736e-08,3.9413866836923717e-08
1894,2.0795079658242344e-08,5.4823392048319874e-08
1895,1.2037228991346183e-08,5.356566878944591e-08
