year,beaux_ADJ airs_NOUN
1800,1.6349655140857067e-07
1801,2.09544069207368e-07
1802,6.042168365638645e-08
1803,1.1116933507082649e-07
1804,4.3998947840684366e-07
1805,1.3930100806192058e-07
1806,2.881669161070022e-07
1807,9.11025637151397e-08
1808,1.0650547466184435e-07
1809,1.219876537561504e-07
1810,2.0125089861267043e-07
1811,2.5321475050077424e-07
1812,2.4004873466765275e-07
1813,2.501895153272926e-07
1814,1.541871768040437e-07
1815,2.6972236000233352e-08
1816,6.025770460382773e-08
1817,1.2454987086130132e-07
1818,1.323250700124845e-07
1819,1.0454560817052538e-07
1820,2.480094565271429e-07
1821,9.960103142248045e-08
1822,1.0927921323400369e-07
1823,8.894418357385803e-08
1824,9.515857612996115e-08
1825,2.7825200277220574e-07
1826,9.072223861039674e-08
1827,5.622536392024813e-08
1828,7.613009955775851e-08
1829,4.115124596637543e-08
1830,1.763825281386744e-07
1831,6.704218691311326e-08
1832,5.547287429408243e-08
1833,1.2973663388038403e-07
1834,4.6672655740209734e-08
1835,7.865611451052246e-08
1836,8.871390377862554e-08
1837,8.279890550966229e-08
1838,9.657608046609312e-08
1839,7.760537101830778e-08
1840,7.834716908572403e-08
1841,5.6500828460315233e-08
1842,8.318248667649186e-08
1843,1.0868716060485895e-07
1844,1.2568804663715127e-07
1845,6.02664584903323e-08
1846,5.327596142024049e-08
1847,7.604444984821157e-08
1848,4.666228647920434e-08
1849,9.21735647807509e-08
1850,5.0238568860550004e-08
1851,7.868315066161813e-08
1852,7.877760310748272e-08
1853,7.40519547903773e-08
1854,8.572846610377383e-08
1855,8.703376863650192e-08
1856,9.215397128725655e-08
1857,1.1813251982184525e-07
1858,9.444794812907276e-08
1859,1.1100938257513349e-07
1860,1.1122556742293455e-07
1861,1.2780262181877333e-07
1862,1.1385325437984761e-07
1863,1.0238972691922754e-07
1864,1.1938872690464564e-07
1865,1.0260920646487648e-07
1866,1.201806399397931e-07
1867,9.899735431417866e-08
1868,1.0373735648272486e-07
1869,1.0743742251406729e-07
1870,9.862564098739313e-08
1871,5.735435593123839e-08
1872,6.531126706121881e-08
1873,1.2031868834583292e-07
1874,7.408515356743806e-08
1875,7.666846624232448e-08
1876,1.2998932041874411e-07
1877,1.3421050049089445e-07
1878,1.769453010780353e-07
1879,8.491961800416448e-08
1880,1.0332732691686886e-07
1881,8.855084843162331e-08
1882,1.098138575628127e-07
1883,6.698499233070976e-08
1884,1.1618986750505655e-07
1885,7.21911206369441e-08
1886,7.937760670984062e-08
1887,1.0119832993815692e-07
1888,4.628648753168818e-08
1889,8.771191772893872e-08
1890,3.211649257650606e-08
1891,8.350228597464593e-08
1892,5.7043461065831025e-08
1893,7.082179120931897e-08
1894,7.05772382758596e-08
1895,6.078800396380757e-08
1896,5.838058647622546e-08
1897,6.176316702521945e-08
1898,6.846609512667357e-08
1899,3.4823743888523495e-08
1900,6.125442775228862e-08
1901,4.0797793643410074e-08
1902,3.191684427861219e-08
1903,5.994244389739833e-08
1904,7.524475087450355e-08
1905,5.418797011103038e-08
1906,6.121579276818778e-08
1907,4.217131444050892e-08
1908,5.353414156417102e-08
1909,5.8310426431784634e-08
1910,4.756294180729981e-08
1911,4.096688221988387e-08
1912,6.772247718167534e-08
1913,7.10600641107284e-08
1914,6.094036919535029e-08
1915,1.6493066246070498e-08
1916,2.7468654906215306e-08
1917,4.496233874107247e-08
1918,5.398596858441351e-08
1919,5.340552139410093e-08
1920,6.209229752585088e-08
1921,8.481477209443256e-08
1922,9.960213054327482e-08
1923,7.431163684401554e-08
1924,6.961477394540339e-08
1925,6.158979659609543e-08
1926,5.907453304310195e-08
1927,1.2041163088838402e-07
1928,5.827281057690925e-08
1929,7.798284173965442e-08
1930,5.882017828362507e-08
1931,6.84321435073798e-08
1932,7.342889862815838e-08
1933,6.079450853846424e-08
1934,5.990790441501304e-08
1935,3.8298509252854274e-08
1936,2.7886843056990074e-08
1937,2.0145789036973838e-08
1938,3.8895642262559704e-08
1939,2.4470480752825097e-08
1940,4.0572528225979454e-08
1941,7.67390702094417e-08
1942,4.8547388331598995e-08
1943,5.516146828199453e-08
1944,5.7837350908584995e-08
1945,5.2284097051824574e-08
1946,6.960552134671616e-08
1947,5.3643918418444514e-08
