year,certains_DET yeux_NOUN,certains_DET vieux_NOUN
1800,3.144164395507687e-08,0.0
1801,9.524730337773235e-09,2.3811825844433088e-09
1802,6.042168365638645e-08,0.0
1803,5.460949736857401e-08,0.0
1804,2.7190360185613827e-08,0.0
1805,7.675769686521505e-08,0.0
1806,2.305335300434308e-08,0.0
1807,5.693910232196231e-09,0.0
1808,1.5862518409903714e-08,0.0
1809,3.840352036377226e-08,0.0
1810,1.1700633351097167e-08,0.0
1811,3.259199843341776e-08,0.0
1812,2.400487453257938e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,6.293354282149721e-09,0.0
1815,5.394447111228828e-09,0.0
1816,2.0858434979231788e-08,0.0
1817,1.0898113522728181e-08,2.1796227045456362e-08
1818,4.410835652279843e-08,0.0
1819,5.6930773539853874e-08,0.0
1820,4.153268395867826e-08,1.1866481131050932e-09
1821,2.070912508145284e-08,0.0
1822,1.0025615893027862e-08,0.0
1823,4.5460360809101985e-08,0.0
1824,4.0421340941065864e-08,2.5263338088166165e-09
1825,7.044354433105582e-09,1.7610886082763955e-09
1826,1.145037975547325e-08,4.403992281964975e-09
1827,1.3825909306319772e-08,0.0
1828,2.293075357373553e-08,0.0
1829,3.0006116702452346e-08,0.0
1830,1.982998831806526e-08,6.262101504006523e-09
1831,7.795603274018958e-09,0.0
1832,2.705993829010822e-08,1.0823975493678972e-08
1833,1.7375443306377747e-08,0.0
1834,2.0535967593104942e-08,0.0
1835,2.7227116561334697e-08,1.5126175867408165e-09
1836,2.688300071440608e-08,2.688300027031687e-09
1837,2.7831564386460172e-08,6.957890930081589e-10
1838,1.830526974444524e-08,8.837027110075724e-09
1839,1.677954131196202e-08,2.7965900706306e-09
1840,1.5287253019025115e-08,0.0
1841,1.0272877659645019e-08,0.0
1842,1.9453969102301016e-08,1.0733224087289273e-08
1843,1.2404512972352677e-08,2.3627644285539873e-09
1844,3.732221598440333e-08,6.037417232818143e-09
1845,3.0691253538606134e-08,9.48638767539478e-09
1846,2.868705717418152e-08,2.9272506640865004e-09
1847,2.2112216946368335e-08,0.0
1848,4.666228647920434e-08,8.045221711050488e-10
1849,2.5976186535103807e-08,0.0
1850,2.0366988096043315e-08,6.788996032014438e-10
1851,3.5471913406581734e-08,0.0
1852,2.6042180856222785e-08,5.208436348880241e-09
1853,3.702597650701023e-08,5.971931837933653e-10
1854,2.3900057044556888e-08,5.195664454227256e-10
1855,4.9354515141430966e-08,1.5920811335945473e-09
1856,4.4523828179876546e-08,5.177189232874468e-10
1857,3.514686497396724e-08,9.763018171682347e-10
1858,4.942612719105455e-08,0.0
1859,5.041251660564683e-08,0.0
1860,4.119465657481669e-08,1.8308735638683515e-09
