year,leurs_DET ânes_NOUN,leurs_DET anes_NOUN,leurs_DET vannes_NOUN
1800,7.860410988769218e-08,9.432493897065797e-09,0.0
1801,8.096020565062645e-08,4.7623651688866175e-09,7.143547975374531e-09
1802,1.2979472785445978e-07,0.0,8.951360541686881e-09
1803,9.166594594489652e-08,1.3652374342143503e-08,0.0
1804,7.909923027682453e-08,2.4718509461507665e-09,2.4718509461507665e-09
1805,1.5351540127994667e-07,2.842877711017877e-09,0.0
1806,6.339671898558663e-08,2.0171683878800195e-08,0.0
1807,7.686778502602465e-08,0.0,2.8469551160981155e-09
1808,7.251436784372345e-08,0.0,6.798221985349073e-09
1809,5.1957702140725814e-08,0.0,0.0
1810,5.148278958699848e-08,2.3401267590372754e-09,2.3401266702194334e-08
1811,4.011322829455821e-08,0.0,6.016983888912364e-08
1812,6.401299401659344e-08,5.3344164641089264e-09,0.0
1813,3.738464116054274e-08,0.0,8.627225156487839e-09
1814,3.1466772298927026e-08,0.0,1.8880061958270744e-08
1815,3.236668177919455e-08,0.0,0.0
1816,9.270415546325239e-08,2.3176038865813098e-09,0.0
1817,4.670620157298799e-08,0.0,4.670620334934483e-09
1818,1.0133000927226021e-07,2.384235475716423e-09,3.5763532135746345e-09
1819,9.315944993204539e-08,0.0,3.1053151161586356e-09
1820,8.781196214613374e-08,1.1866481131050932e-09,9.493184904840746e-09
1821,8.382264837791809e-08,0.0,1.2819934447350079e-08
1822,8.822541985864518e-08,0.0,4.010246357211145e-09
1823,7.016707570528524e-08,1.9765373782121287e-09,9.882686891060644e-10
1824,6.736890156844311e-08,8.421112696055388e-10,6.736890156844311e-09
1825,1.259178361578961e-07,1.7610886082763955e-09,0.0
1826,6.78214817639855e-08,3.5231936257318353e-09,2.642395191543301e-09
1827,3.594736597278825e-08,2.7651819167751057e-09,9.217273166939322e-09
1828,3.3020285172824515e-08,0.0,2.7516904310687096e-09
1829,6.858540757548326e-08,8.57317605795771e-10,1.2002446148073886e-08
1830,1.2524202475105994e-07,0.0,1.0436835840010872e-09
1831,5.76874619184764e-08,0.0,2.6505050598757407e-08
1832,1.8806657919867575e-07,1.3529969367098715e-09,2.841293600397421e-08
1833,6.486831694019202e-08,0.0,2.3167257001688313e-09
1834,6.814207864636046e-08,3.733812370398937e-09,9.334531370086552e-09
1835,1.2554725969948777e-07,4.5378527602224494e-09,6.806779140333674e-09
1836,7.392824841190304e-08,2.016224964762614e-09,1.8818100855355624e-08
1837,8.001574514082677e-08,6.957890930081589e-10,2.0873672568200163e-08
1838,1.0351945434194931e-07,1.2624323808552163e-09,5.680945491803868e-09
1839,5.3135210009713774e-08,1.3982950353153e-09,4.194885327990505e-09
1840,8.72647376581881e-08,0.0,2.4841785517537573e-08
1841,1.0979137954336693e-07,6.420548537278137e-10,8.988767952189392e-09
1842,8.049917710195587e-08,1.341653010911159e-09,6.708265054555795e-09
1843,9.037574244530333e-08,2.3627644285539873e-09,6.497602011990011e-09
1844,4.8848196598783034e-08,0.0,1.1525978393933656e-08
1845,5.133809821700197e-08,5.580227946389016e-10,2.0646844234306627e-08
1846,7.259581735752363e-08,0.0,5.854501328173001e-09
1847,6.525800699819229e-08,5.393223645455691e-10,8.629157832729106e-09
1848,6.114368744647436e-08,0.0,2.413566457803995e-09
1849,1.0055298105271504e-07,0.0,8.379414495607307e-09
1850,5.159636984330973e-08,6.788996032014438e-10,5.431196825611551e-09
1851,7.15887722435582e-08,1.2898877521649865e-09,2.7087642351375507e-08
1852,5.729280161403949e-08,6.510545436100301e-10,1.3021090872200602e-08
1853,1.009256465067665e-07,1.7915795513800958e-09,2.329053394589664e-08
1854,7.949366676029967e-08,0.0,9.352196350675968e-09
1855,5.306937111981824e-08,5.306937111981824e-10,1.326734277995456e-08
1856,6.678573782892272e-08,2.070875637638636e-09,1.0354378687793542e-08
1857,5.9554409403972386e-08,9.763018171682347e-10,7.322263684272912e-09
1858,6.704335930862726e-08,1.9574704079872163e-09,1.1744822003834088e-08
1859,6.568903643255908e-08,1.018434669930457e-09,1.1202780925145817e-08
1860,6.636916793922865e-08,0.0,1.9224172476128842e-08
1861,9.196129013844256e-08,1.4147891747029462e-09,1.6034276129062164e-08
1862,4.608346060308577e-08,4.517986262886353e-10,9.487771457372673e-09
