year,mes_DET îles_NOUN,mes_DET iles_NOUN,mes_DET villes_NOUN
1800,0.0,3.144164484325529e-09,7.545995117652637e-08
1801,2.3811825844433088e-09,0.0,8.334139245391725e-08
1802,1.1189200677108602e-08,0.0,3.8043282302169246e-08
1803,0.0,0.0,3.1205427575287104e-08
1804,0.0,0.0,1.7302956178966156e-08
1805,0.0,0.0,4.8328921309348516e-08
1806,5.76333825108577e-09,0.0,2.305335300434308e-08
1807,1.4234775136401367e-08,0.0,6.547996855843508e-08
1808,0.0,0.0,4.5321479902327155e-09
1809,0.0,0.0,1.8072244145628247e-08
1810,0.0,0.0,3.510190182964834e-08
1811,5.0141535368197765e-09,0.0,2.757784400841956e-08
1812,0.0,0.0,1.0668832928217853e-08
1813,0.0,0.0,6.326631307729258e-08
1814,0.0,0.0,2.8320094713762956e-08
1815,0.0,0.0,3.506390555685357e-08
1816,0.0,0.0,2.3176038865813098e-08
1817,0.0,0.0,3.7364961347208236e-08
1818,1.1921177378582115e-09,0.0,7.152706427149269e-09
1819,4.140420117870747e-09,0.0,1.9666995143552413e-08
1820,1.1866481131050932e-09,0.0,1.210381110894332e-07
1821,0.0,0.0,4.536284592404627e-08
1822,2.8071724500478012e-08,1.0025615893027862e-09,6.215881853677274e-08
1823,1.9765373338032077e-08,0.0,3.4589405117912975e-08
1824,0.0,0.0,1.2968514173650192e-07
1825,4.402721520690989e-09,0.0,8.629334180554338e-08
1826,3.5231937367541377e-09,0.0,8.719904798226707e-08
1827,1.566936447261469e-08,2.7651818612639545e-09,4.147773030593882e-08
1828,1.8344602503717056e-09,0.0,1.1006761113652175e-08
1829,1.714635211591542e-09,0.0,2.4004892296147773e-08
1830,7.305785310052215e-09,0.0,3.131050774207722e-08
1831,0.0,0.0,1.870944776882766e-08
1832,1.7588959622116818e-08,6.764984572527055e-09,1.7588959844161423e-08
1833,6.950177322551099e-09,0.0,1.7375442640243932e-08
1834,5.600718466780563e-08,2.8003592777992026e-09,9.147840196455093e-08
1835,7.563087933704082e-10,0.0,7.941242330389287e-08
1836,6.720750067579218e-10,0.0,7.392825263075053e-08
1837,7.653680356156656e-09,0.0,6.47083866489595e-08
1838,6.943378316748294e-09,6.312161904276081e-10,4.6709998757776816e-08
1839,1.4682098026241874e-07,1.0487212875887053e-08,1.0067724121043398e-07
1840,7.643626342979104e-09,1.9109065441114126e-09,5.2231448666173463e-08
1841,0.0,0.0,2.953452282739022e-08
1842,1.0733224087289273e-08,0.0,2.4820581145945653e-08
1843,5.31621990873532e-09,1.7720733769266417e-09,6.615740272275517e-08
1844,5.488561272137815e-10,0.0,3.787107255570632e-08
1845,1.4508592549589139e-08,3.90615950696116e-09,3.236532108985557e-08
1846,8.781752214304106e-09,0.0,7.786486677652249e-08
1847,9.707802561820245e-09,5.393223645455691e-10,3.990985320001528e-08
1848,4.827132860096839e-09,0.0,2.083712392630943e-07
1849,1.005529792763582e-08,0.0,2.5976186535103807e-08
1850,9.504594444820214e-09,1.3577992064028876e-09,7.0605560509307e-08
1851,1.9348316282474798e-09,0.0,5.8689894055774516e-08
1852,0.0,0.0,4.6875927361966774e-08
1853,0.0,0.0,4.2997910787434535e-08
1854,2.5978321716024766e-09,0.0,3.013485372349578e-08
1855,2.653468555990912e-09,0.0,4.563965916304369e-08
1856,5.694908100650764e-09,0.0,1.0354378410237786e-08
1857,1.9526036343364694e-09,2.4407544874094356e-09,2.0502337827466022e-08
1858,3.8170671956549995e-08,0.0,4.6979288681470166e-08
1859,5.09217357169689e-09,5.092173349652285e-10,3.055304054200292e-08
1860,9.612086404597875e-09,1.3731551729012637e-09,6.04188272745887e-08
1861,0.0,0.0,2.2165029811560544e-08
1862,7.680577063240435e-09,4.517986262886353e-10,5.286043980312627e-08
1863,1.3485475847119233e-08,0.0,3.3963420520422005e-08
1864,3.835782358407869e-09,0.0,5.513937173518002e-08
1865,3.765475486972036e-09,2.8241067262513297e-09,2.8711751032250987e-08
1866,1.9462451650298362e-09,0.0,2.7733993990253225e-08
1867,1.2132028714972876e-08,9.7056229719783e-10,2.329349513274792e-08
1868,4.93987406535723e-10,0.0,1.9759496372451224e-08
1869,9.767038289254515e-10,9.767038289254515e-10,3.1742874440077173e-08
1870,5.160643912205387e-09,0.0,1.9495765002375265e-08
1871,0.0,0.0,4.8857414336467286e-08
1872,1.2094678591978436e-09,6.047339295989218e-10,4.5959779981785687e-08
1873,5.986004469882289e-10,0.0,2.873282073379002e-08
