year,tes_DET yeux_NOUN,tes_DET vieux_ADJ
1800,2.1034460431224034e-06,6.288328968651058e-09
1801,3.2741260014290674e-06,4.286128785224719e-08
1802,1.7746071989677148e-06,2.6854081625060644e-08
1803,2.369662169598996e-06,1.1702034896643454e-08
1804,2.911840383035269e-06,4.943701892301533e-09
1805,2.430660359209469e-06,1.421438877713399e-08
1806,2.0373401241613465e-06,5.76333825108577e-08
1807,1.984327695936372e-06,2.8469550272802735e-08
1808,2.3499187165043622e-06,9.064295980465431e-09
1809,1.5700262423479217e-06,3.162642769893864e-08
1810,2.6420031247198494e-06,1.8721014072298203e-08
1811,3.7581081642201752e-06,1.0028307073639553e-08
1812,1.62966418315591e-06,1.600324850414836e-08
1813,2.8901204416342807e-06,8.627225156487839e-09
1814,1.5638984933730171e-06,1.5733386149463513e-08
1815,1.3863729009244707e-06,1.618334155573109e-08
1816,1.068415379279486e-06,3.476405652236281e-08
1817,2.1765090849612534e-06,1.5568733857662664e-08
1818,1.605782642855047e-06,1.5497530370112145e-08
1819,2.169580014310668e-06,3.829888406414739e-08
1820,3.0330725877547593e-06,9.493184904840746e-09
1821,2.770092109471989e-06,9.861488403650753e-09
1822,2.8432647667386846e-06,2.0051231786055723e-08
1823,2.4222465242473845e-06,1.680056804787e-08
1824,2.584439556585494e-06,3.873711751367637e-08
1825,2.04374336476576e-06,2.8177418398556142e-08
1826,1.8435111428516393e-06,1.3211976401805714e-08
1827,1.4535639252244437e-06,9.217273166939322e-09
1828,1.7464061983218926e-06,1.1006761724274838e-08
1829,1.4197179680763838e-06,3.6864655328372464e-08
1830,2.147900886484422e-06,3.026682482420995e-08
1831,1.941105139735555e-06,2.0268567268999504e-08
1832,2.231091976057087e-06,4.329590197471589e-08
1833,2.186989135566364e-06,3.8225973497674204e-08
1834,2.021859430101358e-06,1.4001796166951408e-08
1835,1.7939645147180272e-06,3.781543966852041e-08
1836,1.98194927492068e-06,2.1506400216253496e-08
1837,1.4722896750640757e-06,4.1747345913556444e-08
1838,1.5079754476232665e-06,1.7042836475411605e-08
1839,1.4640148791045249e-06,1.2584655095793096e-08
1840,1.4484671453374176e-06,2.293087852933695e-08
1841,1.727769614490171e-06,2.3113975178290502e-08
1842,1.7267074241544833e-06,1.408735617047796e-08
1843,1.5930938630503988e-06,4.0166995285417784e-08
1844,1.4522733238209184e-06,1.4270259640625227e-08
1845,1.3732941113175912e-06,1.0602433431206038e-08
1846,1.3652697390398316e-06,1.3465353276842507e-08
1847,1.2587784326001383e-06,1.4022381478184798e-08
1848,1.0032391557501796e-06,9.654266219794039e-09
1849,1.198256327938907e-06,2.011059585527164e-08
1850,1.1527715031434127e-06,1.6972489191857676e-08
1851,1.0622225588008405e-06,8.384270389072412e-09
1852,1.2168209622132053e-06,1.8880582430824688e-08
1853,1.2630636234689518e-06,9.555090940693844e-09
1854,1.3628228074935578e-06,2.7017454606870217e-08
1855,1.934378531132097e-06,1.963566731433275e-08
1856,1.5821490819689643e-06,2.1226475688251867e-08
1857,1.8012768876474183e-06,1.1715622250108026e-08
1858,1.6707010175309733e-06,1.761723295023998e-08
1859,1.6468088261945013e-06,1.2730433374130712e-08
1860,1.9718508639243737e-06,3.524431768653358e-08
1861,2.1429339511769285e-06,1.9335450851531988e-08
1862,1.9219513234247643e-06,1.8071945051545413e-08
1863,1.675695322944648e-06,2.097740825490746e-08
1864,1.8790538618418395e-06,2.3014694816581027e-08
1865,1.613506277919896e-06,1.8827376990770972e-08
1866,1.5331545739627472e-06,2.7247432754506917e-08
1867,1.3364642796886983e-06,2.135237053835226e-08
1868,1.3080786409602752e-06,1.6795571822214583e-08
1869,1.584213599414852e-06,3.662639347368213e-08
1870,1.1892417148828827e-06,2.0069170769687616e-08
