year,quelques_DET airs_NOUN,quelques_DET verres_NOUN
1800,3.4585809238762977e-07,3.0498395631184394e-07
1801,2.809795489611133e-07,4.405187912226438e-07
1802,2.0140561218795483e-07,2.1483265300048515e-07
1803,1.8918289867997373e-07,2.3014002792365318e-07
1804,4.202146612897195e-07,2.32353986717726e-07
1805,3.041879172993589e-07,2.5301611117356515e-07
1806,3.429186392622796e-07,2.2477019623323713e-07
1807,1.992868590150465e-07,2.2775640218242188e-07
1808,1.450287356874469e-07,2.5833244254869214e-07
1809,1.8524050737767084e-07,1.8749953767382976e-07
1810,2.948559623128233e-07,3.1825722635048237e-07
1811,1.5293167621166504e-07,1.6546706671505262e-07
1812,5.521121124729689e-07,2.400487359999204e-07
1813,5.665210984773239e-07,4.284854924208048e-07
1814,2.6117418938653714e-07,9.125363931161701e-08
1815,1.8071397800412115e-07,3.047862582317151e-07
1816,1.2515060632267705e-07,2.3639559998400728e-07
1817,2.6933909857973504e-07,2.25746648041536e-07
1818,2.0266001610202977e-07,2.026600078863794e-07
1819,1.9977527188075328e-07,1.4698490358178162e-07
1820,2.254631459308598e-07,2.1241001491034694e-07
1821,2.1004970562898961e-07,1.982159210101031e-07
1822,1.9148926355683216e-07,2.8673261454059684e-07
1823,1.8381797417532653e-07,1.8875931662165613e-07
1824,1.1957980028398651e-07,2.2484370276742993e-07
1825,2.932212508355292e-07,1.2855946618373082e-07
1826,1.1186140369545683e-07,3.0035227949198884e-07
1827,1.4931982822430356e-07,1.963279139260976e-07
1828,1.6051527040872315e-07,2.5040380968732734e-07
1829,1.8603791507310063e-07,2.349050266525765e-07
1830,3.1832348135196753e-07,2.807508963087457e-07
1831,1.38761739654214e-07,2.6816874054702566e-07
1832,1.4882965615470312e-07,2.8954133668435134e-07
1833,3.104412300558579e-07,3.4287539563138125e-07
1834,2.2962945855908856e-07,1.7268882324117385e-07
1835,2.1101014624491654e-07,2.722711798242017e-07
1836,1.8885307717653177e-07,2.701741634858479e-07
1837,2.0456199401053254e-07,2.463093364823976e-07
1838,1.6979716122023092e-07,2.007267490000686e-07
1839,1.7059198764712846e-07,2.426041856296024e-07
1840,1.7389249640231697e-07,2.1848031916960053e-07
1841,1.489567313939233e-07,2.3178180796890047e-07
1842,1.2678621041928295e-07,2.448516678299484e-07
1843,1.5417037246834298e-07,1.736631870530303e-07
1844,1.1306436009661525e-07,1.7892710157951797e-07
1845,6.807878349945895e-08,2.6003861908208137e-07
1846,8.313391930414582e-08,2.1603109434664702e-07
1847,8.41342897572872e-08,1.4831365291456677e-07
1848,7.642960653253539e-08,1.826265325632903e-07
1849,7.122502498901895e-08,2.681412762939317e-07
1850,7.53578577317171e-08,1.9620198443703885e-07
1851,6.90089914101577e-08,2.289550709022592e-07
1852,1.2109614822009007e-07,1.7383156958317159e-07
1853,1.260077588938202e-07,2.418632369938223e-07
1854,1.1534374833033212e-07,1.730156320434162e-07
1855,9.127931832608738e-08,1.666378217635156e-07
1856,9.991975602474668e-08,1.5428023814045844e-07
1857,1.0446429238308852e-07,1.518149299606364e-07
1858,1.3506546281405463e-07,1.4289534666644954e-07
1859,1.2934120241503422e-07,1.8382746436174102e-07
1860,1.281611448078479e-07,2.0276925116746725e-07
1861,1.4713807061639272e-07,1.716610746882452e-07
1862,1.486417464668932e-07,1.7846046151959172e-07
1863,1.378515337435715e-07,1.4534347148043025e-07
1864,1.3808816845539695e-07,1.8555596703606625e-07
1865,9.225414704383539e-08,2.122786852964964e-07
1866,1.0363755720277368e-07,1.858664107068364e-07
1867,1.2374669466908017e-07,1.7955401965252804e-07
1868,1.1015918943702019e-07,1.6696774007840531e-07
1869,1.2159963236335614e-07,1.4845897977622258e-07
1870,1.536725093842506e-07,1.7087465931098222e-07
1871,6.266494367856978e-08,1.380752983060063e-07
1872,8.829115505371021e-08,1.2578465868884336e-07
1873,8.200826018267549e-08,1.4605850884308325e-07
1874,9.499628728093512e-08,1.39208386151779e-07
1875,1.218685312665002e-07,1.361723418469296e-07
1876,1.0520065596431039e-07,1.1306047831283195e-07
1877,1.9667715378535178e-07,1.775042228757684e-07
1878,2.9349971697456567e-07,1.159505049752596e-07
1879,1.3501609119614955e-07,1.3501608164823153e-07
1880,1.9574431320279473e-07,1.1423766088647369e-07
1881,1.1922988063517437e-07,1.324776417455098e-07
1882,1.1713477610086898e-07,1.4442185469754065e-07
1883,1.2385904391010172e-07,1.29546455340801e-07
1884,1.3335427606619987e-07,1.4193649011673415e-07
1885,1.0248560755599101e-07,1.4373768220110605e-07
1886,9.292987668274577e-08,1.5488313831468759e-07
1887,7.442974159221905e-08,1.2404956506451015e-07
1888,8.179393273799462e-08,1.375913440959664e-07
1889,7.580815619689929e-08,1.4221860578089718e-07
1890,6.554386655643896e-08,1.6779229028429654e-07
1891,8.350228242193225e-08,1.466070589373203e-07
1892,5.140180192597654e-08,1.5107114403889454e-07
1893,6.89742667425719e-08,1.582713062830976e-07
1894,1.0649601733803138e-07,1.386338652764607e-07
1895,6.861220569476245e-08,9.870527595268186e-08
1896,7.607167251677538e-08,1.0673622075074718e-07
1897,6.817254760704827e-08,1.3517975361310164e-07
1898,5.4320205666869015e-08,1.476830560065423e-07
1899,6.909473171390346e-08,1.0281295814706937e-07
1900,8.772879833696123e-08,1.3496738615614845e-07
1901,6.985923667324201e-08,1.1345140338292481e-07
1902,5.990546014800202e-08,5.8432379823614156e-08
1903,4.158169653045718e-08,1.1124453935806855e-07
1904,5.8045952933127865e-08,9.513086673962334e-08
1905,5.212366521734069e-08,8.618467717269596e-08
1906,4.835533462532737e-08,9.465299477540157e-08
1907,7.508551180812617e-08,1.0388543891792779e-07
1908,7.367083521003792e-08,1.0903283698127098e-07
1909,7.206288454852938e-08,1.0781927972658423e-07
1910,5.4510337355040406e-08,1.0581418341537585e-07
1911,4.735132996813718e-08,7.55493149151576e-08
1912,7.501566834378082e-08,1.1877480288191578e-07
1913,1.2727175668914015e-07,8.484783675655194e-08
1914,8.370929860390675e-08,1.1786269027425078e-07
1915,3.887651434109074e-08,1.0602685840410686e-07
1916,1.2086207812345151e-08,9.7788408481847e-08
1917,4.934891073560266e-08,1.2063067167389363e-07
1918,3.79050408838566e-08,6.087779436114715e-08
1919,5.7088659133341935e-08,1.0681104317677992e-07
1920,5.3762844842708546e-08,6.512119066215405e-08
1921,1.1207665906454167e-07,1.1056211157711715e-07
1922,1.1804696997685937e-07,9.738875217379928e-08
1923,6.900366411599634e-08,1.0509788772594675e-07
1924,7.09039369439779e-08,9.410885892791043e-08
1925,6.708888511397504e-08,1.132812299520225e-07
1926,6.79914426982009e-08,9.251294774692553e-08
1927,1.0814748030441024e-07,1.1260717069916382e-07
1928,8.798051664982154e-08,1.176882213904662e-07
1929,8.800921280638363e-08,9.246537446827574e-08
1930,1.0503603853351251e-07,1.3654684050123933e-07
1931,7.299428173013212e-08,1.1633464058746767e-07
1932,9.425201463741928e-08,1.4247397439604015e-07
1933,9.520649668637304e-08,1.0897129332221311e-07
1934,9.585264137967897e-08,1.23410272223623e-07
1935,9.574627135577884e-08,1.97476686558673e-07
1936,7.153581371710516e-08,1.0306007514060411e-07
1937,4.910535889024459e-08,1.3094763273713284e-07
1938,5.963998495062128e-08,1.2446605168747737e-07
1939,3.211750687626136e-08,9.788192301130039e-08
1940,7.100191878883777e-08,7.353770481444144e-08
1941,1.1215709783130023e-07,1.534781350898129e-07
1942,6.371844740726829e-08,1.1226583751522412e-07
1943,6.677441199975931e-08,1.2774235358392616e-07
1944,8.675602458652065e-08,1.0924832771763704e-07
1945,7.842614380138002e-08,1.9824387287314948e-07
1946,8.909507087651036e-08,1.0858461596541247e-07
1947,7.152522862874378e-08,1.2397706017353016e-07
1948,9.45854274903013e-08,8.4800725552725e-08
1949,6.282885278707795e-08,1.0602369027168379e-07
1950,4.147791021757996e-08,1.329420116213953e-07
1951,5.970384997500133e-08,1.279368251339008e-07
1952,5.799642188719645e-08,1.0123012006424403e-07
1953,6.464296520292123e-08,1.2497639811925865e-07
1954,5.277169434769746e-08,1.2215670763815467e-07
1955,7.883910368988722e-08,1.0981160913914323e-07
1956,7.936238799466366e-08,1.4564305939046562e-07
1957,8.39328593293942e-08,1.05136951589202e-07
1958,5.4596806187134916e-08,1.191203076178482e-07
1959,4.2629114460623896e-08,1.2556211359537883e-07
1960,9.550750013076481e-08,1.1211749906259172e-07
1961,6.114380157740129e-08,9.72742331128984e-08
1962,6.278537156845232e-08,1.5474373782353723e-07
1963,8.729172185084622e-08,1.3902014561750775e-07
1964,4.623815813564747e-08,1.2411295591263638e-07
1965,8.59110838580257e-08,1.5102840089653569e-07
1966,7.366969256850098e-08,1.3349170124854481e-07
1967,7.642020039000386e-08,1.4445883955716e-07
1968,1.3833560785769805e-07,1.3968303491651568e-07
1969,6.994306778196346e-08,1.2807757188149083e-07
1970,7.909806853945156e-08,9.289424429681503e-08
1971,9.300499703712717e-08,1.1664162391511468e-07
1972,1.769900617176745e-07,1.0516801385307417e-07
1973,7.167164683963279e-08,1.1908520125558653e-07
1974,5.569315963960264e-08,1.3501372375657184e-07
1975,5.140332159925265e-08,1.0337779032809635e-07
1976,6.284879372486785e-08,9.770130970920832e-08
1977,4.936496633689558e-08,1.116588537186658e-07
1978,7.36633321007929e-08,1.1287123502512486e-07
1979,4.915657725312883e-08,1.0943189909795592e-07
1980,5.855705387247667e-08,1.2052519204885925e-07
