year,les_DET oeufs_NOUN,les_DET voeux_NOUN
1800,1.050150927994764e-06,9.96700123323535e-07
1801,1.750169179359773e-06,6.953052951175209e-07
1802,1.635861167414987e-06,7.026818309441296e-07
1803,5.74569926703461e-06,7.684336278401815e-07
1804,1.4015394937949566e-06,4.3504576785480253e-07
1805,1.4356532724857374e-06,5.657326669350482e-07
1806,3.0257525018839715e-07,6.051505323512174e-07
1807,3.387876525984268e-07,5.580031996466062e-07
1808,3.172503699744311e-07,6.52629325248455e-07
1809,3.004510509274638e-07,8.08732905310805e-07
1810,4.937667354987241e-07,6.692762761772997e-07
1811,1.6797414126301646e-07,4.4375258445583654e-07
1812,2.0270783229747735e-07,5.601137225141883e-07
1813,3.911008619184031e-07,6.441661231093576e-07
1814,5.349350913341766e-07,1.1296570483487756e-06
1815,2.2656678222432447e-07,8.523226258105865e-07
1816,3.963102610526903e-07,4.820616013034851e-07
1817,6.196355881726845e-07,6.772399308019317e-07
1818,4.828076922702706e-07,5.066500508021932e-07
1819,5.775886062764357e-07,3.8195375751115535e-07
1820,2.7174242323013686e-07,5.328049965669379e-07
1821,1.2425475581778755e-07,3.7079195436273693e-07
1822,1.9349438673543773e-07,4.6117833107928163e-07
1823,1.8678277735606486e-07,3.913544024403137e-07
1824,2.147383737494124e-07,3.5705517387185637e-07
1825,1.9107811288776588e-07,3.2668192773144256e-07
1826,1.6030530847199742e-07,3.8226651222217356e-07
1827,6.756261352047765e-07,3.788299322571298e-07
1828,3.1460993210608024e-07,4.356843033015423e-07
1829,1.7746473929269868e-07,4.175136608108865e-07
1830,2.0143092882562996e-07,3.026682353635124e-07
1831,1.7773974980705987e-07,4.13166965529399e-07
1832,1.9483155533350782e-07,6.37261567293379e-07
1833,1.8997151052246863e-07,4.0890208219401813e-07
1834,2.240287466648283e-07,2.8096937354504803e-07
1835,1.8680827196249083e-07,2.2008585176536144e-07
1836,2.083432480426417e-07,2.984012976159356e-07
1837,2.866651082067406e-07,4.3278082473285906e-07
1838,2.9793404321409866e-07,1.7421567322095655e-07
1839,2.0415107082616402e-07,5.313521039829183e-07
1840,1.1911317832069557e-07,1.974603422993937e-07
1841,1.5280905474313045e-07,1.7784918870944466e-07
1842,2.8912622784815767e-07,2.998594399450383e-07
1843,1.7720733613835193e-07,2.7998757334835034e-07
1844,2.2064016780287687e-07,1.6191255208797273e-07
1845,1.8414752256390443e-07,1.6684881903872295e-07
1846,1.7504959481939864e-07,1.3875168458632459e-07
1847,3.1658221377739437e-07,1.4615636523274134e-07
1848,2.051531546864993e-07,1.7538583357845638e-07
1849,2.0864742733550656e-07,1.6339859465475115e-07
1850,1.7379830286046172e-07,2.0231208885945762e-07
1851,2.3024495665602274e-07,1.7413484032502424e-07
1852,1.9401425377374437e-07,2.291711946877939e-07
1853,1.9229620096261613e-07,1.451179405531633e-07
1854,1.1430461621664278e-07,1.937982781474723e-07
1855,1.719447624282111e-07,2.6853101431356663e-07
1856,1.1234500962853389e-07,1.9000284412484802e-07
1857,1.571845890113721e-07,2.470043587998738e-07
1858,8.514996041597556e-08,2.0651312193642468e-07
1859,1.4461772246399107e-07,2.3169389318233868e-07
1860,5.60705014196472e-07,1.853759452608017e-07
1861,1.763770467455572e-07,1.975988859759248e-07
1862,1.0888347223847461e-07,1.4638275447342863e-07
1863,9.439833159596844e-08,2.1576761499719765e-07
1864,1.486365611702567e-07,1.6254127732651114e-07
1865,1.2237795188330125e-07,1.6003270136843994e-07
1866,1.3429091927363856e-07,1.960841933268398e-07
1867,1.0918825665839904e-07,2.2759685514017747e-07
1868,1.0966520536115354e-07,1.8079938746140556e-07
1869,8.790334371511221e-08,2.383157354790555e-07
1870,1.5481931425753714e-07,1.7660870499369707e-07
1871,9.452847815616394e-08,2.102993175157053e-07
1872,1.1006157296655772e-07,1.5118347929110598e-07
1873,1.5862911295627669e-07,2.1729195853747996e-07
1874,1.332337859483168e-07,1.4817030025149336e-07
1875,2.0940789680068406e-07,1.5390907570633772e-07
1876,1.0278224960025284e-07,1.7231142201978855e-07
1877,1.6822699777652161e-07,2.1337614830585494e-07
1878,2.143876439708592e-07,3.2913032599335423e-07
1879,1.2035370577923032e-07,1.771704284392328e-07
1880,1.5852080514910938e-07,1.9446073751261395e-07
1881,1.2480788336155513e-07,1.8895495834669873e-07
1882,2.642187848511668e-07,1.8768185583439845e-07
1883,2.799467148095758e-07,1.7757342585245084e-07
1884,1.1618986661687813e-07,1.3863563008698065e-07
1885,1.2440076779807185e-07,1.9659189320897497e-07
1886,1.35522741750993e-07,1.2326115877980826e-07
1887,1.93909063028741e-07,2.7943796176987945e-07
1888,1.4076164656096068e-07,1.667581617237346e-07
1889,2.506054730400109e-07,1.8920713207304374e-07
1890,1.3502035778323318e-07,2.811831859017566e-07
1891,2.9958834346643926e-07,1.8548979974220003e-07
1892,3.3787280573349676e-07,1.836674077271283e-07
1893,1.1269902422950118e-06,2.3094061618600392e-07
1894,2.1047141474106468e-07,1.3296247747263124e-07
1895,1.1014064926762046e-07,1.6852120632293577e-07
1896,1.4152869398653678e-07,2.5828987715303953e-07
1897,2.0684832635620154e-07,1.3867578374515688e-07
1898,1.8163319970287972e-07,1.5503892170087852e-07
1899,1.260287909587987e-07,1.3984772984088067e-07
1900,1.6092264853995175e-07,1.8480149321931094e-07
1901,1.6095568655671855e-07,1.8331063378340673e-07
1902,2.1605248967659918e-07,1.65476569335965e-07
1903,2.65150816858295e-07,1.7982733768739934e-07
1904,2.1874724076553775e-07,1.4726473018811248e-07
1905,2.4720036384540123e-07,1.7701403431935603e-07
1906,2.3097389312276562e-07,1.496957677815658e-07
1907,3.0497060254930375e-07,2.0622801821801318e-07
1908,2.603036168835615e-07,2.411492048270958e-07
1909,4.692339121703526e-07,2.4149317390254055e-07
1910,2.6987960999314e-07,2.2766082086178585e-07
1911,3.89983427995233e-07,2.2292368129228635e-07
1912,4.282144366873908e-07,1.9743707113661912e-07
1913,2.837099453145697e-07,2.0310450210558884e-07
1914,4.151981181643727e-07,1.6607924391287554e-07
1915,3.2750518208501944e-07,3.581351757375728e-07
1916,2.3293419881831312e-07,1.4833074235554022e-07
1917,3.0705989151336155e-07,2.1823183971036997e-07
