year,les_DET airs_NOUN,les_DET verts_ADJ
1800,1.3324968762162825e-05,5.659496205012715e-08
1801,9.998585923653991e-06,0.0
1802,9.871112979453756e-06,3.3567602031325805e-08
1803,1.2858586558195384e-05,9.751696339321825e-09
1804,1.5327947807008968e-05,1.9774807569206132e-08
1805,1.2190259582212093e-05,2.842877711017877e-09
1806,1.3604359764940455e-05,4.034336598124355e-08
1807,9.542993836930691e-06,1.7081731584767113e-08
1808,1.1763189775138017e-05,6.798222074166915e-08
1809,9.46985633731856e-06,2.259030518203531e-09
1810,1.557588387868236e-05,3.978215445954447e-08
1811,1.0391833313860843e-05,3.7606150637969904e-08
1812,1.0028703343323286e-05,4.5342538612658245e-08
1813,1.183942828220097e-05,2.5881675469463516e-08
1814,1.101022309057953e-05,3.4613449884091096e-08
1815,8.515134723552364e-06,1.0788894222457657e-08
1816,7.467319932175087e-06,4.6352077731626196e-09
1817,9.496927731333926e-06,9.341240669868967e-09
1818,1.0029286769963619e-05,1.3113295338484932e-08
1819,9.241417828320664e-06,3.3123360498876764e-08
1820,1.0386730480149708e-05,2.0173018810965004e-08
1821,9.884169799079245e-06,1.3806083387635226e-08
1822,9.61155804191094e-06,6.015369535816717e-09
1823,8.369647432004967e-06,3.5577674140085946e-08
1824,9.600068523241134e-06,2.6105450245950124e-08
1825,1.0828053007116978e-05,3.4341228527523526e-08
1826,9.133879913747478e-06,1.76159691278599e-08
1827,6.846590473230663e-06,4.6086365279585095e-09
1828,7.461666939434508e-06,3.210305499212751e-08
1829,8.055356147451675e-06,4.7152467930189346e-08
1830,9.430724787762301e-06,3.026682415807613e-08
1831,8.018557679179139e-06,2.02685670469549e-08
1832,9.112434710800699e-06,2.705993829010822e-08
1833,1.0465808713888691e-05,3.243415847009601e-08
1834,8.686714238592685e-06,5.6940637760405366e-08
1835,8.70738324465492e-06,2.7983425354705105e-08
1836,8.332386045140083e-06,3.763620126662204e-08
1837,7.959827073023007e-06,3.2006298056330706e-08
1838,7.293702950050829e-06,4.039783618736692e-08
1839,7.055097526631471e-06,3.985140939466447e-08
1840,6.677344650540817e-06,4.0129037870428874e-08
1841,7.537724059147877e-06,4.237561901376807e-08
1842,6.920917101638224e-06,5.2995293486901573e-08
1843,7.585655282582593e-06,5.5524964182041003e-08
1844,7.089025793050041e-06,4.720162749549672e-08
1845,6.053989366705537e-06,1.9530798311961917e-08
1846,5.999107713705598e-06,7.201036500426028e-08
1847,5.701716169426163e-06,3.613459753637471e-08
1848,6.272859550904286e-06,3.459445352405055e-08
1849,6.230932918072085e-06,1.4245005175439474e-08
1850,6.899656739278726e-06,3.1229383523623255e-08
1851,6.306261127519974e-06,3.8696633453128015e-08
1852,6.749482395207451e-06,7.161600112937094e-08
1853,6.968049916622476e-06,4.658106789179328e-08
1854,6.6852613400669725e-06,3.4291385730966795e-08
1855,7.634559651137351e-06,3.02495415382964e-08
1856,6.480805353703545e-06,3.986435714864456e-08
1857,7.01619282494903e-06,6.004256025704535e-08
