year,toutes_DET îles_NOUN,toutes_DET iles_NOUN,toutes_DET villes_NOUN
1800,9.432493452976587e-09,3.144164484325529e-09,2.829747991484055e-08
1801,0.0,0.0,5.714838380299625e-08
1802,0.0,0.0,4.4756802708434407e-08
1803,3.900678446910888e-09,1.950339223455444e-09,3.705644502360883e-08
1804,0.0,0.0,1.9774807569206132e-08
1805,0.0,2.842877711017877e-09,8.528632911009026e-09
1806,5.76333825108577e-09,0.0,2.305335300434308e-08
1807,0.0,2.8469551160981155e-09,5.693910232196231e-09
1808,2.2660739951163578e-09,6.798221985349073e-09,6.118399653587403e-08
1809,2.259030518203531e-09,2.259030518203531e-09,4.743964154840796e-08
1810,0.0,0.0,3.042164919975221e-08
1811,1.0028307073639553e-08,0.0,7.521229861140455e-09
1812,2.6672082320544632e-09,0.0,1.0668832928217853e-08
1813,2.8757416448144113e-09,2.8757416448144113e-09,3.738464116054274e-08
1814,0.0,3.1466771410748606e-09,8.81069599500961e-08
1815,1.3486118000116676e-08,5.394447111228828e-09,4.045835311217161e-08
1816,6.952811659743929e-09,0.0,2.5493642752394408e-08
1817,1.556873407970727e-09,4.670620334934483e-09,1.71256075987003e-08
1818,1.0729059418679299e-08,3.5763532135746345e-09,2.384235386898581e-08
1819,1.035105001712111e-09,2.070210003424222e-09,2.6912729822470283e-08
1820,0.0,0.0,8.306536614099969e-08
1821,1.97229765852569e-09,0.0,2.465372084259343e-08
1822,3.0076847679083585e-09,1.0025615893027862e-09,8.020492714422289e-08
1823,1.9765373782121287e-09,1.9765373782121287e-09,4.0519015698237126e-08
1824,5.052667617633233e-09,8.421112696055388e-10,1.381062491034868e-07
1825,7.044354433105582e-09,0.0,1.0918749637767178e-07
1826,2.642395191543301e-09,0.0,1.1362299545680798e-07
1827,8.295545583791863e-09,1.8434546111834038e-09,1.1890282536342056e-07
1828,3.6689205562545624e-09,0.0,3.944089499441361e-08
1829,0.0,5.143905579263475e-09,9.430493363993264e-08
1830,0.0,1.0436835840010872e-09,5.740259823028282e-08
1831,1.5591206103948707e-09,0.0,2.182768810143898e-08
1832,1.3529969367098715e-09,1.3529969367098715e-09,8.117981842303834e-09
1833,1.1583628500844156e-09,3.475088550253247e-09,4.749287541017111e-08
1834,1.8669061851994684e-09,0.0,3.360431222176885e-08
1835,3.025235173481633e-09,7.563087933704082e-10,1.1344631900556124e-07
1836,1.3441500135158435e-09,6.720750067579218e-10,8.938597906293921e-08
1837,9.74104708006962e-09,6.957890930081589e-10,1.2245888036943597e-07
1838,1.2624323808552163e-09,3.1560809521380406e-09,9.910094433962513e-08
1839,0.0,2.09744255297295e-09,6.571986777004213e-08
1840,6.369688665408546e-10,2.5478754661634184e-09,6.497082694068013e-08
1841,1.926164561183441e-09,1.2841097074556274e-09,4.173356638048631e-08
1842,6.708265054555795e-10,6.708265054555795e-10,3.4212153110502186e-08
1843,5.906911071384968e-10,2.3627644840651385e-09,2.8353174030826267e-08
1844,3.841992946007622e-09,5.488561272137815e-10,4.171306594580315e-08
