year,premières_ADJ allées_NOUN,premières_ADJ vallées_NOUN
1800,3.144164484325529e-09,2.829747991484055e-08
1801,0.0,9.524730337773235e-09
1802,0.0,3.1329761895904085e-08
1803,0.0,2.3404069793286908e-08
1804,0.0,1.730295728918918e-08
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,1.5862518409903714e-08,0.0
1809,0.0,6.7770917766551975e-09
1810,1.8721014072298203e-08,3.042164919975221e-08
1811,0.0,5.0141535368197765e-09
1812,0.0,0.0
1813,0.0,2.0130190847567064e-08
1814,0.0,9.440030979135372e-09
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,6.227493631882908e-09,1.0898113522728181e-08
1818,0.0,1.1921177378582115e-09
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,6.903041693817613e-09
1822,7.017931125119503e-09,3.0076847679083585e-09
1823,1.1859224713361982e-08,9.882686669016039e-09
1824,8.421112696055388e-10,4.210556348027694e-09
1825,0.0,3.522177216552791e-09
1826,0.0,6.1655889282974385e-09
1827,0.0,1.3825909306319772e-08
1828,0.0,2.4765213879618386e-08
1829,0.0,2.571952872898464e-09
1830,0.0,1.0436835395921662e-08
1831,0.0,0.0
1832,0.0,0.0
1833,4.6334514003376626e-09,2.3167257001688313e-09
1834,5.600718555598405e-09,5.600718555598405e-09
1835,1.5126175867408165e-09,1.0588323107185715e-08
1836,0.0,1.4785650037651976e-08
1837,0.0,1.1132625488130543e-08
1838,6.312161904276081e-10,1.4517972601879592e-08
1839,1.3982950353153e-09,1.4682098203877558e-08
1840,1.9109065441114126e-09,6.3696887764308485e-09
1841,2.5682194149112547e-09,6.420548537278137e-09
1842,7.379091560011375e-09,1.609983613093391e-08
1843,0.0,4.134837805480629e-09
1844,1.5367971784030487e-08,0.0
1845,1.1160455892778032e-09,8.928364714222425e-09
1846,5.854501328173001e-10,1.1123552745573306e-08
1847,7.550513103637968e-09,6.47186837454683e-09
1848,0.0,2.413566457803995e-09
1849,0.0,3.3517659758786067e-09
1850,6.788996032014438e-10,3.394498016007219e-09
1851,1.6123596680017727e-08,1.1608989325395669e-08
1852,6.510545436100301e-10,5.859490670445666e-09
1853,1.1943863675867306e-09,2.9859659189668264e-09
1854,1.0391328908454511e-09,1.558699391779328e-09
1855,1.0613874223963649e-09,1.0613874223963649e-09
1856,0.0,1.2425253714809514e-08
1857,3.4170564155999728e-09,5.369659827891837e-09
1858,0.0,1.1744822003834088e-08
1859,5.092173349652285e-10,2.036869339860914e-09
1860,4.577183909670879e-10,3.661747127736703e-09
1861,2.357981809808507e-09,2.357981809808507e-09
1862,1.3553959066214816e-09,1.0843167252971853e-08
1863,4.994620717013731e-09,2.4973103585068657e-09
1864,9.589455896019672e-10,1.5343129433631475e-08
1865,0.0,1.4120533631256649e-09
1866,0.0,1.4596839292835284e-09
1867,2.91168689159349e-09,1.2132028714972876e-08
1868,4.93987406535723e-10,7.903798504571569e-09
1869,0.0,1.5627261262807224e-08
1870,5.734048791339319e-10,6.307453670473251e-09
1871,0.0,1.5931766128574054e-08
1872,0.0,0.0
1873,1.1972008939764578e-09,2.3944017879529156e-09
1874,0.0,2.3898436563030145e-09
1875,0.0,6.293679799540541e-09
1876,6.04601479992084e-10,6.650616057868319e-09
1877,0.0,1.8554447978047506e-09
1878,0.0,4.831270938865373e-09
1879,1.221865053580018e-09,5.498392852132383e-09
1880,2.5671385017744797e-09,2.2462462112571302e-08
1881,6.972507571312292e-10,1.743126887276958e-08
1882,5.324308105514319e-09,5.989846840748214e-09
1883,2.5277355764075082e-09,1.8326083761621703e-08
1884,6.601696966868076e-10,2.6406787867472303e-09
1885,1.2891271383708158e-09,7.090199094506033e-09
1886,6.453463874400711e-10,2.5813855497602844e-09
1887,0.0,2.6115698492645834e-09
1888,5.07249175996094e-09,3.1703073499755874e-09
1889,1.2530273485467092e-09,8.771191772893872e-09
1890,0.0,7.209825181320184e-09
1891,3.824531802365527e-09,9.561330394092238e-09
1892,0.0,8.775916882086676e-09
1893,1.847525021858587e-09,3.695050043717174e-09
1894,1.8904617871129403e-09,5.671385139294216e-09
1895,1.2037228991346183e-09,8.426059849853118e-09
1896,1.7691086373616827e-09,1.0614652268259306e-08
1897,5.826713556089658e-10,7.574727511894253e-09
1898,1.13167097914868e-09,5.6583546736987955e-09
