year,jolies_ADJ îles_NOUN,jolies_ADJ villes_NOUN
1800,0.0,9.432493186523061e-08
1801,0.0,5.2386017301842e-08
1802,0.0,5.370816325012129e-08
1803,0.0,1.5992782209650613e-07
1804,0.0,1.038177401824214e-07
1805,0.0,1.051864728651708e-07
1806,0.0,4.8988376022407465e-08
1807,0.0,4.27043254092041e-08
1808,0.0,2.7192887941396293e-08
1809,0.0,5.6475762733043666e-08
1810,0.0,4.680253518074551e-09
1811,0.0,5.515568801683912e-08
1812,0.0,6.934741492159446e-08
1813,0.0,2.8757416004054903e-08
1814,0.0,5.97868634599763e-08
1815,0.0,2.1577788444915313e-08
1816,0.0,6.025770460382773e-08
1817,0.0,4.514932783195036e-08
1818,0.0,4.053200441944682e-08
1819,0.0,2.173720581311045e-08
1820,2.3732962262101864e-09,7.95054262425765e-08
1821,4.930744257336528e-09,1.676452932031225e-08
1822,2.0051231786055723e-09,1.0025615893027862e-08
1823,8.894418535021487e-09,4.842516432290722e-08
1824,0.0,6.06320114115988e-08
1825,0.0,4.754939197937347e-08
1826,0.0,6.78214817639855e-08
1827,0.0,4.977327350275118e-08
1828,0.0,2.8434133270138773e-08
1829,8.57317605795771e-10,9.516225674133238e-08
1830,4.174734336004349e-09,5.740259823028282e-08
1831,0.0,4.989185953263586e-08
1832,0.0,4.464889968858188e-08
1833,0.0,1.436369956309136e-07
1834,7.467624740797874e-09,5.694063887062839e-08
1835,1.5126175867408165e-09,8.395027606411531e-08
1836,0.0,4.301280043250699e-08
1837,0.0,5.357576071673975e-08
1838,0.0,1.218247263068406e-07
1839,2.7965900706306e-09,3.915226187700682e-08
1840,0.0,4.1402977046800515e-08
1841,0.0,3.531301828729738e-08
1842,6.708265054555795e-10,6.439934452373564e-08
1843,1.1813822142769936e-09,4.3120451209688326e-08
1844,0.0,3.732221642849254e-08
1845,0.0,6.082448322786149e-08
1846,1.7563503984519002e-09,6.791221807134207e-08
1847,5.393223645455691e-10,4.58424018745518e-08
1848,0.0,3.057184372323718e-08
1849,0.0,2.4300303991253713e-08
1850,0.0,6.11009625117731e-08
1851,0.0,3.289213879043018e-08
1852,0.0,2.539112742283578e-08
1853,0.0,4.359510086260343e-08
1854,1.0391328908454511e-09,3.3252252507054436e-08
1855,0.0,3.449509122788186e-08
1856,0.0,3.158085348786699e-08
1857,0.0,3.905207179855097e-08
1858,0.0,1.7127865348243176e-08
1859,0.0,4.7357211485632433e-08
1860,0.0,1.373155189554609e-08
