year,vingt - deux voix
1800,1.3779074325981355e-08
1801,2.614982896886886e-09
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,1.992118470184323e-08
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,1.4782087554010559e-08
1816,1.0132563232900793e-08
1817,1.8767359222238156e-08
1818,2.606645788105766e-09
1819,3.391827263499181e-09
1820,1.1653853881909981e-08
1821,2.1600643052011037e-08
1822,9.86828574411902e-09
1823,4.3183486231335166e-08
1824,3.3075139072025195e-08
1825,2.402676102519763e-08
1826,4.997507474513441e-08
1827,2.6157701782381082e-08
1828,3.307625462412034e-08
1829,1.3111691288258953e-08
1830,1.597948973142138e-08
1831,3.422896410754106e-09
1832,2.816991795384638e-08
1833,2.0278047685451384e-08
1834,3.477772736459883e-08
1835,3.319842178939325e-08
1836,3.157700589895285e-08
1837,3.643674162390198e-08
1838,1.582915992726086e-08
1839,8.406837004315548e-09
1840,2.5050741925269904e-08
1841,4.211874227166845e-08
1842,3.080787536191565e-08
1843,2.5816713877802044e-08
1844,8.377563531780652e-09
1845,9.15060738293505e-09
1846,1.4735190845271973e-08
1847,2.1795219073972305e-08
1848,1.1451721348976207e-08
1849,8.256789918448248e-09
1850,1.7089153203642127e-08
1851,8.470282253369987e-09
1852,6.4201790550555415e-09
1853,1.7650013006687004e-08
1854,9.093094277545788e-09
1855,1.2217354239396627e-08
1856,5.671140224094984e-10
1857,1.711903152568084e-08
1858,2.626883954803816e-08
1859,2.0067338013518565e-08
1860,1.2043157582297681e-08
1861,1.7557068687779065e-08
1862,3.366737977295031e-08
1863,2.0285668367314713e-08
1864,1.4173757278967969e-08
1865,4.127684505306206e-08
1866,1.7619710135363675e-08
1867,1.2775996149905211e-08
1868,9.196849504178317e-09
1869,8.571699350312656e-09
1870,2.5133152226075595e-09
1871,1.2831418483294499e-08
1872,2.4543993504266837e-08
1873,9.184594418343295e-09
1874,3.933098469133256e-08
1875,8.173061338823118e-09
1876,8.633080472719712e-09
1877,2.5868727604461128e-08
1878,7.311521499353546e-09
1879,1.5457217727998795e-08
1880,1.696075968560251e-08
1881,4.610635429003196e-09
1882,6.594869983445051e-09
1883,4.1799657068963825e-09
1884,1.0184779630773022e-08
1885,1.3493959727384208e-08
1886,1.0667193350855086e-08
1887,2.1607871047990557e-09
1888,1.467694055179436e-08
1889,4.839843414927714e-09
1890,3.6144873760690643e-09
1891,1.1243531439220078e-08
1892,2.7668753954657177e-09
1893,2.037882529393187e-09
1894,6.958809528612164e-09
1895,8.634544634844588e-09
1896,2.341567473251871e-08
1897,1.2883683009334845e-09
1898,8.739629464571408e-09
1899,1.5251025331508572e-08
1900,2.0076015516679035e-08
1901,2.651958830313106e-08
1902,7.570013949020904e-09
1903,1.3710281798751112e-08
1904,1.7212157032986397e-08
1905,1.6523898249687363e-08
1906,1.4189142638620922e-08
1907,1.3072486315657272e-08
1908,1.952951222961019e-08
1909,5.4594586629264086e-09
1910,5.898358246270163e-09
1911,1.4092345068661416e-08
1912,9.196354788798544e-09
1913,1.4042640827938158e-08
1914,3.693296779516686e-09
1915,1.0390477589439229e-08
1916,3.628008227174462e-09
1917,6.0305116456049745e-09
1918,2.022031453385864e-08
1919,3.0404838646802546e-09
1920,1.0012051632202201e-08
1921,9.192655525680493e-09
1922,2.4431661138635263e-09
1923,1.4077697230163722e-08
1924,4.274717024799202e-09
1925,3.6555558580175784e-09
1926,8.641992566005285e-09
1927,6.171340105609602e-09
1928,1.0121320670464229e-08
1929,7.405576152308413e-09
1930,1.0463214294986756e-08
1931,0.0
1932,1.819323003360296e-08
1933,1.6494370314035223e-08
1934,1.725642917449477e-08
1935,9.284617519256244e-09
1936,1.476452293758257e-08
1937,5.579036344016686e-09
1938,4.303233325231304e-09
1939,5.082652521082309e-09
1940,0.0
1941,1.3123854003538327e-08
1942,1.345758171567013e-08
1943,0.0
1944,0.0
1945,2.1626657797924054e-08
1946,5.850996487311022e-08
1947,2.238530782960879e-08
1948,9.625652275246921e-09
1949,4.326429881018612e-09
1950,8.233934423174105e-09
1951,9.439247605769197e-09
1952,1.6352394993646158e-08
1953,1.1908261043913626e-09
1954,5.4033617580273585e-09
1955,5.1939128553613045e-09
1956,5.788134416206958e-09
1957,8.800898676497582e-09
1958,1.829783657925077e-09
1959,6.00209082435299e-09
1960,9.184038418652563e-09
1961,7.668129242688337e-09
1962,4.1965546593303316e-09
1963,6.4189649151558115e-09
1964,3.355656641446103e-09
1965,4.827090727133054e-09
1966,7.943746993532841e-09
1967,2.1727546095640093e-08
1968,4.446841117555778e-09
1969,8.986932975574291e-09
1970,2.528938836121597e-09
1971,7.366232068761747e-09
1972,3.3918023945034292e-09
1973,3.655968860982739e-09
1974,4.97543206634532e-09
1975,9.473350104372003e-09
1976,1.1991599713212509e-08
1977,2.5978643680701907e-09
1978,5.889122522972912e-09
1979,3.864867093028579e-09
1980,5.635500510692282e-09
1981,5.570260697140839e-09
1982,2.0456143445812813e-09
1983,4.859352031871822e-09
