year,quelles_DET voix_NOUN
1800,3.458580977167003e-08
1801,1.1905912922216544e-08
1802,4.0281122437590966e-08
1803,2.9255089017965474e-08
1804,4.69651695311768e-08
1805,5.685755422035754e-09
1806,5.76333825108577e-09
1807,1.9928686700865228e-08
1808,1.1330369975581789e-08
1809,1.3554183553310395e-08
1810,0.0
1811,8.273353113708026e-08
1812,2.9339290108509886e-08
1813,2.0130190847567064e-08
1814,2.2026740431613234e-08
1815,2.966945888971395e-08
1816,8.806895124280345e-08
1817,2.3353101674672416e-08
1818,2.5034473161156257e-08
1819,1.2421260131567635e-08
1820,9.493184904840746e-08
1821,2.465372128668264e-08
1822,6.316138012607553e-08
1823,1.7788836625953763e-08
1824,3.8737118401854786e-08
1825,2.2894152573726956e-08
1826,1.9377564886013943e-08
1827,2.3964910056406552e-08
1828,3.393751529801037e-08
1829,1.7146351893870815e-08
1830,4.174734336004349e-08
1831,2.02685670469549e-08
1832,2.3000947813045514e-08
1833,1.737544208513242e-08
1834,2.7070139019258477e-08
1835,1.663879345414898e-08
1836,3.830827632889111e-08
1837,2.2265250976261086e-08
1838,3.9766621995340756e-08
1839,2.3771015378315496e-08
1840,2.675269317187201e-08
1841,2.5040139295384733e-08
1842,4.360372241052346e-08
1843,5.2571508479815066e-08
1844,3.951764071530306e-08
1845,1.3950570032505993e-08
1846,1.8734404250153602e-08
1847,2.588747349818732e-08
1848,2.413566457803995e-08
1849,3.770736745067893e-08
1850,1.8330289286438983e-08
1851,7.739326735034524e-09
1852,2.7344291275710475e-08
1853,1.851298936372814e-08
1854,3.792835023830321e-08
1855,2.0697054736729115e-08
1856,1.7084724746041502e-08
1857,2.5383847024329498e-08
1858,1.7127865792332386e-08
1859,2.7497737420389967e-08
1860,2.654766673160225e-08
1861,2.1221837176454983e-08
1862,1.9879140555900676e-08
1863,2.697095280446149e-08
1864,3.931676983981447e-08
1865,3.388927982683754e-08
1866,3.259960656976091e-08
1867,1.6014277903764196e-08
1868,2.321740755206747e-08
1869,3.076617005604021e-08
1870,5.504686839685746e-08
1871,1.0621177493064238e-08
1872,1.9351485081031683e-08
1873,1.8556614689302364e-08
1874,3.4055271491695294e-08
1875,2.46025662065108e-08
1876,3.4462283693414975e-08
1877,9.895705588292003e-09
1878,2.2948536182454404e-08
1879,3.4823154138052814e-08
1880,2.0537107348062023e-08
1881,2.4403776555104173e-08
1882,2.3959386474814437e-08
1883,1.95899512722697e-08
1884,9.242375753615306e-09
1885,1.4824962146775533e-08
1886,1.8069699070366596e-08
1887,2.285123690271007e-08
1888,8.242799331981132e-09
1889,1.1903759533637981e-08
1890,9.176141180233799e-09
1891,8.286485719821712e-09
1892,2.005923915859853e-08
1893,1.046930814263547e-08
1894,1.764431001305411e-08
1895,1.5046535573048914e-08
1896,2.181900704556483e-08
1897,1.6314797512961832e-08
1898,1.0185039034382726e-08
1899,2.04520400615138e-08
1900,8.824790342920608e-09
1901,2.794369446945666e-08
1902,1.4730851427557923e-08
1903,1.7820727116202306e-08
1904,9.674325340824907e-09
1905,1.0837594377477444e-08
1906,1.0288369267641428e-08
1907,4.6285588695127444e-09
1908,1.4243028090277221e-08
1909,1.4852655549901783e-08
1910,1.7635697346918278e-08
1911,4.2562992019767876e-09
1912,1.927485815400587e-08
1913,1.96210621083992e-08
1914,2.5447625340291324e-08
1915,1.2958838224719216e-08
1916,1.9777431692347136e-08
1917,1.973956376133401e-08
1918,1.72295644418341e-08
1919,1.6574126959767455e-08
1920,1.5144463905159e-08
1921,1.6660044455107936e-08
1922,1.549366412945119e-08
1923,1.1677542932631013e-08
1924,1.6759111876041288e-08
1925,1.7597084678300234e-08
1926,1.7833821530643945e-08
1927,2.4528295394787847e-08
1928,2.0566874425753667e-08
1929,1.4482528065684619e-08
1930,9.453243077217621e-09
1931,1.596749932275543e-08
1932,1.3151443933878681e-08
1933,1.8353059072495626e-08
1934,1.0783422155213884e-08
1935,1.555876938397205e-08
1936,6.0623572828433225e-09
1937,7.55467088886519e-09
1938,1.2965214124527336e-08
1939,4.588215141154706e-09
1940,3.550096039361961e-08
1941,1.1806010835613279e-08
1942,9.102635090130207e-09
1943,1.4516176038981143e-08
1944,9.639558484764166e-09
1945,1.742803235060819e-08
1946,2.9234318965620787e-08
1947,1.549713246618012e-08
1948,1.522064341230589e-08
1949,1.47255123650325e-08
1950,1.595304244261797e-08
1951,1.3859822178829972e-08
1952,1.687168582620302e-08
1953,6.464296431474281e-09
1954,1.4658804392553293e-08
1955,1.8771215692936494e-08
1956,2.0058625871399727e-08
1957,7.951533764760654e-09
1958,2.7298403981745878e-08
1959,7.750748043378053e-09
1960,1.2457500364604357e-08
1961,1.59807664878997e-08
1962,7.610347463327116e-09
1963,1.3578711488548834e-08
1964,1.520992087833406e-08
1965,1.477451694320564e-08
1966,1.3293779410616935e-08
1967,1.429797347185513e-08
1968,2.0211371243306075e-08
1969,1.3625273354023193e-08
1970,1.977451802304131e-08
1971,1.9012070140433934e-08
1972,1.9494557967902892e-08
1973,1.543697081274331e-08
1974,7.313243344242437e-09
1975,7.996072248772634e-09
1976,6.284879505713548e-09
1977,2.9383909194713453e-09
1978,1.0099005409713868e-08
1979,9.948354584565777e-09
1980,2.217208727728348e-08
1981,1.0753434143140339e-08
1982,1.6760256293935072e-08
1983,2.5261264191556165e-08
1984,1.1598017213287903e-08
1985,6.015558051686298e-09
1986,1.3187867686781374e-08
1987,1.4665960224036212e-08
1988,1.3192418268914707e-08
1989,1.5915554207879268e-08
1990,1.4166492423584032e-08
1991,1.1136783939491579e-08
1992,9.91789939064347e-09
1993,1.3848018731721368e-08
1994,1.2659823855898367e-08
1995,1.5182862078688686e-08
1996,1.7615704450690828e-08
1997,1.1507746755512471e-08
1998,1.8118891276230897e-08
1999,1.553868367309974e-08
2000,1.8555732061997787e-08
2001,1.5772362527144423e-08
2002,1.0076809164871747e-08
2003,1.12506919336397e-08
2004,1.6297728056002825e-08
2005,1.9366123815700576e-08
2006,2.1413028461481076e-08
2007,2.3966877371606188e-08
2008,2.3415918981584127e-08
2009,1.192048104670107e-08
2010,1.322662024350052e-08
2011,1.4531093217584612e-08
2012,1.4978711604385353e-08
2013,1.4503450440628285e-08
2014,1.5807750219920536e-08
2015,1.8175917659846164e-08
2016,1.822779216453796e-08
2017,1.6099912514278003e-08
2018,1.8328413453616577e-08
2019,2.0663000199760972e-08
