year,tes_DET ans_NOUN,tes_DET vents_NOUN
1800,3.45858084394024e-08,6.288328968651058e-09
1801,5.0004833385131064e-08,7.143547975374531e-09
1802,2.0140561218795483e-08,2.2378401354217203e-09
1803,2.7304748684287006e-08,3.900678446910888e-09
1804,6.92118238276862e-08,9.887403562558461e-09
1805,5.685755510853596e-08,5.685755422035754e-09
1806,1.498467980809437e-07,8.645007376628655e-09
1807,1.1387820464392462e-08,0.0
1808,6.798221985349073e-09,4.5321479902327155e-09
1809,3.6144488291256494e-08,9.036122072814123e-09
1810,3.978215445954447e-08,1.8721014072298203e-08
1811,3.760615285841595e-08,2.5070767684098882e-09
1812,7.20146218213813e-08,2.6672082320544632e-09
1813,4.6011867427253605e-08,8.627225156487839e-09
1814,5.97868634599763e-08,3.1466771410748606e-09
1815,4.8550024445148665e-08,2.697223555614414e-09
1816,3.708166040894412e-08,2.3176038865813098e-09
1817,5.449056961204235e-08,3.113746815941454e-09
1818,2.8610826152686286e-08,1.1921177378582115e-09
1819,7.659776724011635e-08,2.070210003424222e-09
1820,1.0561168295453172e-07,1.4239777357261119e-08
1821,3.8459806006585495e-08,2.9584463767662328e-09
1822,3.709477880420309e-08,5.012807946513931e-09
1823,3.557767347395213e-08,1.9765373782121287e-09
1824,6.989523360090288e-08,4.210556348027694e-09
1825,3.698286188402733e-08,2.641632912414593e-09
1826,3.8755132436563144e-08,2.642395191543301e-09
1827,3.2260455640198415e-08,6.452091028119611e-09
1828,4.402704451011985e-08,6.420610709767516e-09
1829,3.257806824308318e-08,6.001223074036943e-09
1830,1.1480518979922749e-08,6.262101504006523e-09
1831,1.7150327380477393e-08,7.795603051974354e-09
1832,4.735489356200162e-08,4.058990921151917e-09
1833,6.023486831541192e-08,0.0
1834,3.080395205579123e-08,1.120143711119681e-08
1835,3.1764969321557146e-08,1.3613558280667348e-08
1836,3.22596004909137e-08,4.704525213838906e-09
1837,3.1310509740478665e-08,5.566312633042969e-09
1838,3.3454458758797045e-08,5.680945491803868e-09
1839,2.7965900262216792e-08,4.194885327990505e-09
1840,2.930056863803543e-08,1.910906599622564e-09
1841,2.760835826620678e-08,5.1364388298225094e-09
1842,3.4212152222323766e-08,3.3541325272778977e-09
1843,1.5357968674578615e-08,2.953455480181333e-09
1844,1.701454005464953e-08,4.390849128732555e-09
1845,2.17628883802945e-08,3.348136878855712e-09
1846,2.2247105713191218e-08,2.9272506640865004e-09
1847,1.887628275909492e-08,2.1572894581822766e-09
1848,1.2067832455553429e-08,3.218088684420195e-09
1849,2.262441967104678e-08,4.1897072478036534e-09
1850,1.6972489191857676e-08,1.0862393651223101e-08
1851,1.3543821397732358e-08,8.384270389072412e-09
1852,2.539112786692499e-08,3.2552727180501506e-09
1853,2.9262466672008713e-08,2.388772735173461e-09
1854,2.3380490266067255e-08,1.1950028522278444e-08
1855,3.874064091746732e-08,4.2455496895854594e-09
1856,2.381507024917795e-08,3.1063134287023786e-09
1857,4.7838790040444223e-08,5.857811125054013e-09
1858,2.055343872875426e-08,2.4468380099840203e-09
1859,4.328347347204442e-08,9.675129808428551e-09
1860,1.8308735055816427e-08,1.373155145145688e-09
1861,2.9710572058139206e-08,5.187559992680946e-09
1862,3.840288445577933e-08,4.9697850279528666e-09
1863,2.2475794225762513e-08,3.496234635136375e-09
1864,3.0206785961439664e-08,5.274200631788517e-09
1865,1.647395531101381e-08,3.2947911621228343e-09
1866,2.7733993990253225e-08,6.3252969528804215e-09
1867,2.717574432153924e-08,2.426405742994575e-09
1868,1.0867722721741302e-08,9.87974813071446e-10
1869,2.5882651355502162e-08,1.953407657850903e-09
1870,2.408300403544672e-08,2.8670243956696595e-09
1871,2.124235387590545e-08,3.18635318130589e-09
1872,2.297988976884824e-08,3.0236697590169115e-09
1873,1.3169209722718733e-08,4.190203295451056e-09
1874,2.2106053876314036e-08,0.0
1875,1.4875970677508121e-08,1.7164581422868253e-09
1876,1.0882827083946722e-08,3.627608879952504e-09
1877,2.1028373708986692e-08,1.8554447978047506e-09
1878,9.662541766708443e-09,3.0195443923020093e-09
1879,1.5884245807562536e-08,3.0546627449723474e-09
1880,2.1820676820993867e-08,4.492492600149944e-09
1881,4.183504653809678e-09,6.2752567586699115e-09
1882,1.9966154729544883e-08,4.6587693702804245e-09
1883,1.7062214974217227e-08,5.6874050469168935e-09
1884,2.9047466654219534e-08,2.6406787867472303e-09
1885,1.5469526104539e-08,1.9336907075562237e-09
1886,2.1941776617850905e-08,6.453463763378409e-09
1887,2.546280519766242e-08,6.528924623161458e-10
1888,1.7119660356001987e-08,2.53624587998047e-09
1889,1.3156787381785051e-08,3.132568426877924e-09
1890,3.015017774332662e-08,6.554386366985909e-09
1891,2.4222036598686714e-08,6.374220040683554e-10
1892,2.3820346362057876e-08,0.0
1893,1.1085149798084615e-08,6.7742580989182954e-09
1894,2.3315696040526745e-08,6.301539290376468e-10
1895,1.745398137131815e-08,6.018614495673091e-10
1896,1.1204355165883584e-08,1.179405795248556e-09
1897,1.9228155068162778e-08,2.9133566670225264e-09
1898,1.4711722506888236e-08,2.8291774478717002e-09
1899,8.291367592505594e-09,3.8693048765026106e-09
1900,7.267474400052265e-09,1.038210628578895e-09
1901,2.794369402536745e-09,1.676621730339889e-09
1902,7.856454153909453e-09,1.9641135384773634e-09
1903,9.720396931811592e-09,2.7001101354784396e-09
1904,1.5048950530172078e-08,1.0749250378694342e-09
1905,2.528772019561032e-08,1.0321518084666081e-09
1906,1.6461390472954918e-08,7.716276506641861e-09
1907,2.0571373937627868e-08,3.0857060240307987e-09
1908,1.1787333775714615e-08,9.331639017062798e-09
1909,1.1552065415365576e-08,8.801573692096554e-09
1910,7.481811059584231e-09,3.2064905175488434e-09
1911,1.1172786140711821e-08,3.1922244847493175e-09
1912,7.814131564032323e-09,3.125652625612929e-09
1913,1.6969567750990677e-08,2.6514948014977335e-09
1914,1.875088229130739e-08,5.357395083116501e-09
1915,1.2958838335741518e-08,2.3561523843085297e-09
1916,8.789969863087777e-09,3.2962386153911893e-09
1917,9.8697816586224e-09,5.483212106582869e-09
1918,1.2635013924011673e-08,9.189101035644853e-09
1919,2.4861190661695787e-08,9.207848372660976e-10
1920,9.086677632552664e-09,8.329454903588385e-09
1921,2.4232791773215467e-08,3.7863738810983705e-09
1922,2.0658220023506146e-08,3.6889677423879164e-09
1923,5.095655097875351e-08,4.246379248229459e-09
1924,3.0939897754933554e-08,5.156649773851996e-09
1925,3.409435223034052e-08,2.1996355847875293e-09
1926,2.7865347029809584e-08,8.916910765321973e-09
1927,1.0034302388994831e-08,3.3447675740205796e-09
1928,1.5996457491951332e-08,6.85562484559199e-09
1929,1.4482528065684619e-08,4.4561625500705304e-09
1930,1.575540553577781e-08,6.3021621254932825e-09
1931,1.710803587684495e-08,4.5621426636444085e-09
1932,1.6439305028370654e-08,6.575722188983946e-09
1933,5.735331320977366e-09,1.1470662197865522e-09
1934,9.585264137967897e-09,0.0
1935,1.196828414151696e-08,2.393656828303392e-09
1936,1.8187071404440758e-08,1.2124714565686645e-08
1937,2.7700460591972842e-08,2.5182236296217297e-09
1938,5.963998717106733e-08,5.186085783037697e-09
1939,1.6823456405745674e-08,0.0
1940,1.0143131667916805e-08,5.0715658339584024e-09
1941,8.854507793643052e-09,1.1806010391524069e-08
1942,2.1239482173029955e-08,0.0
1943,1.7419411024732767e-08,0.0
1944,1.6065930807940276e-08,6.4263723231761105e-09
1945,0.0,8.714016175304096e-09
1946,3.6194869323935563e-08,5.568441707737293e-09
1947,9.536696765621855e-09,5.960435478513659e-09
1948,4.348755133776194e-09,5.435944139264848e-09
1949,2.2579119018928395e-08,5.890204768377316e-09
1950,4.892266147749069e-08,5.317680518146517e-09
1951,1.2793682557799002e-08,1.0661401761424827e-09
1952,1.3708244983590134e-08,5.272401848444019e-09
1953,1.4005975934594517e-08,4.3095309543161875e-09
1954,8.795282502305213e-09,1.9545072227344917e-09
1955,6.569925492527773e-09,1.8771215692936494e-09
1956,1.3953826760726429e-08,0.0
1957,8.835037590415595e-09,8.835037701437898e-10
1958,1.3235589513271862e-08,3.3088974338291166e-09
1959,1.9376869886400527e-08,7.750747821333448e-10
1960,1.5225833038812198e-08,2.076250060767393e-09
1961,1.598076693198891e-08,6.948159270159238e-10
1962,9.512934440181198e-09,8.244543714397423e-09
1963,1.0992290189193454e-08,5.1728425987107585e-09
1964,9.125952216137989e-09,3.6503808864551957e-09
1965,2.3529786119524942e-08,2.73602163147757e-09
1966,2.381802199913352e-08,7.200797069728537e-09
