year,petits_ADJ airs_NOUN
1800,1.792173822678933e-07
1801,1.8335106233280385e-07
1802,6.042168365638645e-08
1803,9.166594150400442e-08
1804,1.1370514130248921e-07
1805,7.675769686521505e-08
1806,3.9190699663294026e-07
1807,1.9643989901396708e-07
1808,1.087715486569607e-07
1809,1.6490922405409947e-07
1810,1.3338723192646285e-07
1811,1.2033968488367464e-07
1812,1.787029546562735e-07
1813,2.386865673997818e-07
1814,1.3530711839848664e-07
1815,1.6183340889597275e-08
1816,2.5493642752394408e-08
1817,1.821541957269801e-07
1818,6.318224166079744e-08
1819,1.418093802385556e-07
1820,1.82743802312757e-07
1821,1.6863144558509902e-07
1822,1.2431763707354548e-07
1823,9.882686669016039e-08
1824,9.768490372152883e-08
1825,2.562383940585278e-07
1826,9.953022583886195e-08
1827,6.359918103271411e-08
1828,1.3941897236691148e-07
1829,1.1830983287497432e-07
1830,1.857756772860597e-07
1831,9.354723573551382e-08
1832,1.1365174401589684e-07
1833,8.687721697597794e-08
1834,1.0361329572106115e-07
1835,1.240346492181743e-07
1836,1.1694104951054385e-07
1837,1.2941677152156217e-07
1838,8.016445707248465e-08
1839,1.3773206630762758e-07
1840,9.936714623348664e-08
1841,8.282507391044192e-08
1842,7.312008731830133e-08
1843,5.6706346396318e-08
1844,5.3239045172404076e-08
1845,5.357019006169139e-08
1846,7.43521662016633e-08
1847,6.148275133455172e-08
1848,3.942158599556933e-08
1849,2.5976186535103807e-08
1850,4.2091777174846357e-08
1851,3.9341575330809064e-08
1852,7.0313888045348e-08
1853,9.555090940693844e-08
1854,7.325886675069171e-08
1855,8.066544765483741e-08
1856,6.730346280292565e-08
1857,7.810414454079151e-08
1858,7.976691640543265e-08
1859,8.198399092940178e-08
1860,9.795173458448936e-08
1861,9.2432888898486e-08
1862,9.939569925454528e-08
1863,1.023897271967833e-07
1864,8.582563137959909e-08
1865,5.883555331820389e-08
1866,1.1142253875107144e-07
1867,8.443892340892489e-08
1868,7.55800723117872e-08
1869,8.106641535832182e-08
1870,9.461180727754481e-08
1871,5.2043770182308435e-08
1872,6.47065334646868e-08
1873,6.883905034893445e-08
1874,4.7796871516236905e-08
1875,6.980262895472933e-08
1876,9.250402532856583e-08
1877,1.2740720611859047e-07
1878,1.5339284908932882e-07
1879,1.1057878879228156e-07
1880,8.85662760907735e-08
1881,1.289913882374094e-07
1882,1.0448954412822786e-07
1883,8.720687627583601e-08
1884,8.978307874940583e-08
1885,8.894977576723306e-08
1886,5.872652208971374e-08
1887,7.96528805135921e-08
1888,9.764546771151572e-08
1889,1.0024218788373673e-07
1890,7.734175966334078e-08
1891,6.437962229988159e-08
1892,7.71027024448756e-08
1893,4.249307411496872e-08
1894,7.62486271899121e-08
1895,7.342709884561316e-08
1896,8.25584047792205e-08
1897,5.943247960438214e-08
1898,7.41244515767292e-08
1899,7.130576129554811e-08
1900,7.682758473848139e-08
1901,5.47696430430733e-08
1902,4.4192555059829886e-08
1903,7.884321706619346e-08
1904,7.309490346329994e-08
1905,6.502556426646322e-08
1906,5.0413006547067596e-08
1907,4.11427484858784e-08
1908,9.822777857770859e-08
1909,8.581534005625002e-08
1910,1.0581418208310822e-07
1911,9.417061996863652e-08
1912,7.657848899444986e-08
1913,1.1083248385723721e-07
1914,9.24150601044893e-08
1915,7.068457108516668e-08
1916,7.031975557403314e-08
1917,7.2378403381812e-08
1918,5.2837331843136326e-08
1919,4.4197672688373046e-08
1920,9.768178621527568e-08
1921,1.2797943083064922e-07
1922,1.0107771863943071e-07
1923,9.766671915656389e-08
1924,9.797634858976778e-08
1925,1.0008341710943114e-07
1926,8.916910765321973e-08
1927,1.0145794293592303e-07
1928,8.683791696828536e-08
1929,9.914961429657865e-08
1930,1.197410816056177e-07
1931,6.501053473328966e-08
1932,9.315606286364186e-08
1933,7.914757071958434e-08
1934,5.511527056967225e-08
1935,5.385727863682632e-08
1936,8.244806171120445e-08
1937,4.029157785190307e-08
1938,3.759912092782258e-08
1939,6.576441791139587e-08
1940,3.0429394115571995e-08
1941,1.092055943452408e-07
1942,6.675266206457309e-08
1943,7.548411717905879e-08
1944,1.0603513977969214e-07
1945,7.189063211399116e-08
1946,6.12528578969318e-08
1947,6.198852808836364e-08
1948,6.196975999017695e-08
1949,8.049946620403148e-08
1950,6.487570614055471e-08
1951,4.584402590879222e-08
1952,6.643226135860658e-08
1953,7.110726008008328e-08
1954,8.893008085486542e-08
1955,6.945349717568661e-08
1956,5.7559534027973314e-08
1957,6.096176169423373e-08
1958,6.700517257707261e-08
1959,6.355613180186737e-08
1960,6.297958421441763e-08
1961,6.04489848177181e-08
1962,6.532215202081915e-08
1963,5.884108655873632e-08
1964,7.665800411116308e-08
1965,6.238129401925363e-08
1966,7.976267712983542e-08
1967,7.642020460885135e-08
1968,1.0779397774385302e-07
1969,5.041351092138768e-08
1970,6.254266013416832e-08
1971,9.557419544670154e-08
1972,1.205584509444968e-07
1973,6.064524288307283e-08
1974,5.400548674927563e-08
1975,4.9118729972263964e-08
1976,3.9994688449951354e-08
1977,4.7601932451346585e-08
1978,7.603957252744209e-08
1979,5.7934536279447e-08
1980,4.4344176552968406e-08
1981,6.705082677971319e-08
1982,6.393727314257802e-08
1983,3.6628833299801045e-08
1984,7.828661746644983e-08
1985,4.8726019219458294e-08
1986,5.2751473411660754e-08
1987,7.944061980458272e-08
1988,3.537966714040053e-08
1989,5.1039535819974446e-08
1990,7.791570688642224e-08
1991,5.392547935967329e-08
1992,5.6752426758066576e-08
1993,5.0960709707670304e-08
1994,5.380425294188029e-08
1995,6.994961387896126e-08
1996,7.526709899785544e-08
1997,5.322332752299985e-08
1998,6.627699511430052e-08
1999,5.9412613412357373e-08
2000,6.052702983261327e-08
2001,5.564139093916509e-08
2002,3.680225996172126e-08
2003,5.208653752752923e-08
2004,8.192911671311975e-08
2005,5.989986806564929e-08
2006,7.082770669963878e-08
2007,8.867744283325152e-08
2008,7.109924093917641e-08
2009,6.198650326361133e-08
2010,7.36911718313138e-08
2011,6.615471703774745e-08
2012,6.638292970873039e-08
2013,7.279616043298631e-08
2014,8.726743945530746e-08
2015,9.243119147850365e-08
2016,9.445310353295433e-08
2017,5.484032605806988e-08
2018,7.047404254612033e-08
2019,8.443769278221325e-08
