year,des_DET idéaux_NOUN
1925,3.629398648286042e-08
1926,5.684530501870455e-08
1927,6.355057990958812e-08
1928,3.7705934374798744e-08
1929,1.0694790120169273e-07
1930,5.566909777598994e-08
1931,7.527535306195432e-08
1932,7.452484684922211e-08
1933,9.061822936473618e-08
1934,1.0543790551764687e-07
1935,8.01875019718068e-08
1936,1.6247116985113053e-07
1937,7.80649358489427e-08
1938,1.0242519254965998e-07
1939,1.391758530644438e-07
1940,4.767271926109373e-07
1941,7.969057236323351e-08
1942,1.7295007159745523e-07
1943,1.4225852851268428e-07
1944,1.8957798886276578e-07
1945,1.3506725338174874e-07
1946,1.740138078076825e-07
1947,2.36033249390033e-07
1948,1.9460678557514655e-07
1949,2.110656844855896e-07
1950,2.5843928908031444e-07
1951,2.1962488006010972e-07
1952,2.478029006436344e-07
1953,2.3163728712916054e-07
1954,3.5181129653949483e-07
1955,2.2525459097977318e-07
1956,2.258775708696703e-07
1957,2.0585638371706239e-07
1958,1.7206266988978314e-07
1959,2.3717288455404884e-07
1960,2.4084501198951003e-07
1961,3.251738567300322e-07
1962,2.384575559233326e-07
1963,3.4076101662616765e-07
1964,2.7073657760112724e-07
1965,2.3310904362361384e-07
1966,2.647677832534612e-07
1967,2.839873353699396e-07
1968,3.130516823546259e-07
1969,2.3798810555586414e-07
1970,3.04435596398811e-07
1971,2.898056091771295e-07
1972,2.9857455952075895e-07
1973,2.8944320562551695e-07
1974,2.4865025527454065e-07
1975,2.3359953482682272e-07
1976,3.1367263608750307e-07
1977,2.715073210701746e-07
1978,3.1069292805163684e-07
1979,2.9845065230293955e-07
1980,3.627126217708998e-07
1981,3.428447810094326e-07
1982,3.5010313448324837e-07
1983,3.606045435589067e-07
1984,3.4736061804707674e-07
1985,4.0424549219153505e-07
1986,3.764536979922184e-07
1987,4.509782955963715e-07
1988,3.7658358542635995e-07
1989,4.055722264695305e-07
1990,4.538726352532052e-07
1991,4.226116399053126e-07
1992,4.435505036592957e-07
1993,4.652934286752952e-07
1994,5.053379501518407e-07
1995,5.764065429403331e-07
1996,5.556954185692575e-07
1997,5.216845093691802e-07
1998,5.216333223145853e-07
1999,5.653338810418518e-07
2000,5.933416415970783e-07
2001,6.067978470802871e-07
2002,5.791974988511583e-07
2003,6.121209654708082e-07
2004,6.726116250632685e-07
2005,6.228685469622519e-07
2006,6.555680762687643e-07
2007,6.187448946537444e-07
2008,6.088138615467642e-07
2009,6.460901111893236e-07
2010,6.504662986017706e-07
2011,5.44151194326048e-07
2012,4.939570925621695e-07
2013,4.970220865985198e-07
2014,4.118676706355018e-07
2015,4.184894408787443e-07
2016,3.6103458000980027e-07
2017,4.885317093084041e-07
2018,4.525311068093174e-07
2019,3.959133074715737e-07
