year,nos_DET ans_NOUN,nos_DET vents_NOUN
1800,1.226224086714467e-07,6.288328968651058e-09
1801,7.857902772911984e-08,9.524730337773235e-09
1802,1.2755688771903806e-07,1.0070280609397742e-07
1803,1.5212645965156923e-07,1.3652374342143503e-08
1804,1.5819846055364906e-07,4.943701892301533e-09
1805,8.812921237222326e-08,0.0
1806,1.3543845511776453e-07,1.152667650217154e-08
1807,1.5088862381773538e-07,1.366538526781369e-07
1808,1.450287405724282e-07,4.5321479902327155e-09
1809,8.810219243038375e-08,2.0331274441787173e-08
1810,1.2168659679900884e-07,2.3401267590372754e-09
1811,1.4039629903095374e-07,5.0141535368197765e-09
1812,5.3344166417446104e-08,0.0
1813,1.3803560250380542e-07,0.0
1814,6.293354459785405e-08,3.776012391654149e-08
1815,5.124724800076308e-08,1.0788894222457657e-08
1816,1.2978581764855335e-07,2.5493642752394408e-08
1817,1.2143612515558289e-07,1.8682481339737933e-08
1818,1.1801965627000754e-07,4.768470951432846e-09
1819,7.452755745873674e-08,4.140420006848444e-09
1820,7.831877635311457e-08,9.493184904840746e-09
1821,1.0058718102889941e-07,1.3806083276612924e-08
1822,7.719724237631453e-08,6.015369535816717e-09
1823,1.0475648082319822e-07,1.581229902569703e-08
1824,1.802118072546932e-07,2.105278085196005e-08
1825,1.3296219081304628e-07,1.2327619813845558e-08
1826,7.839105875540042e-08,4.403992281964975e-09
1827,9.032927539287527e-08,0.0
1828,7.613009955775851e-08,3.6689205562545624e-09
1829,5.572564276690173e-08,1.714635211591542e-09
1830,5.7402597564149005e-08,3.1310507520032616e-09
1831,4.365537709105638e-08,9.354723218280014e-09
1832,1.0282777063164161e-07,2.705993873419743e-09
1833,1.0888610546544442e-07,4.054269808762001e-08
1834,6.720862222309165e-08,2.6136685704614138e-08
1835,6.201732105637348e-08,2.8739734148075513e-08
1836,1.1290860263413194e-07,2.352262562510532e-08
1837,4.592208013853849e-08,1.0436836284100082e-08
1838,7.322107919982557e-08,2.8404728125153156e-08
1839,3.495737432857027e-08,1.677954131196202e-08
1840,4.9046602779156956e-08,6.369688498875092e-09
1841,8.73194618833395e-08,1.0914932957462042e-08
1842,5.702025340781347e-08,1.341653010911159e-08
1843,4.489252369843655e-08,4.7255288571079745e-09
1844,3.841992773923053e-08,9.879410178825765e-09
1845,5.636030275812942e-08,6.696273757711424e-09
1846,5.0348710534109387e-08,8.781752214304106e-09
1847,2.534815113364175e-08,1.0247124926365814e-08
1848,4.907585093860689e-08,8.045221711050488e-10
1849,1.0306680486849018e-07,1.0893239199560867e-08
1850,6.245876349453283e-08,3.2587180065490884e-08
1851,5.868989294555149e-08,1.9348316282474798e-09
1852,4.6224873262445954e-08,9.114764054629632e-09
1853,3.3442819624696085e-08,3.045685192937242e-08
1854,6.442623751157228e-08,1.0391328686409906e-08
1855,5.094659627502551e-08,2.175844215912548e-08
1856,6.678573938323495e-08,1.9155599773057475e-08
1857,6.980557848423885e-08,1.806158356210119e-08
1858,5.18729667553508e-08,2.104280660830682e-08
1859,5.194016750031949e-08,1.9859475397510096e-08
1860,6.224970103274607e-08,1.5104706818647173e-08
1861,4.6216444282709546e-08,1.0375120318428799e-08
1862,8.629353992484212e-08,9.939570055905733e-09
1863,8.34101649416219e-08,1.6981710260211003e-08
1864,6.04135705906117e-08,3.88372978221696e-08
1865,5.365802618895188e-08,4.424433758254409e-08
1866,5.3521741094630926e-08,2.724743153326159e-08
1867,7.327745521479301e-08,1.2132028714972876e-08
1868,4.2482918516384416e-08,1.4325634678513666e-08
1869,5.46954153080037e-08,1.31855019125382e-08
1870,7.454263339923273e-08,3.956493710433051e-08
1871,6.691341436493303e-08,2.1242353653860846e-08
1872,4.233137351761229e-08,9.675742873582749e-09
1873,4.369783174196229e-08,2.1549615425442425e-08
1874,3.8237498112270174e-08,1.7923826645116492e-08
1875,7.437985516389745e-08,4.3483606049221635e-08
1876,4.9577319805038655e-08,9.673623679873344e-09
1877,6.246663986075873e-08,1.9791411176584006e-08
1878,5.918306911212312e-08,1.69094480639842e-08
1879,4.3376210623335965e-08,4.64308729242191e-08
1880,4.235778638950194e-08,1.6686399817444908e-08
1881,6.972507465841105e-08,1.4642265677711208e-08
1882,5.457415808152177e-08,2.72870797068947e-08
1883,4.7395042834796897e-08,3.791603309100111e-09
1884,4.819238963449379e-08,3.300848305798354e-08
1885,4.9631395993010585e-08,1.2246707647989297e-08
1886,5.937186853266496e-08,1.936039106809062e-09
1887,2.7421483750345033e-08,4.570247347235323e-09
1888,3.6775564593583e-08,1.2047167707862627e-08
1889,4.51089832154139e-08,6.891650361495749e-09
1890,2.5562107652810084e-08,3.2771931834929546e-09
1891,2.549687994068961e-08,7.649063937797962e-09
1892,3.886477561998447e-08,9.402768341715273e-09
1893,3.325545000487651e-08,1.23168328869383e-08
1894,2.8987081401865566e-08,1.0712617237729205e-08
1895,1.9259566386153892e-08,1.3240952112525406e-08
1896,2.063960063969361e-08,5.89702897624278e-10
1897,2.3889524691789177e-08,1.0488084178916779e-08
1898,2.5462597474934512e-08,4.52668391659472e-09
1899,1.6582735185011188e-08,6.080336234504102e-09
1900,2.6474371694895638e-08,4.15284251431558e-09
1901,2.123720777014171e-08,3.912117296778206e-09
1902,1.9641135329262482e-08,4.910283846193408e-10
1903,2.5381034607363517e-08,1.0260418292773466e-08
1904,1.666133808697623e-08,6.987012746151322e-09
1905,2.3223416079076742e-08,9.805441791854719e-09
1906,2.1605574218597212e-08,4.629765903985117e-09
1907,4.834272726572664e-08,9.257117739025489e-09
1908,2.5539223402759603e-08,1.080505596107173e-08
1909,3.190570296851547e-08,3.850688656825696e-09
1910,3.259932035426516e-08,2.67207544979442e-09
1911,3.564650674636738e-08,9.044636151145369e-09
1912,4.9489502940147645e-08,6.251305251225858e-09
1913,4.030272293675807e-08,3.71209285532359e-09
1914,3.884111277052682e-08,4.68772043404897e-09
1915,1.767114277129167e-08,1.0602685840410686e-08
1916,1.7579939282086343e-08,2.197492410260793e-09
1917,2.19328495365545e-08,0.0
1918,3.675640503075783e-08,0.0
1919,3.6831394434333475e-08,7.366278698128781e-09
