year,tes_DET îles_NOUN,tes_DET iles_NOUN,tes_DET villes_NOUN
1800,0.0,3.144164484325529e-09,8.174827570428533e-08
1801,9.524730337773235e-09,0.0,6.191074675143682e-08
1802,4.475680270843441e-09,0.0,7.161088433349505e-08
1803,1.950339223455444e-09,0.0,6.046051481689574e-08
1804,1.2359254952798437e-08,0.0,4.202146608456303e-08
1805,2.842877711017877e-09,0.0,1.1371510977298271e-07
1806,2.881669125542885e-09,0.0,6.051505074822217e-08
1807,2.2775640928784924e-08,0.0,4.555128185756985e-08
1808,1.3596443526608937e-08,2.2660739951163578e-09,2.2660739062985158e-08
1809,2.259030518203531e-09,0.0,2.0331274441787173e-08
1810,2.3401267590372754e-09,0.0,2.8081521108447305e-08
1811,0.0,0.0,8.273353557797236e-08
1812,0.0,0.0,1.3336041604361526e-08
1813,8.627225156487839e-09,0.0,4.026038169513413e-08
1814,3.1466771410748606e-09,0.0,3.776012391654149e-08
1815,0.0,0.0,1.6183341333686485e-08
1816,0.0,2.3176038865813098e-09,1.8540831092650478e-08
1817,0.0,0.0,4.670620379343404e-08
1818,0.0,0.0,2.3842354979208835e-08
1819,3.1053151161586356e-09,0.0,8.073819302012453e-08
1820,3.5599443393152796e-09,0.0,8.899861114741725e-08
1821,4.9307441463142254e-09,9.86148829262845e-10,5.8182782036730885e-08
1822,6.015369535816717e-09,1.0025615893027862e-09,1.2532019866284827e-07
1823,5.929612356680991e-09,0.0,3.656594316225892e-08
1824,1.0947446504872005e-08,0.0,4.126345132249298e-08
1825,5.283265824829186e-09,0.0,3.522177305370633e-08
1826,9.688782998118484e-09,0.0,4.139752518561579e-08
1827,9.217273055917019e-10,0.0,2.027800150017356e-08
1828,6.420610709767516e-09,9.172301251858528e-10,1.2474329003087092e-07
1829,4.286587973467704e-09,0.0,8.058785283537873e-08
1830,1.1480519646056564e-08,2.0873671680021744e-09,4.070366022013161e-08
1831,3.1182412207897414e-09,0.0,2.182768810143898e-08
1832,5.411987746839486e-09,0.0,5.817886972181441e-08
