year,vingt - trois vers
1800,0.0
1801,0.0
1802,0.0
1803,2.14285567068373e-09
1804,3.262086778477169e-08
1805,0.0
1806,0.0
1807,0.0
1808,2.988177527640801e-08
1809,0.0
1810,2.5642903356271063e-09
1811,4.414885523829071e-08
1812,8.762750525193042e-09
1813,0.0
1814,3.439378781777691e-09
1815,3.84334271075204e-08
1816,0.0
1817,0.0
1818,1.303322894052883e-09
1819,2.2612181016512523e-09
1820,0.0
1821,0.0
1822,0.0
1823,1.619380718409502e-08
1824,7.350030806207997e-09
1825,0.0
1826,6.72741373719532e-09
1827,1.2072785438022038e-08
1828,0.0
1829,2.5286833960080912e-08
1830,1.0272528605526077e-08
1831,0.0
1832,2.965254486397839e-09
1833,2.534756049499265e-08
1834,1.7388863682299416e-08
1835,3.319842178939325e-09
1836,1.9093073788667425e-08
1837,1.5181975676625825e-09
1838,1.0323364385556033e-08
1839,1.5285157584088438e-09
1840,1.600464116791045e-08
1841,0.0
1842,1.4670415993123243e-08
1843,1.0326685284667292e-08
1844,2.3935895487881e-09
1845,0.0
1846,6.406604580178055e-09
1847,8.246839655612348e-09
1848,0.0
1849,0.0
1850,5.201046704428336e-09
1851,3.5292844202672313e-09
1852,1.640712454786808e-08
1853,0.0
1854,2.8415918507107563e-09
1855,3.4906726398276078e-09
1856,5.671140224094984e-10
1857,2.6748487869099336e-09
1858,3.752691490888083e-09
1859,3.901982292831008e-09
1860,5.017982029897894e-09
1861,6.196612556408354e-09
1862,2.970651058475937e-09
1863,3.2895679513700316e-09
1864,2.0998158767326913e-09
1865,2.579802815816379e-09
1866,2.1357224877505132e-09
1867,6.387998130463757e-09
1868,4.868920377987251e-09
1869,3.2143874229006997e-09
1870,1.884986389200094e-09
1871,0.0
1872,0.0
1873,3.936254877601186e-09
1874,6.555164189236962e-10
1875,5.029576310988659e-09
1876,6.640831218263088e-10
1877,1.2253607906131947e-08
1878,3.988102292851181e-09
1879,2.0161587954703464e-09
1880,2.1200949884558895e-09
1881,3.0737570266836656e-09
1882,1.025868723303347e-08
1883,8.359931413792765e-09
1884,4.3649053260708115e-09
1885,0.0
1886,4.2668775179777185e-09
1887,0.0
1888,0.0
1889,8.296874298707735e-09
1890,5.060282415314532e-09
1891,2.1081620893426134e-09
1892,6.917188488664294e-10
1893,7.472236163152957e-09
1894,4.871166581210673e-09
1895,4.649370222153948e-09
1896,0.0
1897,1.9325523403779243e-09
1898,1.872777710687501e-09
1899,1.22008203540247e-09
1900,1.7208012792480076e-09
1901,6.784080852639818e-09
1902,5.9478679759195074e-09
1903,0.0
1904,1.187045350903304e-09
1905,3.418737737348465e-09
1906,5.675657166470671e-10
1907,0.0
1908,2.1699457786183984e-09
1909,3.6396392566473423e-09
1910,2.9491791231350817e-09
1911,2.3487241040953677e-09
1912,0.0
1913,0.0
1914,7.386593559033372e-10
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,3.0404838646802546e-09
