year,quelques_DET vivres_NOUN
1800,1.2576657582030748e-07
1801,1.3572740442668874e-07
1802,7.832440473976021e-08
1803,4.6808142251109075e-08
1804,1.0134588990240445e-07
1805,1.506725197941705e-07
1806,8.645007198992971e-08
1807,1.366538526781369e-07
1808,1.3369836437959748e-07
1809,9.03612189517844e-08
1810,5.616304221689461e-08
1811,8.022645658911642e-08
1812,6.134578844907423e-08
1813,1.0352670187785407e-07
1814,1.1957372869630944e-07
1815,1.5913618467422452e-07
1816,1.1124498655590287e-07
1817,8.095741765856701e-08
1818,1.9908365533893857e-07
1819,1.511253344688157e-07
1820,1.4833100969724455e-07
1821,1.2524090287069356e-07
1822,1.233150754842427e-07
1823,2.757269612629898e-07
1824,1.8779080690478622e-07
1825,2.9234072229655794e-07
1826,2.01702837987483e-07
1827,9.493791414127983e-08
1828,1.467568182533796e-07
1829,9.08756693229762e-08
1830,2.1499882052467e-07
1831,1.1381580433678096e-07
1832,4.7354891563600177e-08
1833,1.5753734317058843e-07
1834,1.1761509233210177e-07
1835,1.1571524538567246e-07
1836,2.2648928132973367e-07
1837,1.454199151096347e-07
1838,2.518552726371581e-07
1839,1.6779540512601443e-07
1840,1.656119053006222e-07
1841,1.4446233587150914e-07
1842,1.2276125005428185e-07
1843,1.4767277889404795e-07
1844,1.0208724177118711e-07
1845,2.3269550109006332e-07
1846,1.8500223819550854e-07
1847,1.3698787881821772e-07
1848,1.2711450686486714e-07
1849,2.002680190571482e-07
1850,1.2152303430212896e-07
1851,1.1995956583632505e-07
1852,9.765818265172754e-08
1853,1.1824425172335395e-07
1854,1.2313724084833666e-07
1855,8.703376863650192e-08
1856,1.5583339391112006e-07
1857,9.811833234785183e-08
1858,7.58519789201273e-08
1859,1.1813842348828985e-07
1860,1.1946450229061156e-07
1861,9.620566032708666e-08
1862,1.1656404552695676e-07
1863,9.539725454033032e-08
1864,8.198984602358905e-08
1865,1.1061084403962695e-07
1866,9.244664522789492e-08
1867,9.754150909202508e-08
1868,7.953197078691687e-08
1869,8.888005187390746e-08
1870,9.862564098739313e-08
1871,1.8905696053117538e-07
1872,1.4271720327752035e-07
1873,1.460585159485106e-07
1874,1.3980584867567813e-07
1875,1.1900776319961892e-07
1876,9.129482192449245e-08
1877,1.212223916802202e-07
1878,8.213160707093436e-08
1879,9.836013958874901e-08
1880,7.187988160239911e-08
1881,8.506459181489845e-08
1882,6.988154566123228e-08
1883,5.245051237778853e-08
1884,1.2015088213246372e-07
1885,7.86367524430176e-08
1886,9.680196100259053e-08
1887,7.247106026397887e-08
1888,1.0525420179874345e-07
1889,1.0901337699209535e-07
1890,8.25852666253013e-08
1891,1.1346111372656509e-07
1892,1.0217674883961081e-07
1893,7.328515749804865e-08
1894,1.3863385905921177e-07
1895,9.449224958046898e-08
1896,8.137900170401835e-08
