year,quelques_DET yeux_NOUN,quelques_DET vieux_NOUN
1800,5.973912209356058e-08,0.0
1801,5.476719877606229e-08,2.3811825844433088e-09
1802,2.0140561218795483e-08,2.9091921760482364e-08
1803,5.655983770225248e-08,1.950339223455444e-09
1804,7.662737999680758e-08,0.0
1805,4.264316544322355e-08,5.685755422035754e-09
1806,2.0171683878800195e-08,0.0
1807,5.693910232196231e-09,5.693910232196231e-09
1808,4.305540457494317e-08,9.064295980465431e-09
1809,9.487928309681593e-08,1.3554183553310395e-08
1810,1.4040760554223652e-08,2.3401267590372754e-09
1811,1.0028307073639553e-08,4.512738049911036e-08
1812,6.13457871168066e-08,0.0
1813,8.052076339026826e-08,2.8757416448144113e-09
1814,6.922689976818219e-08,9.440030979135372e-09
1815,7.821948599939788e-08,5.3944472000466703e-08
1816,6.952811304472561e-08,1.622322720606917e-08
1817,4.0478710161551135e-08,1.5568733857662664e-08
1818,4.887682791832049e-08,1.4305412410209328e-08
1819,3.105314938522952e-08,2.0702100145264524e-08
1820,1.6613073583471305e-08,2.4919609487028538e-08
1821,3.944595405869222e-08,1.7750679148775816e-08
1822,1.604098542884458e-08,1.4035862250239006e-08
1823,1.9765373338032077e-08,1.3835761869529506e-08
1824,2.6947560627377243e-08,1.6842225392110777e-09
1825,8.189061873054015e-08,3.522177216552791e-09
1826,1.6735169694470642e-08,6.1655889282974385e-09
1827,5.2538454919925925e-08,2.21214555007343e-08
1828,1.3758452155343548e-08,1.74273722675089e-08
1829,3.600733933240008e-08,1.3717081526198882e-08
1830,3.1310506187764986e-08,1.7742620261884667e-08
1831,4.989185953263586e-08,1.870944643656003e-08
1832,7.441483085290912e-08,2.1647950210201827e-08
1833,3.8225973497674204e-08,1.6217079235048004e-08
1834,1.866906162995008e-08,1.6802156110884425e-08
1835,5.596685070941021e-08,1.663879345414898e-08
1836,3.427582484505365e-08,1.008112526790228e-08
1837,4.035576894878545e-08,1.0436836284100082e-08
1838,1.8936486156917454e-08,1.2624323808552163e-08
1839,2.9364195075487487e-08,1.3982950020086093e-08
1840,2.8026629905752998e-08,3.821813088222825e-09
1841,2.5040138851295524e-08,2.1829864582656455e-08
1842,7.647422251011449e-08,9.391571076378114e-09
1843,3.1306629344474146e-08,9.4510577697271e-09
1844,3.9517641825526084e-08,1.0428266250528395e-08
1845,5.1896119845906696e-08,1.2834524554250493e-08
1846,2.6930706553685013e-08,1.1123552301484096e-08
1847,1.4561703842730367e-08,1.4022381478184798e-08
1848,3.459445352405055e-08,7.240699539945439e-09
1849,6.535943475327599e-08,1.6758829879393033e-09
1850,1.4935791270431764e-08,2.987158342904195e-08
1851,1.676854055610022e-08,1.612359690206233e-08
1852,3.255272873481374e-08,1.1067927019325907e-08
1853,2.20961471342207e-08,7.763511611358354e-09
1854,2.1821791262865986e-08,6.754364012540037e-09
1855,3.3964397516683675e-08,1.5920811335945473e-08
1856,3.4169448159815374e-08,8.801221973442352e-09
1857,3.7099468830348314e-08,6.345961978126979e-09
1858,2.9851424443450014e-08,8.80861666940902e-09
1859,1.476730293603623e-08,1.2221216039165483e-08
1860,2.4259074749011234e-08,1.3273833671112456e-08
1861,2.5937800796071997e-08,1.3204698334767784e-08
1862,5.82820236516568e-08,1.626475132354699e-08
1863,4.345320192555846e-08,1.048870412745373e-08
1864,2.685047595374357e-08,7.671564494771133e-09
1865,2.3063536858103362e-08,8.943004670136645e-09
1866,1.6056522000873485e-08,1.216403244796993e-08
1867,2.91168689159349e-08,2.038180824115443e-08
1868,2.1241458370013788e-08,5.9278488784286765e-09
1869,3.857980201971145e-08,1.4162205408396744e-08
1870,4.587239077480376e-08,1.0321287824410774e-08
1871,3.080141297573391e-08,4.354682658913589e-08
1872,3.205089882385437e-08,1.3304146118109372e-08
1873,2.0352414864532875e-08,1.9753814750611554e-08
1874,2.0911131493051016e-08,2.031367180022059e-08
1875,6.75140180983469e-08,1.8308887461682133e-08
1876,4.897272098958183e-08,1.632424040387548e-08
1877,2.1646855308254942e-08,1.1132669008873108e-08
1878,1.8117265909722846e-08,2.8383716710322915e-08
1879,1.7717042943843353e-08,1.4051448227192509e-08
1880,2.759673911612026e-08,1.4119261981804243e-08
1881,2.719278008322945e-08,2.161477319351235e-08
1882,5.2577541653775484e-08,1.7304001120876933e-08
1883,3.349249588779912e-08,1.1374809816278031e-08
1884,3.630933420595284e-08,2.3766109080725073e-08
1885,1.9336907408629145e-08,1.546952571596094e-08
1886,2.7749894160322697e-08,3.1621973428652694e-08
1887,3.3297514079322355e-08,1.8933882017790893e-08
1888,2.0924028287794272e-08,1.7119660133957382e-08
1889,2.0048437576747347e-08,2.3807519233809415e-08
1890,3.277193122430688e-08,1.7041404731799048e-08
1891,1.9122660788184476e-08,1.593554999068658e-08
1892,1.3163875989263829e-08,2.3820346806147086e-08
1893,1.7243566574620672e-08,3.8798024848407664e-08
1894,1.9534772022211655e-08,1.3233232287745977e-08
1895,1.4444675011660024e-08,8.426060293942328e-09
1896,1.4152869876049579e-08,7.666137780137916e-09
1897,2.2724182091593548e-08,1.1070755423503442e-08
1898,4.0174319315688933e-08,1.6975064798252504e-08
1899,3.8693050541382945e-08,2.3768587098516036e-08
1900,1.557315876254961e-08,1.6092265187062083e-08
1901,1.7883964531506535e-08,1.7325090917452712e-08
1902,2.356936334990678e-08,1.3257766440233354e-08
1903,1.9980814780495848e-08,1.4580594509538969e-08
1904,1.5048950530172078e-08,1.3974025492302644e-08
1905,3.4577086083231734e-08,1.651442849137652e-08
1906,2.2119994169678137e-08,1.1317205617089598e-08
1907,2.9314207949937554e-08,1.9028519815389444e-08
1908,1.8172138682714944e-08,2.5048085161571976e-08
1909,3.3005902677629706e-08,2.4204327431220918e-08
1910,2.7255168788542505e-08,2.8323998479962142e-08
1911,1.9685383989553884e-08,2.5005759018981166e-08
1912,4.48010239462171e-08,1.1460726589973547e-08
1913,4.2954218182345016e-08,2.4924052377528483e-08
1914,2.3438603280467873e-08,1.674185973188358e-08
1915,4.005458986711119e-08,4.358881877664089e-08
1916,1.3184954017475548e-08,5.0542325880087446e-08
1917,3.070598708632133e-08,1.535299465338369e-08
1918,2.2972752589112133e-08,2.756730399511298e-08
1919,2.2098835428252528e-08,3.867296172188617e-08
1920,1.514446346106979e-08,1.665891025126598e-08
1921,2.2718242898012164e-08,1.1359120977161297e-08
1922,2.4347187377316004e-08,1.9182632704506375e-08
1923,2.5478274601198336e-08,2.3355085865262026e-08
1924,3.222906019839655e-08,2.191576098375947e-08
1925,2.5295809003011982e-08,3.079489818702541e-08
1926,2.452150527076924e-08,2.0063049221974438e-08
1927,1.6723837648058293e-08,3.121782887749447e-08
1928,3.085031030636287e-08,2.3994686237927e-08
1929,2.2280812084218837e-08,1.6710609784809094e-08
1930,1.995684684175103e-08,3.7812974085227324e-08
1931,1.4826963656844327e-08,1.3686427990933225e-08
1932,1.8631212572728373e-08,1.753525868952721e-08
