year,nos_DET ânes_NOUN,nos_DET anes_NOUN,nos_DET vannes_NOUN
1800,9.432493186523061e-08,0.0,0.0
1801,3.095537337571841e-08,2.3811825844433088e-09,0.0
1802,4.4756802708434407e-08,0.0,0.0
1803,3.705644502360883e-08,0.0,0.0
1804,1.730295728918918e-08,0.0,0.0
1805,2.842877755426798e-08,0.0,1.421438877713399e-08
1806,4.3225035994964855e-08,0.0,2.881669125542885e-09
1807,5.693910232196231e-09,2.8469551160981155e-09,0.0
1808,2.4926814390369145e-08,2.2660739951163578e-09,0.0
1809,4.292158095609011e-08,2.259030518203531e-09,0.0
1810,3.7442028144596406e-08,2.3401267590372754e-09,0.0
1811,0.0,0.0,0.0
1812,1.8670457180292033e-08,2.6672082320544632e-09,0.0
1813,1.1790540810352468e-07,2.8757416448144113e-09,0.0
1814,3.1466772298927026e-08,9.440030979135372e-09,0.0
1815,4.531335662250058e-07,0.0,0.0
1816,6.257530849040904e-08,2.3176038865813098e-09,0.0
1817,8.095742032310227e-08,1.556873407970727e-09,0.0
1818,5.6029534789558966e-08,2.384235475716423e-09,0.0
1819,1.1386155129855524e-08,1.035105001712111e-09,0.0
1820,1.1747816586193949e-07,2.3732962262101864e-09,0.0
1821,3.944595405869222e-08,0.0,0.0
1822,1.604098542884458e-08,0.0,0.0
1823,1.1859224713361982e-08,6.9178810457870554e-09,0.0
1824,3.536867332343263e-08,8.421112696055388e-10,0.0
1825,4.754939264550728e-08,1.7610886082763955e-09,0.0
1826,9.424542923852641e-08,0.0,0.0
1827,1.8434546333878643e-08,0.0,0.0
1828,2.6599672964255916e-08,0.0,0.0
1829,4.972441980388709e-08,0.0,0.0
1830,5.114049561605327e-08,0.0,0.0
1831,4.2096256258616904e-08,0.0,0.0
1832,3.5177921020590475e-08,2.705993873419743e-09,0.0
1833,1.135195623058749e-07,2.3167257001688313e-09,0.0
1834,5.600718466780563e-08,1.8669061851994684e-09,0.0
1835,1.0815215745196838e-07,1.5126175867408165e-09,7.563087933704082e-10
1836,2.2850549896702432e-08,6.720750067579218e-10,0.0
1837,3.1310509740478665e-08,5.566312522020667e-09,0.0
1838,9.341999418488456e-08,6.312161904276081e-10,0.0
1839,3.216078447998427e-08,6.9914751765765e-10,0.0
1840,2.165694112932215e-08,0.0,0.0
1841,6.805781538332667e-08,6.420548537278137e-10,0.0
1842,3.018719141323345e-08,6.708265054555795e-10,0.0
1843,1.063243981747064e-08,5.906911071384968e-10,0.0
1844,4.775048290106554e-08,5.488561272137815e-10,3.2931368743049916e-09
1845,2.9575208060350633e-08,0.0,0.0
1846,8.371936921491852e-08,5.854501328173001e-10,1.7563503984519002e-09
1847,2.7505440591824026e-08,5.393223645455691e-10,0.0
1848,9.976074810680302e-08,0.0,0.0
1849,2.513824526317876e-08,0.0,0.0
1850,6.177986655586665e-08,1.3577992064028876e-09,0.0
