year,ces_DET yeux_NOUN,ces_DET vieux_ADJ
1800,1.4651806452548044e-06,1.0847367235555794e-06
1801,1.500145003774378e-06,1.0643886128036684e-06
1802,8.459035711894103e-07,6.333087583243469e-07
1803,1.273571541560159e-06,7.9183774737146e-07
1804,1.399067642182672e-06,7.71217486317255e-07
1805,1.3247809675931421e-06,9.239352749546015e-07
1806,1.1324959672265322e-06,8.875541173125612e-07
1807,8.76862159771008e-07,7.031979087912532e-07
1808,1.264469290163106e-06,8.815027641162487e-07
1809,9.917144296878178e-07,9.262025102430016e-07
1810,1.095179300136806e-06,9.99234103460367e-07
1811,1.318722354426427e-06,1.0529722302976552e-06
1812,8.935147590705128e-07,7.414839018338171e-07
1813,1.0611486942480042e-06,9.40367513635465e-07
1814,7.457624917606154e-07,9.282697490675673e-07
1815,6.527281044554911e-07,1.1732922970963955e-06
1816,9.061831178769353e-07,8.15796546760339e-07
1817,1.033763922464459e-06,1.4759160364974377e-06
1818,1.0884035077651788e-06,1.1122458936085877e-06
1819,1.0237188661221808e-06,1.1655281966227449e-06
1820,1.4346575767376635e-06,1.170035005770842e-06
1821,1.1892954745462703e-06,1.2326859888389663e-06
1822,1.2732531757819743e-06,1.232148207463979e-06
1823,1.164180517321256e-06,1.2392889345846925e-06
1824,1.013901965052355e-06,1.3802204250623618e-06
1825,1.0575336801821322e-06,1.4185568986135877e-06
1826,8.085729845674905e-07,1.196124230773421e-06
1827,7.751726940341541e-07,1.170593684207688e-06
1828,8.667824431540794e-07,1.0713247782234703e-06
1829,9.421920736940592e-07,1.3082666470154436e-06
1830,1.1772751236094336e-06,1.5196033018582966e-06
1831,1.3174569488683119e-06,1.8163755299838158e-06
1832,1.6046543152015147e-06,1.6235962689847838e-06
1833,1.2510318470049242e-06,1.7387025934567646e-06
1834,1.05573546704818e-06,1.6419439461401453e-06
1835,1.3152210271982767e-06,1.6842996970467539e-06
1836,1.182851960379594e-06,1.5323310336157192e-06
1837,1.0993468038122955e-06,1.6037938266322271e-06
1838,9.335687209954813e-07,1.4751522954270513e-06
1839,8.263923803042417e-07,1.3927018756021425e-06
1840,8.236007644768506e-07,1.5287252566054121e-06
1841,9.104337692633635e-07,1.57945492418321e-06
1842,1.0719807477244103e-06,1.8709350797507796e-06
1843,9.533754479207346e-07,1.6970555094530937e-06
1844,9.654379482526565e-07,1.6893791752181642e-06
1845,1.0853542917743653e-06,1.5535354194184947e-06
1846,8.875424271082011e-07,1.5520283014325287e-06
1847,6.347824026420312e-07,1.4901476532713787e-06
1848,7.996950159849803e-07,1.328266051814353e-06
1849,8.58052082719496e-07,1.5820334979821382e-06
1850,7.637620598188732e-07,1.5112305646880486e-06
1851,7.977955576166096e-07,1.5072338044319622e-06
1852,9.511906924331015e-07,1.7278987769486776e-06
1853,8.599581917678734e-07,1.5371752510873193e-06
1854,1.2973573859653698e-06,1.4797252489984203e-06
1855,1.3309798134741868e-06,1.5756296818381088e-06
1856,1.0292252170529537e-06,1.4056068380341458e-06
1857,9.977804324989847e-07,1.565988128504614e-06
1858,1.1049920445316275e-06,1.6330197070146824e-06
1859,1.32192815271992e-06,1.8937792845008516e-06
1860,1.2692531328184486e-06,1.8034104272146578e-06
1861,1.2784977911906026e-06,1.61238799023522e-06
1862,1.2212116757837066e-06,1.8085499391418125e-06
1863,1.2961041448988908e-06,1.7146533366485528e-06
1864,1.121007358051429e-06,1.821996633566414e-06
1865,1.3292128926423175e-06,1.693522641232903e-06
1866,1.157042760269178e-06,1.6484696772067764e-06
1867,1.3447140645439504e-06,1.7751584948655363e-06
1868,1.0852903713498563e-06,1.5313609367240133e-06
1869,1.41426717448212e-06,1.8982238998432877e-06
1870,1.1445161760548217e-06,1.9633383345762923e-06
1871,1.1407144455688467e-06,1.4561633605580937e-06
