year,mes_DET vivres_NOUN
1800,9.432493897065797e-09
1801,4.7623651688866175e-09
1802,1.7902721083373763e-08
1803,0.0
1804,4.943701892301533e-09
1805,2.842877711017877e-09
1806,1.9595350408962986e-07
1807,1.1387820464392462e-08
1808,0.0
1809,6.7770915546105925e-09
1810,0.0
1811,7.521229861140455e-09
1812,0.0
1813,0.0
1814,3.4613449884091096e-08
1815,0.0
1816,6.952811659743929e-09
1817,1.556873407970727e-09
1818,4.768470951432846e-09
1819,1.5526575580793178e-08
1820,2.1359666035891678e-08
1821,3.94459531705138e-09
1822,4.010246357211145e-09
1823,3.4589405117912975e-08
1824,4.378978601948802e-08
1825,3.522177394188475e-08
1826,6.077509340229881e-08
1827,1.566936402852548e-08
1828,4.494427585655103e-08
1829,1.3288422451296356e-07
1830,2.1917355041978226e-08
1831,1.2472964883158966e-08
1832,4.19429042608499e-08
1833,2.20088942626262e-08
1834,8.401078055442213e-09
1835,2.117664621437143e-08
1836,3.1587525484155776e-08
1837,3.8964189874590716e-08
1838,1.5149188570262595e-08
1839,6.082583325905944e-08
1840,1.5287252519424754e-08
1841,7.833069304297169e-08
1842,9.391571076378114e-09
1843,1.7130041385371442e-08
1844,1.701453911095996e-08
1845,1.1718478631905782e-08
1846,1.6392604607062822e-08
1847,7.550513103637968e-09
1848,2.574470947536156e-08
1849,1.508294644736452e-08
1850,2.647708541303473e-08
1851,2.1283147688677673e-08
1852,1.1067927019325907e-08
1853,1.4332636411040767e-08
1854,3.013485283531736e-08
1855,2.175844215912548e-08
1856,3.7793480345271746e-08
1857,2.5383847912507917e-08
1858,1.8106601495926355e-08
1859,2.0877910955618972e-08
1860,1.1442959468865865e-08
1861,7.0739455404478235e-09
1862,7.22877824266277e-09
1863,3.096664996649068e-08
1864,1.342523781033833e-08
1865,1.0825742080555756e-08
1866,3.065336118268647e-08
1867,9.220341823379385e-09
1868,2.1241458370013788e-08
1869,5.860222973552709e-09
1870,2.121598008386627e-08
1871,2.0180236148803488e-08
1872,1.1489944995446422e-08
1873,2.0352414864532875e-08
1874,9.559374625212058e-09
1875,2.4602565928955045e-08
1876,7.255217759905008e-09
1877,1.3606595072879202e-08
1878,3.6234530931267273e-09
1879,2.6881031511827302e-08
1880,1.2835692508872398e-08
1881,2.3009274985330563e-08
1882,2.0631693686823382e-08
1883,1.8958017378167824e-08
1884,2.1125430293977843e-08
1885,1.4824961702686323e-08
1886,4.323820945728585e-08
1887,1.3710741875172516e-08
1888,1.5851536971922542e-08
1889,2.1301465202849812e-08
1890,1.5075089621063853e-08
1891,7.0116419337296065e-09
1892,2.0686091062316336e-08
1893,1.97069330298838e-08
1894,2.457600389860204e-08
1895,2.6481902892783182e-08
1896,1.5921978790967017e-08
1897,8.740070334134487e-09
1898,1.3014216482254426e-08
1899,2.8743407654019393e-08
1900,1.4534948911126833e-08
1901,2.4031576784100395e-08
1902,2.1114219705964388e-08
1903,1.9440793863623185e-08
1904,2.3110887426014415e-08
1905,1.4450125540577119e-08
1906,1.697580892523476e-08
1907,1.0285686691258178e-08
1908,8.840499887696751e-09
1909,6.0510818578052294e-09
1910,8.01622590529405e-09
1911,4.788336838146279e-09
1912,5.730363294986773e-09
1913,7.954484182448596e-09
1914,6.027069510139427e-09
1915,9.424609537234119e-09
1916,1.3184954461564757e-08
1917,2.631941953268324e-08
1918,4.594550517822427e-09
1919,6.4454939163738345e-09
1920,1.1358347151713133e-08
1921,1.438822039290244e-08
1922,1.1804696775641332e-08
1923,1.1677542932631013e-08
1924,2.0626599095407983e-08
1925,8.798542117105512e-09
1926,1.2260752413340015e-08
1927,1.4493992672726108e-08
1928,1.2568645679778001e-08
1929,1.2254447234738564e-08
1930,1.4705044737439721e-08
1931,9.124285327288817e-09
1932,4.383814644626227e-09
1933,1.3764794637438627e-08
1934,1.1981580172459871e-09
1935,9.574627313213568e-09
1936,3.6374143697059935e-09
1937,7.554670999887492e-09
1938,1.1668693344901726e-08
1939,1.2235240376412548e-08
1940,5.0715658339584024e-09
1941,5.9030051957620344e-09
1942,9.102635090130207e-09
1943,1.4516175816936538e-08
1944,3.2131861615880553e-09
1945,1.742803235060819e-08
1946,2.0881656404014848e-08
1947,1.4305045148432782e-08
1948,8.697510267552389e-09
1949,3.926803215925645e-09
1950,9.571825110299415e-09
1951,2.1322803522849654e-09
1952,4.2179215675730575e-09
1953,1.0773827163745864e-08
1954,9.772536113672459e-10
1955,6.569925492527773e-09
1956,8.72114114258693e-09
1957,6.184526224473075e-09
1958,8.272243334772611e-09
1959,1.1626121398933265e-08
1960,1.2457499920515147e-08
1961,1.04222386276831e-08
1962,9.512934440181198e-09
1963,5.819448034571906e-09
1964,4.867174663303331e-09
1965,3.2832261354087677e-09
1966,8.308612131635584e-09
1967,6.902469706915326e-09
1968,5.389698881641536e-09
1969,9.537691525451919e-09
1970,2.759235007143701e-09
1971,4.1107179882260425e-09
1972,6.156176013405457e-09
1973,4.961883404153156e-09
1974,1.012602890426706e-08
1975,1.7134440533084216e-09
1976,3.9994687561772935e-09
1977,4.7014254711541525e-09
1978,2.3762365408686037e-09
1979,7.607565244427406e-09
1980,5.6851505725319385e-09
1981,1.0120879245789638e-08
1982,7.449002747961231e-09
1983,5.68378455412244e-09
1984,6.958810416790584e-09
1985,5.414002135495366e-09
1986,5.3950369172106605e-09
1987,4.277571630240118e-09
1988,6.596209356501959e-09
1989,5.488121956886971e-09
1990,3.814055737905164e-09
1991,8.20605094986604e-09
1992,3.30596661157756e-09
1993,4.985286850001103e-09
1994,1.0549853324270941e-08
1995,1.1929391419140956e-08
1996,1.1209993822092201e-08
1997,1.3905193774199631e-08
1998,1.382757464085671e-08
1999,8.683382013430219e-09
2000,1.3695897749244068e-08
2001,9.638665643407762e-09
2002,1.0076809608960957e-08
2003,1.2917460878725251e-08
2004,4.8452703238499595e-09
2005,6.7556245042510454e-09
2006,7.000412693969338e-09
2007,7.988958827809256e-09
2008,5.960415716543821e-09
2009,1.0490023072406984e-08
2010,7.558068837454357e-09
2011,8.030340836739924e-09
2012,1.736168966925966e-08
2013,1.729257603777512e-08
2014,1.6457382845391777e-08
2015,1.7289288778421508e-08
2016,2.1127669058707e-08
2017,1.2074934219175049e-08
2018,1.548880040891376e-08
2019,1.326513626720427e-08
