year,ces_DET airs_NOUN,ces_DET verts_ADJ
1800,4.181738866293472e-07,6.917161821107243e-08
1801,4.238504889286787e-07,3.095537337571841e-08
1802,3.6700578220916213e-07,8.951360541686881e-09
1803,4.0567054426787763e-07,9.751696339321825e-09
1804,7.786330371573058e-07,4.943701981119375e-08
1805,6.02690079176682e-07,3.1271653710973624e-08
1806,7.405889590472725e-07,0.0
1807,3.3024679169102455e-07,2.8469551160981155e-09
1808,3.3991110370834576e-07,2.7192887941396293e-08
1809,3.998484032763372e-07,4.518061036407062e-09
1810,4.5632472378542843e-07,0.0
1811,4.061464267124393e-07,5.0141535368197765e-09
1812,6.027890364634914e-07,0.0
1813,6.039057396378666e-07,3.163315831500313e-08
1814,7.457624633389059e-07,5.66401889834367e-08
1815,2.643279088943018e-07,2.6972236000233352e-08
1816,3.036061109185084e-07,2.3176038865813098e-09
1817,4.110145797042719e-07,7.784366928831332e-09
1818,3.9339886015454795e-07,4.768470951432846e-09
1819,4.5958660876976865e-07,6.210630232317271e-09
1820,5.541646501683317e-07,1.6613073583471305e-08
1821,5.216727174683911e-07,1.97229765852569e-09
1822,4.4513735986129177e-07,3.0076847679083585e-09
1823,3.014219576158439e-07,4.941343334508019e-09
1824,3.7558162802042716e-07,2.863178405476674e-08
1825,5.151184421237076e-07,1.4969252504215547e-08
1826,3.8138572833190665e-07,5.284790383086602e-09
1827,2.7283126868837826e-07,7.373818444733615e-09
1828,3.6689204740980585e-07,5.503380862137419e-09
1829,3.7379047057584103e-07,8.57317605795771e-10
1830,5.89681221185856e-07,3.1310507520032616e-09
1831,2.806417143119688e-07,3.1182412207897414e-09
1832,4.4784197683611637e-07,6.764984572527055e-09
1833,5.965568661281395e-07,1.7375443306377747e-08
1834,3.2857548859510644e-07,1.3068343296396279e-08
1835,4.363901808801529e-07,6.806779140333674e-09
1836,3.790502951517283e-07,6.72075017860152e-09
1837,2.845777480331435e-07,8.349468672008697e-09
1838,3.1118958787601514e-07,8.837026888031119e-09
1839,4.1809022022221143e-07,6.292327769941153e-09
1840,3.40141363963653e-07,1.0191501864653674e-08
1841,3.6918153512033314e-07,1.0272877659645019e-08
1842,3.481589700982113e-07,4.695785538189057e-09
1843,3.691819294715515e-07,2.008349753168659e-08
1844,3.9956725217393796e-07,1.3721403568922597e-08
1845,3.7499130378648715e-07,3.3481367123222583e-09
1846,3.4424467898475086e-07,5.269051195355701e-09
1847,2.998632275819091e-07,9.168480197274675e-09
1848,3.041093847855336e-07,1.6090443422100975e-09
1849,3.578010066007664e-07,1.4245005175439474e-08
1850,2.966791328162799e-07,4.752297222410107e-09
1851,2.7281125092315506e-07,2.579775504329973e-09
1852,5.546984809257083e-07,1.7578472899515418e-08
1853,3.702597801691354e-07,7.166318205520383e-09
1854,5.268403597824545e-07,1.1430461910322265e-08
1855,3.5184992697168127e-07,1.1675261646360013e-08
1856,4.498977546063543e-07,1.3978411095294518e-08
1857,4.266438917710502e-07,1.0251168802710708e-08
1858,3.4402541970735e-07,1.468102794888182e-08
1859,5.356966497060967e-07,1.1202781369235026e-08
1860,3.712096017238764e-07,2.2428201851276697e-08
1861,4.456585642742539e-07,4.7159637306393165e-09
1862,3.194216411372963e-07,2.0782737308877586e-08
1863,3.041724134789092e-07,1.5982786649715308e-08
1864,3.490561972796513e-07,1.0068928357753748e-08
1865,4.2079188133925527e-07,8.472319845687082e-09
1866,3.649209681100274e-07,2.092213513549268e-08
1867,3.3532926302370925e-07,1.1161466417775046e-08
1868,3.665386465456777e-07,1.5807597009143137e-08
1869,4.2193605054308136e-07,1.4162205630441349e-08
1870,2.712205091626174e-07,6.307453670473251e-09
1871,2.655294260023311e-07,6.37270636261178e-09
1872,3.319989190231354e-07,1.5723082169571967e-08
1873,3.3162464418978743e-07,4.788803575905831e-09
1874,3.0231522352153206e-07,7.169530746864439e-09
1875,2.4888642258247273e-07,1.6020275495076675e-08
1876,2.6844305978102057e-07,9.06902175579205e-09
1877,3.117147393538744e-07,9.895705588292003e-09
1878,3.907290277993525e-07,7.850815109122777e-09
1879,3.097427843101741e-07,5.498392852132383e-09
1880,2.5350492194320395e-07,1.7969969734465963e-08
1881,3.249188438303463e-07,1.673401861523871e-08
1882,2.622221639825284e-07,1.3310770263785798e-08
1883,2.4076681448548243e-07,1.516641390253426e-08
1884,3.129204415586173e-07,1.650424152899177e-08
1885,2.391330813367176e-07,1.2891271161663553e-08
1886,3.175104374975035e-07,5.808117542471791e-09
1887,2.872726856395502e-07,9.793386546164129e-09
1888,2.460158547989977e-07,6.974675947901687e-09
1889,3.0887123614320444e-07,1.0650732740202784e-08
1890,2.5758738786407775e-07,1.3108772956016423e-09
1891,2.2373512464923806e-07,1.2748440081367107e-09
1892,2.3506920854288182e-07,6.8953633913793055e-09
1893,1.9460596156761767e-07,1.046930814263547e-08
1894,2.350474090917487e-07,1.953477268834547e-08
1895,2.4194829784107696e-07,1.444467478961542e-08
1896,2.1642096648122333e-07,7.666137447071009e-09
1897,2.1966709518039806e-07,5.826713445067355e-09
1898,2.2633420115880654e-07,6.7900258748920805e-09
1899,2.5150482407809704e-07,1.1055156790007459e-08
1900,2.3515470104484848e-07,8.824790675987515e-09
1901,2.1851968501351848e-07,6.147612641171918e-09
1902,1.9935752160193942e-07,4.419255628107521e-09
1903,2.694710055095584e-07,1.1340462569009446e-08
1904,1.9348650681649815e-07,7.524475265086039e-09
1905,1.9610884827159225e-07,7.2250627702885595e-09
1906,1.8879157437368121e-07,1.2346042410626978e-08
1907,2.000566077242638e-07,9.257117739025489e-09
1908,2.681618447297751e-07,1.5716444368152338e-08
1909,2.2884090888908304e-07,1.265226234892225e-08
1910,2.933938674232195e-07,9.619471330601925e-09
1911,2.0270625533669318e-07,1.3300935464144459e-08
1912,2.9745795515623286e-07,1.7712032729377825e-08
1913,2.6196769375985696e-07,1.6439267724877027e-08
1914,2.270196119980028e-07,1.6741859454327823e-08
1915,1.684648918143239e-07,1.1780761921542648e-09
1916,1.4173825491070602e-07,4.394984820521586e-09
1917,2.5771097966753587e-07,1.6449636319748606e-08
1918,2.63038021586226e-07,1.1486376294556067e-09
1919,2.2282992784283806e-07,6.4454939163738345e-09
1920,2.559414298275442e-07,1.2872793941909322e-08
1921,3.612200565328294e-07,9.844571380313027e-09
1922,3.1430005975607855e-07,8.115729421831475e-09
