year,vous_PRON ayez_VERB,vous_PRON veillez_VERB
1800,3.3485350741102593e-06,1.509198952476254e-07
1801,4.409950179251609e-06,5.714838247072862e-08
1802,3.909506631316617e-06,1.544109693440987e-07
1803,3.471603804428014e-06,4.290746158375214e-08
1804,5.331782631401438e-06,1.1864884363887995e-07
1805,5.0262078730156645e-06,9.097208675257207e-08
1806,7.204173016361892e-06,5.187004425977193e-08
1807,3.23129415846779e-06,5.97860605466849e-08
1808,2.696628143894486e-06,3.172503593162901e-08
1809,3.045173116333899e-06,1.0843346842648316e-07
1810,5.819895250169793e-06,8.424456510169875e-08
1811,2.8229685540281935e-06,5.515568801683912e-08
1812,3.7954373510729056e-06,4.000812303672774e-08
1813,3.6349374568089843e-06,1.2365688917270745e-07
1814,3.294570888101589e-06,3.776012702516596e-08
1815,2.8779375043086475e-06,5.1247248222807684e-08
1816,3.926020781364059e-06,7.184571693130692e-08
1817,5.528457677428378e-06,8.40711615879286e-08
1818,4.588461251842091e-06,5.722165052901573e-08
1819,4.706622348749079e-06,9.10892365979521e-08
1820,6.37348693999229e-06,8.899861025923883e-08
1821,8.539062946510967e-06,1.7750679504047184e-07
1822,6.0675029089907184e-06,7.819980396561732e-08
1823,5.427571522886865e-06,6.324919610278812e-08
1824,5.653093012369936e-06,6.568467902923203e-08
1825,4.9011096052709036e-06,6.163809995740621e-08
1826,4.8664114729035646e-06,4.844391554570393e-08
1827,4.432586592884036e-06,4.7929818336456265e-08
1828,4.852147412748309e-06,6.420610976221042e-08
1829,4.134843038627878e-06,4.543783349575392e-08
1830,4.556722615234321e-06,8.349469027280065e-08
1831,4.381128746899776e-06,1.1225668394843069e-07
1832,5.371397946873913e-06,1.5288865640172844e-07
1833,4.130722118134145e-06,7.413522506993786e-08
1834,4.436702511156909e-06,1.0921401027985667e-07
1835,5.925679488427704e-06,5.974839467626225e-08
1836,5.400794634624617e-06,4.435695100113435e-08
1837,4.595686732500326e-06,5.0096815584765864e-08
1838,4.30741920354194e-06,2.9667160506008372e-08
1839,4.570327291730791e-06,6.432157206859301e-08
1840,4.256226020515896e-06,7.962110437631509e-08
1841,3.821510290435981e-06,8.47512406920714e-08
1842,4.524054020293988e-06,9.995315242150582e-08
1843,4.174414243607316e-06,7.44270796104729e-08
1844,4.254183750163065e-06,8.013299135356533e-08
1845,4.0545937736169435e-06,8.537748463766093e-08
1846,3.887974344252143e-06,8.254846761701629e-08
1847,3.25804649037309e-06,5.069630137910508e-08
1848,3.6034548429597635e-06,4.50532401385928e-08
1849,3.343386651977198e-06,8.044238430926498e-08
1850,3.989892775280168e-06,7.535785861989552e-08
1851,3.773566731979372e-06,6.707416622120377e-08
1852,4.515063210419612e-06,5.0131198747749295e-08
1853,4.111077942070551e-06,3.941475146262974e-08
1854,4.330586307332851e-06,6.806320484997741e-08
1855,4.579886535793776e-06,6.209116421018734e-08
1856,4.499495389609365e-06,6.4714865466442e-08
