year,mes_DET ânes_NOUN,mes_DET vannes_NOUN
1800,0.0,3.144164484325529e-09
1801,0.0,2.1430642593855964e-08
1802,1.3427040812530322e-08,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,9.360507036149102e-09,0.0
1811,1.0028307073639553e-08,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.4275012222574333e-08,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,3.1053151161586356e-09,0.0
1820,8.306536791735653e-09,0.0
1821,1.4792232327920374e-08,5.9168927535324656e-09
1822,2.0051231786055723e-09,0.0
1823,1.9765373782121287e-09,0.0
1824,0.0,0.0
1825,1.7610886082763955e-09,0.0
1826,4.403992170942672e-09,0.0
1827,2.7651818612639545e-09,0.0
1828,3.668920500743411e-09,0.0
1829,7.715858174606183e-09,0.0
1830,0.0,0.0
1831,3.1182412207897414e-09,0.0
1832,0.0,0.0
1833,1.7375443306377747e-08,0.0
1834,6.534171426153534e-09,0.0
1835,3.025235173481633e-09,0.0
1836,6.720750067579218e-10,0.0
1837,6.957891152126194e-09,0.0
1838,7.574594285131298e-09,0.0
1839,0.0,0.0
1840,1.7198159341091923e-08,0.0
1841,1.0914932957462042e-08,0.0
1842,1.341653010911159e-09,0.0
1843,1.1223130869097986e-08,0.0
1844,7.1351298203126134e-09,0.0
1845,1.1160455892778032e-09,0.0
1846,1.7563503984519002e-09,0.0
1847,1.6179670936367074e-09,0.0
1848,0.0,0.0
1849,4.1897072478036534e-09,0.0
1850,6.788996032014438e-10,0.0
1851,1.096404567135778e-08,0.0
1852,1.3021090872200602e-09,0.0
1853,1.1943863675867306e-09,0.0
1854,3.117398783558656e-09,1.0391328908454511e-09
1855,1.4328730202350926e-08,0.0
1856,4.141751341890654e-08,4.141751386299575e-09
1857,1.9526036343364694e-09,0.0
1858,8.31924928945682e-09,0.0
1859,5.601390462572908e-09,0.0
1860,3.661747127736703e-09,0.0
1861,1.2733101684148096e-08,0.0
1862,9.035972525772706e-10,0.0
1863,3.995696662428827e-09,0.0
1864,1.0548401263577034e-08,0.0
1865,7.0602665935837194e-09,0.0
1866,1.9462451650298362e-09,0.0
1867,6.308654931785895e-09,0.0
1868,4.841076739481309e-08,0.0
1869,6.8369265804335555e-09,9.767038289254515e-10
1870,6.880858549607183e-09,0.0
