year,aux_ADP ânes_NOUN,aux_ADP anes_NOUN,aux_ADP vannes_NOUN
1800,2.1065902444661333e-07,2.2009151834367913e-08,1.2576657937302116e-08
1801,2.0478169915350009e-07,6.191074786165984e-08,7.143547975374531e-09
1802,1.5217312920867698e-07,1.1189200677108602e-08,8.951360541686881e-09
1803,1.560271414291492e-07,2.1453731013920674e-08,5.655983770225248e-08
1804,1.9527622896475805e-07,4.943701892301533e-09,4.69651695311768e-08
1805,6.254330742194725e-08,5.685755422035754e-09,2.2743021688143017e-08
1806,7.492339904047185e-08,1.4408345627714425e-08,0.0
1807,2.44838133767189e-07,1.99286853685976e-08,1.7081731584767113e-08
1808,1.2236799307174806e-07,6.798221985349073e-09,1.5862518409903714e-08
1809,1.7620438086396462e-07,3.1626427920983247e-08,2.0331274885876383e-08
1810,7.488405628919281e-08,2.3401267590372754e-09,7.020380277111826e-09
1811,2.908209069119039e-07,2.0056614147279106e-08,5.0141535368197765e-09
1812,1.0135391192989118e-07,1.8670457180292033e-08,6.401299401659344e-08
1813,2.041776525629757e-07,1.4378708224072057e-08,0.0
1814,1.2901375612273114e-07,1.2586708120210233e-08,0.0
1815,6.203614333344376e-08,0.0,2.697223555614414e-09
1816,1.4832664874120383e-07,1.622322720606917e-08,3.7081662185300956e-08
1817,7.472992535895173e-08,8.562803732736768e-08,1.556873407970727e-09
1818,1.3113294983213564e-07,9.536942124910297e-09,1.668964877410417e-08
1819,6.417651121637391e-08,1.2421260131567635e-08,1.6561680027393777e-08
1820,1.4358441546846734e-07,1.1866481131050932e-09,8.306536791735653e-09
1821,1.2425475404143072e-07,2.366757179128598e-08,1.4792232327920374e-08
1822,6.616906489398389e-08,8.02049271442229e-09,1.303330066093622e-08
1823,8.894418357385803e-08,1.1859224380295075e-08,2.174191138237802e-08
1824,9.263224143296611e-08,8.421112696055388e-10,6.736890156844311e-09
1825,1.4440927031955653e-07,9.68598712347557e-09,3.258013947515792e-08
1826,1.4621254251778737e-07,1.2331177856594877e-08,2.6423952581566823e-08
1827,7.18947319455765e-08,5.530363889061363e-09,2.3964910056406552e-08
1828,1.0456423638061096e-07,1.0089531543577834e-08,1.8344602503717056e-09
1829,1.0459275046059702e-07,9.430493719264632e-09,1.7146351893870815e-08
1830,9.810625556383457e-08,1.3567886592014133e-08,3.1310507520032616e-09
1831,9.822459645647541e-08,9.35472388441383e-09,2.494592887813951e-08
1832,1.1094574858816486e-07,2.705993962237585e-08,3.5177919244233635e-08
1833,1.1931138033105526e-07,1.2741991017861665e-08,6.950177322551099e-09
1834,8.961149688957448e-08,1.3068343074351674e-08,1.4935249481595747e-08
1835,1.4369867074037757e-07,1.2100940693926532e-08,1.5882484660778573e-08
1836,6.51912728244497e-08,1.8146024682863526e-08,1.68018754465038e-08
1837,8.001574514082677e-08,7.653680356156656e-09,1.3915782304252389e-08
1838,1.0983161757849302e-07,1.2624323808552163e-08,2.6511079775914936e-08
1839,7.2012191765225e-08,2.377101604444931e-08,9.788065469251706e-09
1840,6.17859825524647e-08,3.821813254756279e-09,2.3567847395877806e-08
1841,8.731946365969634e-08,1.733548105065097e-08,2.8250413564023802e-08
1842,1.1269885646925104e-07,3.354132482868977e-08,7.379091560011375e-09
1843,7.560846171372759e-08,1.6539350722322155e-08,2.067418880535854e-08
1844,7.299786375369877e-08,1.427025975164753e-08,9.879410178825765e-09
1845,5.970844085823046e-08,9.486387508861327e-09,1.7298706467272496e-08
1846,6.791221807134207e-08,8.196301859442201e-09,2.1661654026061683e-08
1847,9.707802917091612e-08,3.020205241455187e-08,2.3730183151826623e-08
1848,1.0458788324285706e-07,1.3676876631230073e-08,1.126331028444838e-08
1849,5.781796375003978e-08,1.0055298149680425e-08,1.1731181359664333e-08
1850,8.757805147752151e-08,1.2899092460827433e-08,1.4935791270431764e-08
1851,8.126292527776968e-08,3.8696632564949596e-09,1.5478653025979838e-08
1852,6.575650957074686e-08,2.9948509450150596e-08,2.8646400807019745e-08
1853,1.2063301824127848e-07,2.329053350180743e-08,3.762317213329425e-08
1854,6.33871053423718e-08,9.87176262956524e-09,3.688921701439085e-08
1855,1.1728330662208464e-07,1.8043586180738203e-08,2.7596072982305486e-08
1856,1.439258596747095e-07,1.0872097333525232e-08,1.8637882071015355e-08
1857,1.147154620184665e-07,6.834112553644189e-09,9.763017949637742e-09
1858,1.1549075651373641e-07,1.3212924920846802e-08,2.8383320471725426e-08
1859,1.4665459957541316e-07,1.476730249194702e-08,2.0368693176564534e-08
1860,6.636916793922865e-08,4.11946546319264e-09,1.1900678525966768e-08
1861,8.488734692946309e-08,1.2733101961703852e-08,1.7449066469499286e-08
1862,9.216692120617154e-08,4.5179863183975044e-09,1.581295272501393e-08
