year,aux_ADP airs_NOUN,aux_ADP verres_NOUN
1800,1.5720823043352539e-07,3.804439074883703e-07
1801,1.7620750725200196e-07,2.7859834972332465e-07
1802,2.0364345232337655e-07,1.3427040812530322e-07
1803,2.262393496987869e-07,1.1897068930011301e-07
1804,1.6808586700278738e-07,9.39303390623536e-08
1805,1.478296409729296e-07,5.685755510853596e-08
1806,2.4494187300660997e-07,2.2188852710769424e-07
1807,8.54086508184082e-08,1.7935816742919997e-07
1808,7.931259204951857e-08,6.571614363792833e-08
1809,1.3102376783535874e-07,7.680704072754452e-08
1810,1.8721014161116045e-07,1.778496283577624e-07
1811,1.1783261077980001e-07,7.270522672797597e-08
1812,9.601949813031752e-08,3.3073382610382396e-07
1813,1.35159851311073e-07,7.764502640839055e-08
1814,1.384537871018665e-07,4.4368147200657404e-07
1815,4.855002422310406e-08,1.8610842289490392e-07
1816,9.270415368689555e-08,1.0660977523002657e-07
1817,1.4945985393755024e-07,6.694555310104988e-08
1818,1.1563542035020191e-07,5.722165141719415e-08
1819,1.8528379808202544e-07,2.070209959015301e-08
1820,1.6257079860082513e-07,3.441279616822612e-08
1821,1.3608853222102368e-07,7.297501269931672e-08
1822,1.5639960793123464e-07,3.0076847679083585e-08
1823,9.388552868472289e-08,9.289725966254991e-08
1824,1.2800091475639874e-07,8.336901657912676e-08
1825,1.1799293964109836e-07,9.245714949202011e-08
1826,1.2595417842042878e-07,4.051672775062798e-08
1827,6.267745611410191e-08,6.91295483079557e-08
1828,1.0823315454988602e-07,8.6219628769868e-08
1829,9.51622528555518e-08,8.830371456269859e-08
1830,1.7533884189013804e-07,1.2211097555336892e-07
1831,1.309661297188569e-07,7.951515357262906e-08
1832,3.125422969318947e-07,7.441482807735156e-08
1833,1.3089500561225265e-07,1.18153010930655e-07
1834,1.1388127951761362e-07,4.387229424196448e-08
1835,1.459675971204888e-07,6.504255622985511e-08
1836,1.196293524241554e-07,7.392824841190304e-08
1837,1.0715152298779174e-07,3.826840000442644e-08
1838,1.205622943700746e-07,4.670999942391063e-08
1839,1.3703291867894762e-07,8.809258389419483e-08
1840,1.2038711361128662e-07,5.159447979963261e-08
1841,8.154096420298629e-08,6.998397594770722e-08
1842,1.3483613425790963e-07,1.0464893307471357e-07
1843,1.3290549683020458e-07,1.1459407289748924e-07
1844,1.3007890231619967e-07,4.8848196598783034e-08
1845,8.816759988761191e-08,8.760957825870719e-08
1846,9.777017462297977e-08,6.14722637237719e-08
1847,8.46736130100112e-08,6.68759696509369e-08
1848,1.3757328987118456e-07,7.964769821455775e-08
1849,9.133561951202296e-08,4.9438547478075634e-08
1850,1.1948632749891885e-07,1.2016522532576346e-07
1851,8.513259319720134e-08,9.674158008010636e-08
1852,1.367214490510804e-07,5.5339636872986375e-08
