year,soixante - dix villes
1800,0.0
1801,2.8764812753934166e-08
1802,4.927008578903269e-09
1803,2.5714268936383178e-08
1804,3.533927284138372e-08
1805,2.4977881096788224e-08
1806,2.5279453197413204e-08
1807,3.4264434844999414e-08
1808,2.7391628520945233e-08
1809,2.2238632269022673e-08
1810,0.0
1811,7.174188709768714e-08
1812,1.0223208946058548e-07
1813,2.8323588807666056e-08
1814,1.719689457502227e-08
1815,2.9564175552110328e-09
1816,2.5331408082251983e-09
1817,8.530617989777056e-09
1818,5.734620600605922e-08
1819,2.2612180572423313e-08
1820,4.920516261108787e-08
1821,2.8080835878796506e-08
1822,3.728019137838601e-08
1823,1.619380718409502e-08
1824,9.187538285715391e-09
1825,3.267639447912529e-08
1826,4.901401595702737e-08
1827,3.6218355425887694e-08
1828,4.410167520063624e-08
1829,3.652542801546588e-08
1830,1.0272528827570682e-08
1831,4.278620480135942e-08
1832,2.372203578016041e-08
1833,2.4080181404428913e-08
1834,3.170910489735945e-08
1835,3.319842178939325e-08
1836,2.9373958265743738e-08
1837,2.505025986643261e-08
1838,5.0240373639098834e-08
1839,3.133457227022518e-08
1840,4.105538309318035e-08
1841,9.827706648479761e-09
1842,6.308278965860836e-08
1843,6.066927560333113e-08
1844,4.5478201760040804e-08
1845,4.4532953324960545e-08
1846,2.3063776277698622e-08
1847,2.6507699368849558e-08
1848,7.575754068511742e-08
1849,2.7522634837851e-08
1850,3.3435298973927274e-08
1851,6.352711812152023e-08
1852,2.2827302992300957e-08
1853,2.5494462985165e-08
1854,2.1027780405802332e-08
1855,1.9198699519051843e-08
1856,2.5520130009226705e-08
1857,8.024545805618288e-09
1858,2.8949333596983706e-08
1859,2.7313875605727844e-08
1860,3.412228011256957e-08
1861,1.8073453844635878e-08
1862,5.2481501811030284e-08
1863,1.2610010369229485e-08
1864,1.522366499528971e-08
1865,3.198955367267331e-08
1866,1.9755433233736852e-08
1867,9.049664129179291e-09
1868,1.136081406727385e-08
1869,2.4643636464816154e-08
1870,2.9531455836284692e-08
1871,3.382828406284233e-08
1872,2.6534046071446937e-08
1873,2.0337316719576393e-08
1874,1.3110328600518528e-08
1875,1.5088728488876768e-08
1876,2.4571075396551123e-08
1877,2.7230239396658362e-08
1878,1.7946462094187154e-08
1879,1.1424899248879683e-08
1880,4.169520195773657e-08
1881,1.0758149926459737e-08
1882,1.6120793588925153e-08
1883,2.0899828090392703e-08
1884,2.2552012035603752e-08
1885,1.7045001854398834e-08
1886,8.533754591866227e-09
1887,1.1524198262335972e-08
1888,1.5375842488118963e-08
1889,2.6273436759538527e-08
1890,1.8072435992166902e-08
1891,1.7568017429692162e-08
1892,5.533750790931435e-09
1893,1.3585883529287912e-09
1894,3.479404764306082e-09
1895,9.962936253771204e-09
1896,1.7561756493478242e-08
1897,7.730209361511697e-09
1898,6.866851975928512e-09
1899,6.710451305735887e-09
1900,5.162404004277477e-09
1901,1.233469237860163e-08
1902,9.19215947803309e-09
1903,5.960992255360509e-09
1904,1.1870453398010739e-08
1905,9.686423441124248e-09
1906,1.5891840898785148e-08
1907,1.53459619456342e-08
1908,1.4647133950163038e-08
1909,9.705704684392913e-09
1910,5.898358246270163e-09
1911,7.046172145752649e-09
1912,2.873860871499545e-09
1913,7.606430152407029e-09
1914,5.17061549132336e-09
1915,5.195238905741917e-09
1916,0.0
1917,1.206102329120995e-09
1918,5.055078577953509e-09
1919,9.121451594040764e-09
1920,1.8355429176608595e-08
1921,2.5070878706401345e-09
1922,4.071943227046404e-09
1923,3.5194243075409304e-09
1924,2.849811275851266e-09
1925,4.874074477356771e-09
1926,6.1728515632353265e-09
1927,3.702804063365761e-09
1928,2.5303301676160572e-09
1929,1.2342626920514022e-09
1930,8.138055562767477e-09
1931,1.2628545986714812e-08
1932,8.490173897257591e-09
1933,6.343988445678406e-09
1934,2.123868259040762e-08
1935,9.284617519256244e-09
1936,1.342229327683242e-09
1937,1.2552831885059845e-08
1938,5.737644581671475e-09
1939,3.0495915126493855e-08
1940,5.629229971049199e-09
1941,9.842890946742955e-09
1942,0.0
1943,0.0
1944,1.0648351533859568e-08
1945,7.208886154685956e-09
1946,1.0778151260382174e-08
1947,2.633565587828457e-09
1948,6.016032561007023e-09
1949,3.244822410763959e-09
1950,8.233934423174105e-09
1951,2.359811901442299e-09
1952,2.3360564593843947e-09
1953,1.0717434939522263e-08
1954,8.64537863520809e-09
1955,3.1163478464435457e-09
1956,1.929378212750521e-09
1957,1.1734531568663442e-08
1958,3.659567315850154e-09
1959,4.287207922004654e-09
1960,1.2245385150322363e-08
1961,6.134503127697144e-09
1962,6.294832211040102e-09
1963,8.558619590814942e-09
1964,4.02678779209964e-09
1965,1.8101590226748954e-09
1966,5.499517286011724e-09
1967,7.604641361069753e-09
1968,1.2352335376775159e-08
1969,8.986933197618896e-09
1970,5.56366530624075e-09
1971,1.019939832591632e-08
1972,9.610106821433817e-09
1973,7.921265421373391e-09
1974,9.95086413269064e-09
1975,1.0104906800201263e-08
1976,3.78682063484348e-09
1977,3.247330404576587e-09
1978,5.889122689506365e-09
1979,3.864867093028579e-09
1980,8.766334436138834e-09
1981,5.570260697140839e-09
1982,8.864328826518886e-09
1983,1.8743214980077028e-08
1984,3.184065899830557e-09
1985,9.912620946295192e-09
1986,3.9501261150931555e-09
1987,2.6854719559210594e-09
1988,5.927232038516195e-09
1989,1.2658394055176103e-08
1990,5.9699958310233114e-09
1991,5.786932599782801e-09
1992,6.035035582385717e-09
1993,6.066071589483357e-09
1994,8.08271849450648e-09
1995,7.114629385629456e-09
1996,1.225041695862572e-08
1997,5.234240152418579e-09
1998,7.283583958184181e-09
1999,8.973256970801202e-09
2000,6.744293568061721e-09
2001,4.299720079981029e-09
2002,6.682684627890012e-09
2003,7.714485050769326e-09
2004,5.276318937319502e-09
2005,3.4334547427405937e-09
2006,5.384902135308067e-09
2007,6.980838462844474e-09
2008,3.2541866978874623e-09
2009,6.2588363380911005e-09
2010,3.623803923602509e-09
2011,3.776783774611658e-09
2012,4.124521613135812e-09
2013,5.2363305913516456e-09
2014,5.748372444713823e-09
2015,6.618824599513573e-09
