year,avions_VERB omis_VERB
1800,2.829747991484055e-08
1801,5.476719877606229e-08
1802,3.8043282302169246e-08
1803,1.950339267864365e-08
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,6.798221985349073e-09
1809,4.51806094758922e-08
1810,5.8503168531842675e-08
1811,7.521229861140455e-09
1812,2.6672083208723052e-08
1813,1.1502966579257645e-08
1814,1.2586708564299443e-08
1815,1.0788894222457657e-08
1816,2.3176038865813098e-09
1817,3.580808893843823e-08
1818,9.536941902865692e-09
1819,1.2421260464634543e-08
1820,3.5599443393152796e-09
1821,8.875339574387908e-09
1822,1.303330066093622e-08
1823,1.087095569118901e-08
1824,1.6000115010683658e-08
1825,5.283265824829186e-09
1826,2.554315514657901e-08
1827,8.295545583791863e-09
1828,9.172301140836225e-09
1829,1.628903412154159e-08
1830,2.7135772739939057e-08
1831,2.3386808933878456e-08
1832,6.22378593106987e-08
1833,2.548398292390175e-08
1834,2.7070139907436896e-08
1835,4.310960122211327e-08
1836,9.409050427677812e-09
1837,1.530736071231331e-08
1838,1.7674054220151447e-08
1839,2.0974425751774106e-08
1840,2.6752692505738196e-08
1841,2.5682194149112547e-08
1842,1.1404051036834062e-08
1843,1.0041748765843295e-08
1844,1.3721403568922597e-08
1845,1.2834524554250493e-08
1846,1.2294452567118697e-08
1847,2.7505439703645607e-08
1848,4.907585093860689e-08
1849,1.8434713311421547e-08
1850,1.0183494048021657e-08
1851,2.1283147688677673e-08
1852,7.812654523320361e-09
1853,4.001194398028929e-08
1854,2.5978321716024766e-08
1855,1.8574279891936385e-08
1856,3.209857268871019e-08
1857,4.735063896532665e-08
1858,1.8595969208945462e-08
1859,1.629495471888731e-08
1860,2.1512764902809067e-08
1861,2.5937801240161207e-08
1862,1.536115412648087e-08
1863,3.0467187883687075e-08
1864,1.6302074357099627e-08
1865,1.7886009118228685e-08
1866,3.8924903300596725e-09
1867,8.73506067478047e-09
1868,1.679557115608077e-08
1869,1.2208797528501236e-08
1870,1.204150201772336e-08
1871,3.18635318130589e-09
1872,2.1770421909650395e-08
1873,2.2746817762708815e-08
1874,1.0156835372754358e-08
1875,9.154443425529735e-09
1876,3.02300739996042e-09
1877,2.3502300550148902e-08
1878,1.3889904337816006e-08
1879,1.3440515367335593e-08
1880,1.6044616302224313e-08
1881,9.064259565150223e-09
1882,2.4624924321869912e-08
1883,1.3270612164717477e-08
1884,1.9144920315739e-08
1885,2.0626034213933053e-08
1886,2.452316216761119e-08
1887,3.0685946228459215e-08
1888,1.6485598663962264e-08
1889,2.0674951528576457e-08
1890,2.6217545467943637e-08
1891,6.3742202627281586e-09
1892,1.3163876211308434e-08
1893,1.1085149687062312e-08
1894,1.8904618315218613e-08
1895,1.3240951446391591e-08
1896,1.6511680911435178e-08
1897,9.905413378419325e-09
1898,1.3014216371232123e-08
1899,1.9899282222013426e-08
1900,1.453494924419374e-08
1901,1.397184767881754e-08
1902,4.910283735171106e-09
1903,9.1803746826713e-09
1904,2.042357571951925e-08
1905,1.2385822145688508e-08
1906,1.3374879870298173e-08
1907,2.1599941391059474e-08
1908,1.5225305460830896e-08
1909,1.4852655993990993e-08
1910,1.6566866989364826e-08
1911,1.0108711201439746e-08
1912,2.2921453179947093e-08
1913,1.2196876397752021e-08
1914,1.0045115850232378e-08
1915,1.1780762143587253e-08
1916,1.2086208478478966e-08
1917,1.2063066989753679e-08
1918,9.189101035644853e-09
1919,8.287063479883727e-09
1920,2.1202248845497706e-08
1921,1.5902768879527684e-08
1922,1.2542490601674672e-08
1923,5.095655097875351e-08
1924,1.4180787211159895e-08
1925,6.598906754362588e-09
1926,1.114613823460786e-08
1927,3.3447675740205796e-09
1928,1.7139061725401916e-08
1929,7.798284684668033e-09
1930,7.352522590764465e-09
1931,1.2545892325022123e-08
1932,1.4247397928102146e-08
1933,1.0323596200123575e-08
1934,1.9170528275935794e-08
1935,2.0346082152400413e-08
1936,1.6974599503782883e-08
1937,1.888667711114067e-08
1938,1.2965214679638848e-08
1939,1.2235240376412548e-08
1940,5.0715658339584024e-09
1941,1.4757512545315876e-08
1942,3.034211815133858e-08
1943,1.7419411690866582e-08
1944,1.6065930807940276e-08
1945,2.3963544037997053e-08
1946,1.5313215584455975e-08
1947,2.1457568166738383e-08
1948,5.435944139264848e-09
1949,1.0798709482173763e-08
1950,5.317680518146517e-09
1951,1.2793682557799002e-08
1952,1.1599284199803606e-08
1953,1.723812381726475e-08
1954,2.9317608341017376e-09
1955,8.447047505910632e-09
1956,1.0465369904011368e-08
1957,5.301022731885041e-09
1958,1.4062814024384807e-08
1959,9.300897829689347e-09
1960,1.6610000486139143e-08
1961,1.320150300188061e-08
1962,1.77574772664002e-08
1963,1.8104948651398445e-08
1964,1.3993127545575135e-08
1965,1.1491291473930687e-08
1966,1.9940669560014612e-08
1967,7.888536934785861e-09
1968,8.533690198930799e-09
1969,1.1354394757745467e-08
1970,9.657322941336588e-09
1971,1.6956711590410123e-08
1972,1.128632298730281e-08
1973,1.2129047988196362e-08
1974,1.012602890426706e-08
1975,5.140332159925265e-09
1976,1.9997344224975677e-08
1977,1.4104276857551667e-08
1978,1.7227714366185864e-08
1979,1.521513048885481e-08
1980,2.21720881654619e-08
1981,1.0120879245789638e-08
1982,9.311253101884631e-09
1983,1.0736036948344463e-08
1984,1.2177918229383522e-08
1985,6.015557829641693e-09
1986,8.392279760016663e-09
1987,9.777306964053878e-09
1988,6.596209356501959e-09
1989,1.3720305780395847e-08
1990,1.3076762783725826e-08
1991,5.8614650910726596e-09
1992,1.1570882918476855e-08
1993,6.647049133334804e-09
1994,3.6924485691258724e-09
1995,5.4224509327127635e-09
1996,8.007138063703678e-09
1997,1.1987236092636522e-08
1998,3.337690568372409e-09
1999,6.8553016596695215e-09
2000,8.83606254831193e-09
2001,1.0514908055370142e-08
2002,3.9430991805033955e-09
2003,7.91715315529018e-09
2004,7.047666006343434e-09
2005,7.656374201303606e-09
2006,1.4000825387938676e-08
2007,6.7906151812735516e-09
2008,5.108927503272298e-09
2009,5.721831008997924e-09
2010,5.196172381261022e-09
2011,6.118355155848576e-09
2012,5.7872298064864935e-09
2013,6.136075203500013e-09
2014,8.012147389990787e-09
2015,8.422986752520956e-09
2016,8.078226088059637e-09
2017,7.54683426862357e-09
2018,1.058401366549333e-08
2019,6.887666881283394e-09
