year,aurez_VERB eu_VERB,aurez_VERB vu_VERB
1800,1.4148740490327327e-07,2.0751485863002017e-07
1801,2.524053570596152e-07,6.31013392649038e-07
1802,6.937304419807333e-08,2.6854081625060644e-07
1803,9.361627917314763e-08,3.120542828582984e-07
1804,1.0134588990240445e-07,2.2988213288499537e-07
1805,2.388017321663938e-07,5.00346459375578e-07
1806,2.564685530614952e-07,1.1238510069233598e-06
1807,1.0249038240317532e-07,1.9074599322266295e-07
1808,9.064295625194063e-08,1.654234011994049e-07
1809,9.93973401364201e-08,2.9141494906070875e-07
1810,1.3338723192646285e-07,3.1591710580869403e-07
1811,6.016983888912364e-08,1.579458341893769e-07
1812,1.893717893608482e-07,2.960601079848857e-07
1813,5.463909147351842e-08,1.8692320225000003e-07
1814,1.5733385794192145e-07,1.888006266881348e-07
1815,1.0788894400093341e-07,1.6453063267363177e-07
1816,8.57513455798653e-08,1.969963250303408e-07
1817,1.3856173097792635e-07,2.9424907665998035e-07
1818,1.5259107044585107e-07,4.3393086457399477e-07
1819,1.604412744882211e-07,5.66202459140186e-07
1820,1.9105034709809843e-07,3.7972739619362983e-07
1821,1.4299158124231326e-07,5.295619303069543e-07
1822,2.0151487944986002e-07,3.759606101993995e-07
1823,1.363810753218786e-07,3.538002033565135e-07
1824,7.494790565942822e-08,2.6610715053720924e-07
1825,7.57268097117958e-08,2.518356723157922e-07
1826,7.48678701256722e-08,2.1755721490990254e-07
1827,1.1429418833586169e-07,2.424142735435453e-07
1828,1.1098484264948638e-07,3.806505048942199e-07
1829,1.0202079181453882e-07,1.8175133220665884e-07
1830,8.34946831673733e-08,3.350224346831965e-07
1831,1.153749238369528e-07,2.182768810143898e-07
1832,9.335678896604804e-08,2.1783250758744543e-07
1833,4.749287541017111e-08,3.614092065618024e-07
1834,5.787409307345115e-08,2.912373702201876e-07
1835,7.260564416355919e-08,3.660534559912776e-07
1836,1.1895727425326186e-07,4.4088119466323406e-07
1837,1.4124518088465265e-07,3.3537034482833405e-07
1838,9.405120948713375e-08,3.856731041196326e-07
1839,1.7408773089755414e-07,4.0900130215959507e-07
1840,1.0892167523479657e-07,1.8917975808108167e-07
1841,5.521671653241356e-08,2.638845444380422e-07
1842,8.519496930148307e-08,2.0996868954625825e-07
1843,1.0396163219184018e-07,2.723085970046668e-07
1844,8.562155784375136e-08,2.1734702215781e-07
1845,9.374782905524626e-08,2.47204098968723e-07
1846,1.0186832355429942e-07,3.219975610591064e-07
1847,1.1595430748911895e-07,1.5586415713642054e-07
1848,1.0861049304367043e-07,2.7836466642838786e-07
1849,8.882179969305071e-08,1.625606529387369e-07
1850,1.0726613908218496e-07,2.0231207997767342e-07
1851,9.803147094089582e-08,2.392741862422554e-07
1852,8.203286938623933e-08,1.809931688967481e-07
1853,8.659301187208257e-08,2.2096148200034804e-07
1854,9.248282850649048e-08,2.3224620804285223e-07
1855,1.2365163115646283e-07,2.1333886479624198e-07
1856,8.490590630572115e-08,2.355621120386786e-07
1857,6.345961622855611e-08,2.3382428082641127e-07
1858,1.3604419280000002e-07,2.7257775059297273e-07
1859,9.726051075631403e-08,3.864959694510617e-07
1860,1.3456920555654506e-07,3.6205526043886493e-07
1861,1.4760966848825774e-07,3.8104985833342653e-07
1862,1.5451513490916113e-07,5.091770276521856e-07
1863,1.2536497706605587e-07,5.504072078110767e-07
1864,1.0356612278883404e-07,5.024874667469703e-07
1865,1.162590521630591e-07,5.643506142405386e-07
1866,9.293320601955202e-08,2.710146418394288e-07
1867,9.365925990323376e-08,4.144301044561871e-07
1868,1.0818324369665788e-07,3.744424645901745e-07
1869,1.0548401263577034e-07,2.505245220163488e-07
1870,9.919904186972417e-08,2.0011830770272354e-07
1871,8.284518315804235e-08,1.7631154491937195e-07
1872,9.191955996357137e-08,2.18308954913482e-07
1873,1.472557045190115e-07,2.0472135986437934e-07
1874,7.946230340394322e-08,2.4256914343823155e-07
1875,1.3788880437459738e-07,2.534636394102563e-07
1876,1.3422152278508293e-07,4.11129008170974e-07
1877,1.1874846705950404e-07,2.597622597022564e-07
1878,6.34104324603868e-08,2.4639481921440165e-07
1879,1.3807074594751612e-07,1.9000002282609785e-07
1880,1.01401973040538e-07,1.7777433924948127e-07
1881,8.506459181489845e-08,4.51818493729661e-07
1882,9.051323957010027e-08,3.5473203752189875e-07
1883,8.278333751832179e-08,1.97163373627518e-07
1884,7.988053596363898e-08,2.0333226302682306e-07
1885,6.767917426486747e-08,2.1012772322137607e-07
1886,7.873225627008651e-08,1.516563941095228e-07
1887,7.377684596576728e-08,3.081652550918079e-07
1888,7.481925479169149e-08,1.9148656349443627e-07
1889,9.523007804546069e-08,2.775455527626036e-07
1890,7.603088647556433e-08,1.7172492050576693e-07
1891,1.0644947678883909e-07,2.2054801718240924e-07
1892,9.528138633640992e-08,1.5545910514447314e-07
1893,8.683367269668452e-08,1.7489902859324502e-07
1894,1.2035940244459198e-07,1.4871632458834938e-07
1895,6.921406736637437e-08,1.9139194762374245e-07
1896,9.49421661289307e-08,2.0344749884770863e-07
1897,6.23458333848248e-08,2.033523003319715e-07
1898,7.355861697533328e-08,1.4655138613761665e-07
1899,9.286331703606265e-08,1.801990521244079e-07
1900,6.644548022904928e-08,1.3756290684341366e-07
1901,5.7005138387467014e-08,1.4307171625205228e-07
1902,6.236060556830125e-08,1.6400348101797135e-07
1903,5.994244389739833e-08,1.6308665351516538e-07
1904,6.557042553367864e-08,2.2949649292058893e-07
1905,5.883265430384199e-08,1.5224239291455888e-07
1906,6.481672443214848e-08,1.2500368029577658e-07
1907,5.657127744029822e-08,1.2137110161347664e-07
1908,7.072399910157401e-08,2.224859230182119e-07
1909,7.206288188399412e-08,1.5567783862024953e-07
1910,8.390316708073442e-08,1.694095743687285e-07
1911,5.4267815130515373e-08,1.5216269844131602e-07
1912,6.824341625133457e-08,2.807878161092958e-07
1913,4.2423916823963737e-08,1.7287746345573396e-07
1914,6.227971738326232e-08,1.2522910708412383e-07
1915,3.2986132936230206e-08,2.096975606491469e-07
1916,7.1418504887788e-08,2.395266847088351e-07
1917,4.605898240583883e-08,1.6997957175135525e-07
1918,6.891825421462272e-08,1.5851199464123056e-07
1919,4.880159565345821e-08,9.299926517769563e-08
1920,6.512119199442168e-08,1.7567577970112325e-07
1921,3.937828552125211e-08,1.2267851445812994e-07
1922,4.795657915224183e-08,1.165713783279898e-07
1923,5.944930947521243e-08,1.1677543199084539e-07
1924,4.383152329978657e-08,1.3407289145561663e-07
1925,6.378942885021388e-08,1.3967685674742825e-07
1926,5.795991953050361e-08,1.3152443045783002e-07
1927,7.358488574027433e-08,1.4828468408722983e-07
1928,6.055801549109674e-08,1.2797165993561066e-07
1929,9.580749349424877e-08,1.3702700130124867e-07
1930,3.676261073337628e-08,1.3864756454040617e-07
1931,5.816731984964463e-08,1.653776706689314e-07
1932,6.13734059129456e-08,9.425201596968691e-08
1933,7.570636739728798e-08,3.039725413600536e-07
1934,4.553000465534751e-08,2.7078371545030677e-07
1935,6.223507398317452e-08,1.1848601388919633e-07
1936,4.243650053581405e-08,9.699771652549316e-08
1937,5.288269733227935e-08,8.310137644684801e-08
1938,4.537825049055755e-08,1.413208394751564e-07
1939,5.8117393564316444e-08,1.2999943521663226e-07
1940,6.085878823114399e-08,5.832300686847702e-08
1941,3.246652724442356e-08,1.8594465700516594e-07
1942,3.6410540360520827e-08,1.6688164805600536e-07
1943,3.774205836748479e-08,1.8871028828471026e-07
1944,3.855823393905666e-08,9.960876923287287e-08
1945,3.485606470121638e-08,9.585417615198821e-08
1946,4.037120149291695e-08,1.252899437531596e-07
1947,6.198852986472048e-08,1.1920870690573793e-07
1948,5.870819563824625e-08,6.52313261184645e-08
1949,5.104844191805569e-08,7.951776836989666e-08
1950,6.38121662177582e-08,1.106077576196185e-07
1951,7.782823274737893e-08,1.5778874740135507e-07
1952,6.85412260281737e-08,8.646739502182754e-08
1953,8.295847209183194e-08,1.4867882214275596e-07
1954,2.443134050622575e-08,1.006571253014954e-07
1955,3.472674947602172e-08,1.2013578043479356e-07
1956,4.883839466174322e-08,9.331621697583614e-08
1957,4.8592706747285774e-08,1.1043797343290862e-07
1958,6.4523497655955e-08,1.1498418217570361e-07
1959,5.968075811324525e-08,1.4028853456693469e-07
1960,5.9519166484278685e-08,1.0312041354154644e-07
1961,4.794229724325305e-08,2.098344111800543e-07
1962,7.673767044025226e-08,2.2323686721392733e-07
1963,3.879631904624148e-08,1.3902014472932933e-07
1964,6.996563683969725e-08,1.5574958922570659e-07
1965,7.551420111440166e-08,2.013711934978346e-07
1966,3.7665706997813686e-08,9.970334247100254e-08
1967,5.768492528090974e-08,1.0945345252366678e-07
1968,5.1202139417227954e-08,1.0689569762689644e-07
1969,5.313856732414024e-08,1.0446042608691641e-07
1970,5.5184699476740207e-08,1.053108036330741e-07
1971,6.782684636164049e-08,1.4336129083858395e-07
1972,5.4379555081141007e-08,1.1286323342574178e-07
1973,5.402939606824475e-08,1.3397085751876148e-07
1974,3.09406438248061e-08,6.750686054601829e-08
1975,5.197447094928975e-08,9.823745727999267e-08
1976,4.056603941648973e-08,6.799096752274636e-08
1977,3.349765620441758e-08,6.464460255983795e-08
1978,4.158414057542359e-08,1.003959937406762e-07
1979,5.559374827157626e-08,1.503957207660278e-07
1980,4.0933084477501325e-08,8.129765660669364e-08
1981,4.1748627666038374e-08,8.159958753140018e-08
1982,3.662426451001011e-08,6.393727147724348e-08
1983,3.978649232294629e-08,8.083604541297973e-08
1984,4.1752862500743504e-08,8.988462951720066e-08
1985,4.571824163690508e-08,5.654624501971739e-08
1986,4.375974427262008e-08,8.572114040816814e-08
1987,3.0554083707556856e-08,1.0266172267847651e-07
1988,3.897759981441595e-08,5.217001941559829e-08
1989,3.1831110192115375e-08,8.341945800793837e-08
1990,2.942271493111548e-08,5.612110598463005e-08
1991,2.5790447111262438e-08,4.7477868747591856e-08
1992,4.1324582866764104e-08,6.226236592965506e-08
1993,4.2097976660215863e-08,8.253419281345487e-08
1994,3.006708126918056e-08,6.382661155157621e-08
1995,3.849940100053573e-08,6.832288335090198e-08
1996,3.3629980578098184e-08,8.220661840141474e-08
1997,3.068732468136659e-08,4.363354122460805e-08
1998,3.9575471788566574e-08,6.532336982445486e-08
1999,2.8792268125243936e-08,5.895559596069688e-08
2000,3.004261373007466e-08,4.285490717848006e-08
2001,3.680217730561708e-08,6.046072087428911e-08
2002,2.234422957769766e-08,4.5564704009848356e-08
2003,2.4584844382502524e-08,8.875545631781279e-08
2004,2.5107310008820605e-08,7.620288755560978e-08
2005,4.1434496722558833e-08,8.286899344511767e-08
2006,4.323784352777693e-08,5.68268809786332e-08
2007,2.915970043204652e-08,7.869124374337844e-08
2008,3.661398295662366e-08,6.939626473467797e-08
2009,4.339055337254649e-08,6.484741987833331e-08
2010,4.487603533220863e-08,5.290648275035892e-08
2011,5.162362270993981e-08,7.915622290965985e-08
2012,7.251058065094185e-08,1.0246800741242623e-07
2013,7.056486595047318e-08,1.0515001491739895e-07
2014,6.691225706845216e-08,1.1108733843911978e-07
2015,8.799804618320195e-08,1.259014794641189e-07
2016,9.46602369822358e-08,1.4457953056989936e-07
2017,6.112935579949408e-08,8.829795916653893e-08
2018,6.556925313816464e-08,1.0041905795787898e-07
2019,9.438655013127573e-08,1.0994757104754171e-07
