year,premiers_ADJ ans_NOUN,premiers_ADJ vents_NOUN
1800,3.804439074883703e-07,2.2009151834367913e-08
1801,2.881230898310605e-07,4.286128785224719e-08
1802,2.842056971985585e-07,1.7902721083373763e-08
1803,3.101039283137652e-07,0.0
1804,4.968420626028092e-07,1.2359254952798437e-08
1805,4.264316544322355e-07,1.9900143755080535e-08
1806,2.305335300434308e-07,2.5935023018064385e-08
1807,3.046241943138739e-07,8.540865792383556e-09
1808,3.172503681980743e-07,2.039466551195801e-08
1809,1.9427662323323602e-07,6.7770917766551975e-09
1810,3.5101902540191077e-07,1.4040760554223652e-08
1811,2.8329966994533606e-07,0.0
1812,3.2273220540446346e-07,3.200649700829672e-08
1813,3.077043686516845e-07,0.0
1814,1.9824065589091333e-07,9.440030979135372e-09
1815,2.2926400333744823e-07,0.0
1816,2.9201808615653135e-07,9.270415546325239e-09
1817,2.6778221240419953e-07,3.113746815941454e-09
1818,2.4319200520039885e-07,2.2650237241350624e-08
1819,3.6332184549792146e-07,1.035105001712111e-09
1820,4.177001358129928e-07,0.0
1821,3.0176153131833416e-07,9.86148829262845e-10
1822,3.5089655625597516e-07,2.2056354964661296e-08
1823,3.4787058211804833e-07,1.4824030003524058e-08
1824,3.8989750805740186e-07,1.7684335773537896e-08
1825,2.9057960659883975e-07,2.4655239627691117e-08
1826,2.563123473464657e-07,1.8496766784892316e-08
1827,2.1199727484599862e-07,2.7651818612639545e-09
1828,2.2472137573004147e-07,2.7516904310687096e-08
1829,1.997550072019294e-07,6.858540846366168e-09
1830,2.3587249131651333e-07,1.0436835395921662e-08
1831,2.1983601072861347e-07,1.5591206548037917e-08
1832,1.9618455837644433e-07,3.2471927369215337e-08
1833,2.8959070164091827e-07,1.3900354645102198e-08
1834,2.4549817112529126e-07,7.467624740797874e-09
1835,2.1706063080273452e-07,9.075705520444899e-09
1836,2.8025527853969834e-07,1.008112526790228e-08
1837,2.3100197665826272e-07,1.0436836284100082e-08
1838,1.881024189742675e-07,1.009945904684173e-08
1839,1.4821927152297576e-07,1.0487212875887053e-08
1840,1.5542040898708365e-07,6.3696887764308485e-09
1841,1.8105946253399452e-07,8.346713542550788e-09
1842,1.9722298816304829e-07,4.024959032733477e-09
1843,1.1518476839000868e-07,5.31621990873532e-09
1844,1.51484286448067e-07,3.841992946007622e-09
1845,1.25555132513e-07,9.48638767539478e-09
1846,1.5514429207996727e-07,1.4050803187615202e-08
1847,8.359496916909848e-08,5.3932236454556914e-09
1848,1.1906928421012708e-07,1.206783295515379e-08
1849,1.340706319297169e-07,1.256912263158938e-08
1850,1.5954140053509036e-07,1.6972489191857676e-08
1851,1.1157528945204831e-07,1.6768540334055615e-08
1852,1.7578472011336999e-07,6.510545436100301e-09
1853,1.528814550511015e-07,1.6124216628554677e-08
1854,1.917200194156976e-07,8.313063126763609e-09
1855,1.57085338514662e-07,7.960405667972736e-09
1856,1.7809530561407882e-07,6.212626857404757e-09
1857,1.6206610098379315e-07,1.2203773103180993e-08
1858,1.5757636617763637e-07,1.2234189661342043e-08
1859,1.537836311626961e-07,3.5645213447565993e-09
1860,1.5242022755046492e-07,8.238931314963338e-09
1861,1.4006411674927222e-07,4.715963619617014e-09
1862,1.396057740521428e-07,1.2198563048571032e-08
1863,1.423466926553374e-07,7.991393324857654e-09
1864,1.5918496387712366e-07,1.821996598039277e-08
1865,1.1814179146085735e-07,2.8241067262513297e-09
1866,1.591055394101204e-07,7.784980660119345e-09
1867,1.1258522647494829e-07,1.0190904120577216e-08
1868,1.3337660220713587e-07,6.915823469455518e-09
1869,1.3185501757106977e-07,5.860222973552709e-09
1870,1.61126777697973e-07,8.601073631098188e-09
1871,2.0605084216640535e-07,1.3807530230280918e-08
1872,1.30622524352475e-07,1.1489944995446422e-08
1873,1.1792428722401382e-07,5.9860045809045914e-09
1874,1.2666171755881805e-07,1.5533982988813477e-08
1875,9.898241870587299e-08,1.6592428764283795e-08
